,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6514231,28561,194032,498,3796760,38074,2523439,14464,19658,586,88656976,267545,331372800,51,1708,4,North America
2,India,4367436,89852,73923,1107,3396027,74607,897486,8944,3159,53,50650128,36635,1382567296,317,18703,27,Asia
3,Brazil,4165124,17330,127517,516,3397234,41670,640373,8318,19569,599,14408116,67692,212846720,51,1669,15,South America
4,Russia,1035789,5099,17993,122,850049,6772,167747,2300,7097,123,38758184,265564,145946544,141,8111,4,Europe
5,Peru,696190,4615,30123,147,529751,7500,136316,1499,21060,911,3403397,102953,33057742,47,1097,10,South America
6,Colombia,679513,7665,21817,202,541462,12183,116234,863,13328,428,2996911,58780,50985132,75,2337,17,South America
7,South Africa,640441,1079,15086,82,567729,1174,57626,539,10773,254,3821162,64276,59448984,93,3941,16,Africa
8,Mexico,637509,3486,67781,223,446715,4447,123013,2836,4935,525,1435703,11113,129188224,203,1906,90,North America
9,Spain,534513,8964,29594,78,0,0,0,1034,11431,633,9987326,213595,46758276,87,1580,5,Europe
10,Argentina,500034,12027,10405,276,366590,9202,123039,2719,11045,230,1412149,31191,45274240,91,4351,32,South America
11,Chile,425541,1267,11682,30,397730,2013,16129,930,22225,610,2669569,139423,19147292,45,1639,7,South America
12,Iran,391112,2302,22542,132,337414,1842,31156,3713,4645,268,3431646,40759,84194552,215,3735,25,Asia
13,UK,352560,2460,41586,32,0,0,0,77,5188,612,17619896,259291,67954112,193,1634,4,Europe
14,France,335524,6544,30764,38,88226,390,216534,574,5138,471,8500000,130166,65301292,195,2123,8,Europe
15,Bangladesh,329251,1892,4552,36,227809,3236,96890,0,1995,28,1659697,10059,164999232,501,36248,99,Asia
16,Saudi Arabia,322237,781,4137,30,298246,623,19854,1428,9229,118,5406136,154838,34914836,108,8440,6,Asia
17,Pakistan,299233,330,6350,5,286157,141,6726,606,1350,29,2802210,12641,221683216,741,34911,79,Asia
18,Turkey,283270,1761,6782,52,253245,1093,23243,1159,3352,80,7994029,94593,84510112,298,12461,11,Asia
19,Italy,280153,1370,35563,10,210801,563,33789,143,4635,588,9364213,154922,60444584,216,1700,6,Europe
20,Iraq,269578,4894,7657,68,206324,3465,55597,505,6675,190,1718157,42542,40387604,150,5275,24,Asia
21,Germany,254956,1331,9409,4,230600,3600,14947,223,3041,112,12383035,147707,83835352,329,8910,7,Europe
22,Philippines,241967,3240,3916,26,185167,261,52884,982,2203,36,2873578,26158,109854240,454,28053,38,Asia
23,Indonesia,200035,3046,8230,100,142958,2306,48847,0,730,30,2484807,9066,274068992,1370,33301,110,Asia
24,Ukraine,140479,2411,2934,57,63546,940,73999,177,3216,67,1731877,39647,43682292,311,14888,25,Europe
25,Israel,137565,3590,1040,14,107003,1548,29522,454,14957,113,2488587,270569,9197590,67,8844,4,Asia
26,Canada,133748,1606,9153,7,117565,1106,7030,54,3538,242,5891121,155830,37804824,283,4130,6,North America
27,Bolivia,121604,835,7054,46,73150,1661,41400,71,10391,603,253647,21674,11702818,96,1659,46,South America
28,Qatar,120579,231,205,0,117497,256,2877,49,42944,73,667936,237885,2807805,23,13697,4,Asia
29,Ecuador,110757,665,10627,51,91242,0,8888,377,6260,601,333977,18876,17692994,160,1665,53,South America
30,Kazakhstan,106425,64,1634,6,99893,239,4898,221,5655,87,2571562,136648,18818912,177,11517,7,Asia
31,Egypt,100228,187,5560,19,79886,878,14782,41,976,54,135000,1315,102690816,1025,18470,761,Africa
32,Dominican Republic,100131,233,1889,25,73795,567,24447,210,9213,174,400138,36816,10868449,109,5754,27,North America
33,Panama,98407,829,2107,8,70751,504,25549,132,22740,487,374599,86564,4327410,44,2054,12,North America
34,Romania,97033,1136,3967,41,40838,384,52228,460,5051,206,1966290,102344,19212516,198,4843,10,Europe
35,Kuwait,91244,857,548,2,81654,617,9042,89,21307,128,653099,152509,4282356,47,7815,7,Asia
36,Belgium,88769,402,9909,2,18576,9,60284,52,7653,854,2449055,211139,11599276,131,1171,5,Europe
37,Oman,87590,262,742,8,82973,168,3875,161,17073,145,309212,60273,5130194,59,6914,17,Asia
38,Sweden,85880,127,5838,0,0,0,0,13,8493,577,1124269,111190,10111264,118,1732,9,Europe
39,China,85144,10,4634,0,80335,15,175,3,59,3,160000000,111163,1439323776,16905,310601,9,Asia
40,Guatemala,78721,893,2890,28,67462,878,8369,5,4379,161,263085,14635,17976822,228,6220,68,North America
41,Netherlands,76548,964,6244,1,0,0,0,45,4465,364,1648103,96143,17142164,224,2745,10,Europe
42,Morocco,75721,1941,1427,33,57239,1143,17055,240,2047,39,2115390,57184,36992792,489,25923,17,Africa
43,UAE,75098,644,391,1,66943,410,7764,0,7576,39,7704318,777205,9912851,132,25353,1,Asia
44,Belarus,73208,177,721,5,71916,33,571,0,7748,76,1591247,168409,9448722,129,13105,6,Europe
45,Japan,72234,378,1377,14,63282,746,7575,202,571,11,1622149,12833,126401104,1750,91795,78,Asia
46,Poland,71526,400,2136,12,55910,797,13480,81,1890,56,2841344,75091,37838576,529,17715,13,Europe
47,Honduras,64814,50,2023,16,13828,410,48963,36,6525,204,154241,15527,9933918,153,4910,64,North America
48,Portugal,60895,388,1846,3,43146,130,15903,50,5975,181,2153615,211327,10190924,167,5521,5,Europe
49,Ethiopia,60784,1136,949,16,22677,888,37158,309,526,8,1078269,9337,115481264,1900,121687,107,Africa
50,Singapore,57091,47,27,0,56461,53,603,0,9744,5,2068284,353005,5859075,103,217003,3,Asia
51,Bahrain,56778,702,202,2,51574,334,5002,30,33164,118,1194923,697956,1712032,30,8475,1,Asia
52,Venezuela,55563,1213,444,8,44435,682,10684,111,1955,16,1824287,64190,28420266,511,64010,16,South America
53,Nigeria,55456,296,1067,6,43334,103,11055,7,268,5,426803,2061,207068352,3734,194066,485,Africa
54,Costa Rica,49897,1117,531,21,19285,202,30081,236,9778,104,166786,32684,5102920,102,9610,31,North America
55,Nepal,48138,902,306,6,32964,2287,14868,0,1647,10,788174,26961,29233798,607,95535,37,Asia
56,Algeria,46938,285,1571,9,33183,198,12184,35,1067,36,0,0,43997568,937,28006,0,Africa
57,Ghana,45012,143,283,0,43898,97,831,5,1443,9,448820,14389,31192084,693,110219,69,Africa
58,Armenia,44953,108,903,3,40592,471,3458,0,15165,305,221041,74567,2964309,66,3283,13,Asia
59,Switzerland,44837,245,2018,4,37700,0,5119,25,5174,233,1111984,128306,8666651,193,4295,8,Europe
60,Kyrgyzstan,44526,68,1060,0,40158,198,3308,24,6804,162,267718,40909,6544193,147,6174,24,Asia
61,Uzbekistan,44281,388,358,6,41594,63,2329,224,1319,11,1377915,41059,33559780,758,93742,24,Asia
62,Moldova,40556,501,1087,13,28578,779,10891,549,10058,270,210553,52219,4032141,99,3709,19,Europe
63,Afghanistan,38520,26,1418,3,30715,158,6387,93,985,36,105213,2692,39088688,1015,27566,372,Asia
64,Azerbaijan,37557,139,552,1,34965,128,2040,0,3698,54,967040,95214,10156475,270,18399,11,Asia
65,Kenya,35356,151,599,0,21483,173,13274,44,655,11,474477,8789,53988200,1527,90131,114,Africa
66,Serbia,31994,53,727,2,30737,45,530,38,3665,83,993140,113755,8730506,273,12009,9,Europe
67,Austria,30081,520,747,1,25629,329,3705,28,3336,83,1266223,140439,9016202,300,12070,7,Europe
68,Ireland,30080,306,1778,1,23364,0,4938,7,6079,359,913168,184547,4948171,165,2783,5,Europe
69,Czechia,29877,1161,441,4,20139,284,9297,62,2789,41,982811,91742,10712805,359,24292,11,Europe
70,Palestine,27363,584,190,6,17779,509,9394,0,5341,37,306621,59851,5123061,187,26963,17,Asia
71,El Salvador,26511,98,765,1,16462,325,9284,236,4083,118,335099,51614,6492458,245,8487,19,North America
72,Australia,26374,52,770,8,22724,121,2880,29,1032,30,6725558,263174,25555532,969,33189,4,Australia/Oceania
73,Paraguay,24214,861,463,14,11920,396,11831,108,3387,65,214976,30071,7148989,295,15441,33,South America
74,Bosnia and Herzegovina,21961,301,669,5,15172,342,6120,0,6702,204,200525,61195,3276820,149,4898,16,Europe
75,S. Korea,21432,136,341,5,16636,339,4455,151,418,7,2066078,40292,51277696,2393,150374,25,Asia
76,Lebanon,21324,498,207,7,6722,292,14395,122,3127,30,599254,87874,6819477,320,32944,11,Asia
77,Cameroon,19848,244,415,0,18448,0,985,30,744,16,149000,5588,26665948,1344,64255,179,Africa
78,Libya,19583,749,314,18,2247,121,17022,0,2843,46,133989,19450,6888779,352,21939,51,Africa
79,Ivory Coast,18778,77,119,0,17688,89,971,0,709,4,135277,5105,26497024,1411,222664,196,Africa
80,Denmark,18356,243,628,0,15907,74,1821,2,3167,108,2750858,474604,5796113,316,9229,2,Europe
81,Bulgaria,17313,167,692,15,12297,108,4324,57,2495,100,446303,64326,6938165,401,10026,16,Europe
82,Madagascar,15435,83,206,4,14219,35,1010,53,555,7,61631,2215,27820104,1802,135049,451,Africa
83,North Macedonia,15226,99,631,8,12700,214,1895,7,7308,303,158003,75841,2083357,137,3302,13,Europe
84,Senegal,14044,30,292,1,10037,0,3715,36,835,17,154258,9169,16823796,1198,57616,109,Africa
85,Sudan,13437,0,833,0,6730,0,5874,0,305,19,0,0,44036092,3277,52864,0,Africa
86,Zambia,12952,116,297,2,11787,39,868,0,701,16,125070,6769,18476730,1427,62211,148,Africa
87,Croatia,12285,204,203,2,9553,287,2529,23,2996,50,196966,48037,4100306,334,20199,21,Europe
88,Greece,11832,169,290,1,3804,0,7738,42,1136,28,1050259,100859,10413105,880,35907,10,Europe
89,Norway,11624,103,264,0,9348,0,2012,1,2141,49,816866,150455,5429288,467,20565,7,Europe
90,Albania,10553,147,321,2,6239,53,3993,21,3668,112,65159,22647,2877188,273,8963,44,Europe
91,DRC,10292,59,260,0,9501,50,531,0,114,3,0,0,90048792,8749,346342,0,Africa
92,Guinea,9848,32,63,1,9009,53,776,24,746,5,26775,2029,13197140,1340,209478,493,Africa
93,Malaysia,9559,100,128,0,9136,12,295,7,295,4,1307454,40299,32443760,3394,253467,25,Asia
94,French Guiana,9387,32,62,0,8946,44,379,7,31281,207,57250,190779,300085,32,4840,5,South America
95,Hungary,9304,341,626,1,3972,11,4706,11,964,65,487146,50452,9655582,1038,15424,20,Europe
96,Namibia,8928,118,91,0,3981,175,4856,19,3502,36,72186,28315,2549419,286,28016,35,Africa
97,Tajikistan,8860,36,70,0,7650,34,1140,0,925,7,0,0,9576830,1081,136812,0,Asia
98,Maldives,8741,74,29,0,6157,105,2555,12,16118,53,123472,227679,542308,62,18700,4,Asia
99,Gabon,8608,0,53,0,7533,0,1022,2,3851,24,127759,57155,2235312,260,42176,17,Africa
100,Haiti,8376,14,214,0,5991,58,2171,0,733,19,24811,2171,11428634,1364,53405,461,North America
101,Finland,8337,10,336,0,7350,0,651,1,1504,61,760700,137252,5542378,665,16495,7,Europe
102,Zimbabwe,7388,90,218,8,5477,22,1693,0,496,15,152262,10217,14903319,2017,68364,98,Africa
103,Mauritania,7165,0,160,0,6681,0,324,3,1534,34,69937,14970,4671785,652,29199,67,Africa
104,Luxembourg,6974,14,124,0,6256,0,594,0,11107,197,694495,1106111,627871,90,5063,1,Europe
105,Montenegro,5875,216,112,3,4312,40,1451,0,9354,178,53650,85419,628081,107,5608,12,Europe
106,Malawi,5630,9,176,0,3630,40,1824,4,293,9,46857,2438,19219556,3414,109202,410,Africa
107,Tunisia,5417,293,96,2,1862,74,3459,26,457,8,162200,13697,11841944,2186,123354,73,Africa
108,Djibouti,5388,0,61,0,5327,0,0,0,5439,62,70111,70770,990683,184,16241,14,Africa
109,Equatorial Guinea,4985,0,83,0,4454,0,448,0,3533,59,54822,38848,1411179,283,17002,26,Africa
110,Eswatini,4904,20,96,2,4059,30,749,11,4219,83,30635,26354,1162430,237,12109,38,Africa
111,Hong Kong,4896,6,99,1,4543,19,254,21,652,13,780415,103937,7508518,1534,75844,10,Asia
112,Congo,4891,0,114,12,3887,0,890,0,882,21,0,0,5542789,1133,48621,0,Africa
113,Nicaragua,4818,150,144,3,2913,0,1761,0,726,22,0,0,6639367,1378,46107,0,North America
114,CAR,4735,6,62,0,1825,7,2848,2,977,13,31300,6460,4845332,1023,78151,155,Africa
115,Slovakia,4727,91,37,0,2913,77,1777,24,866,7,360636,66049,5460153,1155,147572,15,Europe
116,Mozambique,4647,90,28,1,2715,18,1904,0,148,0,107083,3409,31413222,6760,1121901,293,Africa
117,Rwanda,4439,30,20,1,2307,36,2112,0,341,2,447603,34403,13010583,2931,650529,29,Africa
118,Suriname,4419,59,91,0,3595,51,733,9,7520,155,10672,18161,587627,133,6457,55,South America
119,Cabo Verde,4400,42,42,0,3851,61,507,0,7898,75,76576,137449,557125,127,13265,7,Africa
120,Cuba,4377,25,104,2,3700,58,573,2,386,9,446776,39449,11325278,2587,108897,25,North America
121,Uganda,3900,124,46,2,1817,76,2037,0,85,1,415908,9042,45998728,11795,999972,111,Africa
122,Thailand,3446,1,58,0,3284,3,104,1,49,0,749213,10729,69833640,20265,1204028,93,Asia
123,Mayotte,3374,0,40,0,2964,0,370,2,12313,146,13000,47443,274014,81,6850,21,Africa
124,Somalia,3371,9,97,0,2738,42,536,0,211,6,0,0,15973145,4738,164672,0,Africa
125,Syria,3289,60,140,3,760,16,2389,0,187,8,0,0,17578044,5344,125557,0,Asia
126,Gambia,3275,78,99,0,1424,109,1752,0,1348,41,13838,5697,2428899,742,24534,176,Africa
127,Slovenia,3233,43,135,0,2533,3,565,4,1555,65,170440,81982,2078993,643,15400,12,Europe
128,Jamaica,3183,80,34,1,974,16,2175,8,1074,11,63890,21558,2963641,931,87166,46,North America
129,Sri Lanka,3140,17,12,0,2935,9,193,0,147,0,235221,10976,21430438,6825,1785870,91,Asia
130,Lithuania,3131,31,86,0,1994,39,1051,0,1153,32,666930,245672,2714722,867,31567,4,Europe
131,Angola,3033,52,124,4,1215,0,1694,24,92,4,64747,1959,33048914,10896,266524,510,Africa
132,Mali,2882,12,127,0,2258,12,497,0,142,6,41204,2024,20355708,7063,160281,494,Africa
133,Aruba,2589,107,15,0,1293,49,1281,9,24230,140,24056,225132,106853,41,7124,4,North America
134,Bahamas,2585,39,59,1,976,0,1550,75,6562,150,13010,33024,393954,152,6677,30,North America
135,Jordan,2581,103,19,2,1885,68,677,3,252,2,915469,89556,10222263,3961,538014,11,Asia
136,Estonia,2563,31,64,0,2195,19,304,0,1932,48,162191,122251,1326707,518,20730,8,Europe
137,South Sudan,2552,7,49,1,1290,0,1213,0,227,4,12044,1074,11218401,4396,228947,931,Africa
138,Trinidad and Tobago,2391,114,39,2,743,9,1609,16,1707,28,25796,18421,1400358,586,35907,54,North America
139,Réunion,2346,69,13,0,1313,0,1020,0,2617,15,35419,39507,896527,382,68964,25,Africa
140,Guinea-Bissau,2245,0,38,0,1127,0,1080,5,1136,19,0,0,1976483,880,52013,0,Africa
141,Benin,2213,0,40,0,1793,0,380,0,182,3,131073,10761,12180704,5504,304518,93,Africa
142,Iceland,2150,7,10,0,2060,3,80,0,6293,29,227051,664543,341665,159,34167,2,Europe
143,Botswana,2126,0,9,0,493,0,1624,1,901,4,133971,56759,2360365,1110,262263,18,Africa
144,Malta,2099,23,14,0,1729,39,356,2,4751,32,205141,464363,441769,210,31555,2,Europe
145,Sierra Leone,2064,9,72,1,1613,2,379,0,258,9,0,0,8006823,3879,111206,0,Africa
