,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6046634,46286,184796,1143,3347940,34079,2513898,16231,18251,558,79472488,239874,331309280,55,1793,4,North America
2,Brazil,3764493,42489,118726,970,2947250,38402,698517,8318,17691,558,14172764,66602,212797248,57,1792,15,South America
3,India,3384575,76826,61694,1065,2583063,59620,739818,8944,2449,45,38576512,27911,1382122880,408,22403,36,Asia
4,Russia,975576,4711,16804,121,792561,6411,166211,2300,6685,115,35400000,242558,145944496,150,8685,4,Europe
5,Peru,621997,8619,28277,153,429662,7785,164058,1526,18824,856,3089459,93499,33042680,53,1169,11,South America
6,South Africa,618286,2585,13628,126,531338,6096,73320,539,10405,229,3617982,60884,59424468,96,4360,16,Africa
7,Colombia,582022,9752,18468,284,417793,10672,145761,1493,11420,362,2619712,51400,50967360,88,2760,19,South America
8,Mexico,573888,5267,62076,626,396758,3657,115054,3305,4444,481,1291083,9997,129143832,225,2080,100,North America
9,Spain,451792,3781,28996,25,0,0,0,715,9662,620,8517446,182161,46757684,103,1613,5,Europe
10,Chile,404102,1737,11072,82,377922,1654,15108,1012,21111,578,2303242,120325,19141918,47,1729,8,South America
11,Argentina,380292,10104,8050,211,274458,5657,97784,2075,8402,178,1172811,25912,45260656,119,5622,39,South America
12,Iran,367796,2190,21137,117,316638,1768,30021,3822,4370,251,3138782,37296,84159304,229,3982,27,Asia
13,UK,330368,1522,41477,12,0,0,0,64,4862,610,16273209,239515,67942448,206,1638,4,Europe
14,Saudi Arabia,311855,1019,3785,30,286255,1310,21815,1582,8936,108,4792192,137324,34897048,112,9220,7,Asia
15,Bangladesh,304583,2436,4127,45,193458,3275,106998,0,1847,25,1500385,9096,164945472,542,39967,110,Asia
16,Pakistan,294638,445,6274,7,279561,622,8803,641,1330,28,2535778,11446,221542352,752,35311,87,Asia
17,Turkey,263998,1491,6209,26,240792,995,16997,862,3125,73,6727860,79638,84480376,320,13606,13,Asia
18,Italy,263949,1411,35463,5,206554,225,21932,67,4367,587,8313445,137532,60447488,229,1705,7,Europe
19,France,259698,6111,30576,32,85984,460,143138,381,3977,468,6000000,91888,65296568,251,2136,11,Europe
20,Germany,240565,1565,9359,7,215495,1262,15711,245,2870,112,11208091,133706,83826592,348,8957,7,Europe
21,Iraq,219435,3651,6740,72,161009,3794,51686,566,5437,167,1524864,37783,40357940,184,5988,26,Asia
22,Philippines,205581,3249,3234,97,133990,566,68357,841,1872,29,2439301,22215,109806416,534,33954,45,Asia
23,Indonesia,162884,2719,7064,120,118575,3166,37245,0,595,26,2136416,7798,273974208,1682,38785,128,Asia
24,Canada,126848,431,9102,8,112825,370,4921,45,3356,241,5294012,140076,37793988,298,4152,7,North America
25,Qatar,117988,246,195,1,114797,239,2996,66,42021,69,609258,216987,2807805,24,14399,5,Asia
26,Bolivia,112094,1095,4726,62,50397,1522,56971,71,9583,404,239073,20438,11697596,104,2475,49,South America
27,Ukraine,112059,1974,2403,49,54217,763,55439,177,2565,55,1452006,33234,43690864,390,18182,30,Europe
28,Ecuador,111219,670,6471,61,95202,105,9546,370,6289,366,319537,18069,17684204,159,2733,55,South America
29,Israel,110403,2000,884,9,87726,1260,21793,409,12003,96,2217857,241135,9197590,83,10405,4,Asia
30,Kazakhstan,105243,168,1523,0,94713,723,9007,221,5595,81,2434444,129412,18811550,179,12352,8,Asia
31,Egypt,98062,237,5342,25,69612,899,23108,41,956,52,135000,1315,102627440,1047,19211,760,Africa
32,Dominican Republic,92964,407,1630,17,64347,869,26987,226,8556,150,358533,32999,10864885,117,6666,30,North America
33,Panama,89982,900,1948,16,63996,401,24038,153,20804,450,321482,74328,4325182,48,2220,13,North America
34,Oman,85005,187,650,4,79608,199,4747,153,16583,127,309212,60323,5125922,60,7886,17,Asia
35,China,85004,8,4634,0,80046,31,324,5,59,3,90410000,62814,1439323776,16932,310601,16,Asia
36,Sweden,83898,0,5820,5,0,0,0,21,8299,576,1094856,108303,10109203,120,1737,9,Europe
37,Romania,83150,1504,3459,38,36677,391,43014,492,4327,180,1730420,90048,19216700,231,5556,11,Europe
