,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6460250,31110,193248,430,3725970,18970,2541032,14681,19496,583,87474920,263982,331367520,51,1715,4,North America
2,India,4202562,91723,71687,1008,3247297,69624,883578,8944,3040,52,48831144,35320,1382530304,329,19286,28,Asia
3,Brazil,4137606,14606,126686,456,3317227,20525,693693,8318,19440,595,14408116,67694,212842592,51,1680,15,South America
4,Russia,1025505,5195,17820,61,840949,2823,166736,2300,7027,122,38400000,263110,145946368,142,8190,4,Europe
5,Peru,689977,6275,29838,151,515039,8617,145100,1500,20873,903,3379580,102237,33056488,48,1108,10,South America
6,Colombia,666521,8065,21412,256,518229,10459,126880,863,13073,420,2936517,57597,50983652,76,2381,17,South America
7,South Africa,638517,1633,14889,110,563891,2687,59737,539,10741,250,3800190,63926,59446940,93,3993,16,Africa
8,Mexico,629409,6319,67326,475,438754,4087,123329,2999,4872,521,1425207,11032,129184520,205,1919,91,North America
9,Spain,523109,2988,29484,33,0,0,0,976,11188,631,9210337,196978,46758224,89,1586,5,Europe
10,Argentina,478792,6986,9859,120,349132,8751,119801,2512,10576,218,1396887,30855,45273108,95,4592,32,South America
11,Chile,422510,2076,11592,41,394399,1432,16519,909,22067,605,2610602,136346,19146844,45,1652,7,South America
12,Iran,386658,1992,22293,139,333900,1769,30465,3722,4593,265,3380264,40150,84191616,218,3777,25,Asia
13,UK,347152,2988,41551,2,0,0,0,69,5109,611,17619896,259295,67953144,196,1635,4,Europe
14,Bangladesh,325157,1592,4479,32,221275,3423,99403,0,1971,27,1629312,9875,164994752,507,36837,101,Asia
15,France,324777,7071,30701,3,87447,0,206629,473,4974,470,8500000,130167,65300896,201,2127,8,Europe
16,Saudi Arabia,320688,756,4081,32,296737,895,19870,1457,9185,117,5406136,154844,34913352,109,8555,6,Asia
17,Pakistan,298509,484,6342,2,285898,3345,6269,532,1347,29,2757709,12441,221671472,743,34953,80,Asia
18,Turkey,279806,1578,6673,53,251105,1013,22028,1102,3311,79,7779539,92057,84507632,302,12664,11,Asia
19,Italy,277676,1303,35541,7,210015,405,32120,133,4594,588,9219257,152524,60444824,218,1701,7,Europe
20,Iraq,260370,3651,7512,90,198560,3301,54298,507,6447,186,1718157,42544,40385132,155,5376,24,Asia
