,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
57,Algeria,43403,387,1483,8,30436,279,11484,28,987,34,0,0,43975904,1013,29653,0,Africa
58,Switzerland,41346,340,2004,1,34800,0,4542,18,4772,231,988383,114067,8664924,210,4324,9,Europe
59,Uzbekistan,40823,376,303,5,37947,747,2573,133,1217,9,1377915,41075,33546520,822,110715,24,Asia
60,Costa Rica,38485,1193,407,10,14664,193,23414,140,7544,80,143049,28040,5101650,133,12535,36,North America
61,Afghanistan,38140,11,1402,1,29059,13,7679,31,976,36,102321,2619,39064676,1024,27864,382,Asia
62,Nepal,36456,927,195,12,20242,169,16019,0,1248,7,658110,22523,29219460,801,149843,44,Asia
63,Azerbaijan,35986,142,527,3,33461,97,1998,0,3544,52,904506,89079,10153980,282,19268,11,Asia
64,Moldova,35904,358,981,4,24156,0,10767,575,8904,243,207925,51564,4032396,112,4110,19,Europe
65,Kenya,33630,241,567,0,19434,66,13629,44,623,11,442713,8205,53955764,1604,95160,122,Africa
66,Serbia,31207,108,709,2,29802,269,696,36,3574,81,913856,104662,8731464,280,12315,10,Europe
67,Ireland,28578,125,1777,0,23364,0,3437,5,5777,359,814875,164732,4946665,173,2784,6,Europe
68,Austria,26590,229,733,0,22594,277,3263,27,2950,81,1147944,127340,9014800,339,12298,8,Europe
69,Australia,25448,126,583,11,20633,267,4232,35,996,23,6052236,236902,25547450,1004,43821,4,Australia/Oceania
70,El Salvador,25415,131,702,8,13570,279,11143,281,3915,108,307977,47443,6491566,255,9247,21,North America
71,Czechia,23777,486,419,1,17497,307,5861,32,2220,39,880717,82216,10712264,451,25566,12,Europe
72,Palestine,21251,574,145,4,14291,97,6815,0,4151,28,263288,51425,5119812,241,35309,19,Asia
73,Bosnia and Herzegovina,19214,294,591,9,12733,253,5890,0,5863,180,182490,55682,3277374,171,5545,18,Europe
74,Cameroon,19142,0,411,0,17651,0,1080,30,718,15,149000,5591,26647840,1392,64837,179,Africa
75,S. Korea,19077,371,316,3,14551,90,4210,58,372,6,1887717,36814,51276496,2688,162267,27,Asia
76,Ivory Coast,17797,95,115,0,16315,176,1367,0,672,4,125085,4724,26479122,1488,230253,212,Africa
77,Denmark,16700,73,624,0,14877,114,1199,2,2882,108,2360333,407266,5795557,347,9288,2,Europe
78,Bulgaria,16065,157,603,9,11231,187,4231,59,2315,87,398426,57414,6939586,432,11508,17,Europe
79,Paraguay,15873,583,280,15,8595,247,6998,76,2221,39,185921,26015,7146595,450,25524,38,South America
80,Lebanon,15613,676,148,2,4260,127,11205,90,2289,22,502126,73622,6820309,437,46083,14,Asia
81,Madagascar,14696,104,187,3,13709,23,800,48,529,7,56617,2037,27800588,1892,148666,491,Africa
82,North Macedonia,14163,159,590,5,10933,211,2640,3,6798,283,145705,69938,2083360,147,3531,14,Europe
83,Senegal,13384,90,279,2,9091,117,4014,44,796,17,142524,8478,16811700,1256,60257,118,Africa
84,Sudan,13082,37,823,0,6603,9,5656,0,297,19,401,9,44008044,3364,53473,109746,Africa
85,Libya,12629,355,226,7,1310,101,11093,0,1834,33,101310,14712,6886226,545,30470,68,Africa
86,Zambia,11779,178,283,1,10945,105,551,0,638,15,112184,6076,18462608,1567,65239,165,Africa
87,Norway,10582,40,264,0,9348,0,970,1,1949,49,686202,126416,5428131,513,20561,8,Europe
88,DRC,9994,79,255,0,9035,15,704,0,111,3,0,0,89974064,9003,352839,0,Africa
89,Greece,9800,269,259,5,3804,0,5737,35,941,25,917265,88076,10414489,1063,40210,11,Europe
90,Croatia,9549,357,180,3,6809,214,2560,11,2328,44,162301,39576,4100994,429,22783,25,Europe
91,Malaysia,9306,10,125,0,9030,36,151,8,287,4,1222854,37705,32432432,3485,259459,27,Asia
92,Guinea,9251,38,59,1,8282,102,910,24,702,4,23588,1789,13187372,1426,223515,559,Africa
93,Albania,9195,112,271,5,4923,132,4001,19,3196,94,56019,19469,2877274,313,10617,51,Europe
94,French Guiana,9022,40,58,0,8586,78,378,13,30086,193,52093,173717,299873,33,5170,6,South America
95,Gabon,8505,37,53,0,7187,121,1265,2,3807,24,116252,52041,2233873,263,42149,19,Africa
96,Tajikistan,8481,32,68,0,7276,30,1137,0,886,7,0,0,9570963,1129,140749,0,Asia
97,Haiti,8161,10,201,1,5743,0,2217,0,714,18,23322,2041,11424837,1400,56840,490,North America
98,Finland,8042,23,335,0,7200,0,507,1,1451,60,615789,111110,5542144,689,16544,9,Europe
99,Maldives,7469,140,28,0,4873,182,2568,12,13779,52,109120,201311,542047,73,19359,5,Asia
100,Mauritania,7012,19,158,0,6407,26,447,3,1502,34,69937,14981,4668434,666,29547,67,Africa
101,Namibia,6906,194,65,5,2789,13,4052,19,2710,26,57150,22428,2548160,369,39202,45,Africa
102,Luxembourg,6580,37,124,0,7140,0,-684,2,10485,198,626926,998937,627593,95,5061,1,Europe
103,Zimbabwe,6388,96,195,6,5043,33,1150,0,429,13,149748,10052,14897405,2332,76397,99,Africa
104,Malawi,5523,27,174,1,3143,22,2206,4,288,9,44219,2302,19206004,3477,110379,434,Africa
105,Hungary,5511,132,614,0,3759,2,1138,7,571,64,416645,43148,9656250,1752,15727,23,Europe
106,Djibouti,5383,0,60,0,5307,0,16,0,5436,61,66447,67099,990290,184,16505,15,Africa
107,Equatorial Guinea,4941,13,83,0,3884,86,974,1,3504,59,51944,36842,1409913,285,16987,27,Africa
108,Hong Kong,4769,13,84,3,4249,49,436,25,635,11,780415,103960,7506859,1574,89367,10,Asia
109,CAR,4700,2,61,0,1784,2,2855,2,970,13,31042,6410,4843035,1030,79394,156,Africa
110,Montenegro,4663,105,92,3,3731,125,840,0,7424,146,47543,75696,628079,135,6827,13,Europe
111,Nicaragua,4494,0,137,0,2913,0,1444,0,677,21,0,0,6637214,1477,48447,0,North America
112,Eswatini,4461,28,91,2,3210,95,1160,11,3839,78,29679,25539,1162102,261,12770,39,Africa
113,Congo,3979,0,78,0,1742,0,2159,0,718,14,0,0,5539067,1392,71014,0,Africa
114,Cuba,3866,60,92,0,3222,27,552,6,341,8,377494,33331,11325466,2930,123103,30,North America
115,Suriname,3848,55,66,0,2971,78,811,24,6550,112,7837,13340,587484,153,8901,75,South America
116,Cabo Verde,3745,46,38,0,2807,58,900,0,6724,68,76576,137489,556960,149,14657,7,Africa
117,Rwanda,3742,70,16,1,1866,3,1860,0,288,1,393237,30245,13001784,3475,812612,33,Africa
118,Slovakia,3728,102,33,0,2225,19,1470,11,683,6,327940,60061,5460081,1465,165457,17,Europe
119,Mozambique,3697,46,21,0,2055,87,1621,0,118,0,92046,2932,31389204,8490,1494724,341,Africa
120,Tunisia,3461,138,74,1,1522,18,1865,8,292,6,136941,11567,11838567,3421,159981,86,Africa
121,Thailand,3410,6,58,0,3237,0,115,1,49,0,749213,10729,69828872,20478,1203946,93,Asia
122,Mayotte,3301,0,40,0,2964,0,297,1,12055,146,13000,47474,273833,83,6846,21,Africa
123,Somalia,3275,0,95,0,2443,0,737,0,205,6,0,0,15960984,4874,168010,0,Africa
124,Sri Lanka,2989,3,12,0,2842,12,135,0,139,0,219162,10228,21427992,7169,1785666,98,Asia
125,Lithuania,2810,48,86,1,1816,14,908,5,1035,32,629443,231775,2715752,966,31579,4,Europe
126,Slovenia,2797,42,133,0,2236,37,428,1,1345,64,156139,75103,2078985,743,15631,13,Europe
127,Gambia,2797,54,96,3,743,105,1958,0,1152,40,12103,4987,2427037,868,25282,201,Africa
128,Uganda,2756,77,28,0,1288,20,1440,0,60,0,367423,7995,45959068,16676,1641395,125,Africa
129,Mali,2736,6,126,0,2055,1,555,0,135,6,36280,1784,20339704,7434,161426,561,Africa
130,Syria,2563,59,103,3,584,15,1876,0,146,6,0,0,17566394,6854,170548,0,Asia
131,South Sudan,2518,4,47,0,1290,0,1181,0,225,4,12044,1074,11214816,4454,238613,931,Africa
132,Angola,2471,56,106,1,1028,0,1337,24,75,3,64747,1961,33020848,13363,311517,510,Africa
133,Estonia,2343,18,64,0,2076,9,203,0,1766,48,146128,110145,1326683,566,20729,9,Europe
134,Guinea-Bissau,2205,0,34,0,1127,0,1044,5,1116,17,1500,759,1975208,896,58094,1317,Africa
135,Benin,2145,0,40,0,1738,0,367,0,176,3,118206,9711,12171998,5675,304300,103,Africa
136,Iceland,2092,5,10,0,1964,0,118,0,6124,29,210223,615400,341604,163,34160,2,Europe
137,Bahamas,2057,134,50,2,755,22,1252,83,5223,127,10917,27719,393852,191,7877,36,North America
138,Sierra Leone,2013,0,70,0,1581,0,362,0,252,9,0,0,8002382,3975,114320,0,Africa
139,Yemen,1943,10,563,1,1107,9,273,0,65,19,120,4,29928272,15403,53159,249402,Asia
140,Aruba,1906,58,9,1,743,135,1154,7,17840,84,20472,191614,106840,56,11871,5,North America
141,Jamaica,1870,66,19,0,846,0,1005,4,631,6,55605,18765,2963288,1585,155963,53,North America
142,Jordan,1869,68,15,0,1367,3,487,3,183,1,800446,78325,10219498,5468,681300,13,Asia
143,Malta,1820,32,10,0,1186,65,624,3,4120,23,184354,417339,441737,243,44174,2,Europe
144,New Zealand,1714,12,22,0,1561,7,131,11,343,4,730330,146005,5002100,2918,227368,7,Australia/Oceania
145,Botswana,1633,0,6,0,224,0,1403,1,692,3,109547,46437,2359065,1445,393178,22,Africa
146,Uruguay,1556,5,43,0,1352,19,161,3,448,12,167716,48254,3475711,2234,80830,21,South America
147,Trinidad and Tobago,1554,78,19,4,628,34,907,5,1110,14,22937,16381,1400234,901,73697,61,North America
148,Réunion,1487,77,6,0,692,0,789,2,1659,7,35419,39515,896353,603,149392,25,Africa
149,Cyprus,1481,14,20,0,935,0,526,5,1225,17,286736,237209,1208790,816,60440,4,Asia
150,Georgia,1455,8,19,0,1196,6,240,0,365,5,355486,89141,3987889,2741,209889,11,Asia
151,Latvia,1375,9,34,0,1163,0,178,1,730,18,246867,131128,1882635,1369,55372,8,Europe
152,Togo,1365,39,27,0,981,35,357,0,164,3,63113,7596,8308808,6087,307734,132,Africa
153,Burkina Faso,1352,0,55,0,1058,0,239,0,64,3,0,0,20991004,15526,381655,0,Africa
154,Liberia,1298,0,82,0,832,0,384,0,256,16,0,0,5076108,3911,61904,0,Africa
155,Guyana,1180,40,35,3,633,17,512,9,1499,44,7811,9923,787174,667,22491,101,South America
156,Niger,1175,2,69,0,1085,1,21,0,48,3,9052,372,24336834,20712,352708,2689,Africa
157,Guadeloupe,1145,210,16,1,336,47,793,9,2862,40,29595,73963,400135,349,25008,14,North America
158,Andorra,1124,26,53,0,902,9,169,3,14544,686,137457,1778573,77285,69,1458,1,Europe
159,Lesotho,1051,0,31,0,526,0,494,0,490,14,15023,7004,2145008,2041,69194,143,Africa
160,Vietnam,1038,2,30,0,663,26,345,0,11,0,1009145,10352,97480448,93912,3249348,97,Asia
161,Chad,1008,4,77,0,878,3,53,0,61,5,0,0,16497705,16367,214256,0,Africa
162,Sao Tome and Principe,895,1,15,0,848,2,32,0,4072,68,3693,16802,219800,246,14653,60,Africa
163,Belize,870,52,12,0,93,39,765,8,2182,30,7622,19114,398766,458,33231,52,North America
164,Diamond Princess,712,0,13,0,651,0,48,4,0,0,0,0,0,0,0,0,N/A
165,San Marino,710,0,42,0,658,0,10,0,20917,1237,6678,196742,33943,48,808,5,Europe
166,Myanmar,643,41,6,0,349,0,288,0,12,0,149861,2751,54469272,84711,9078212,363,Asia
