,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5700931,44957,176337,1263,3062331,51233,2462263,16875,17209,532,73115712,220715,331266944,58,1879,5,North America
2,Brazil,3460413,48541,111189,1170,2615254,61075,733970,8318,16264,523,13729872,64531,212764272,61,1914,15,South America
3,India,2835822,69196,53994,980,2096068,59365,685760,8944,2052,39,31742782,22972,1381826560,487,25592,44,Asia
4,Russia,937321,4828,15989,117,749423,6795,171909,2300,6423,110,33217468,227606,145943136,156,9128,4,Europe
5,South Africa,596060,3916,12423,159,491441,5973,92196,539,10033,209,3455671,58168,59408124,100,4782,17,Africa
6,Peru,558420,9099,26834,176,377453,3434,154133,1516,16905,812,2852011,86339,33032636,59,1231,12,South America
7,Mexico,531239,5506,57774,751,363307,3960,110158,3646,4114,447,1196707,9269,129114240,243,2235,108,North America
8,Colombia,502178,13056,15979,360,326298,13975,159901,1493,9855,314,2337241,45868,50955512,101,3189,22,South America
9,Chile,390037,1182,10578,32,364285,1845,15174,1120,20380,553,2087354,109067,19138336,49,1809,9,South America
10,Spain,387985,3715,28797,127,0,0,0,617,8298,616,7955615,170147,46757288,121,1624,6,Europe
11,Iran,350279,2444,20125,153,302528,1647,27626,3868,4163,239,2939840,34942,84135808,240,4181,29,Asia
12,UK,321098,812,41397,16,0,0,0,73,4727,609,14988134,220626,67934672,212,1641,5,Europe
13,Argentina,312659,6693,6330,282,228725,5194,77604,1795,6909,140,1012979,22385,45251600,145,7149,45,South America
14,Saudi Arabia,302686,1363,3506,36,274091,1180,25089,1725,8677,101,4378417,125509,34885188,115,9950,8,Asia
15,Pakistan,290445,613,6201,11,272128,2119,12116,743,1312,28,2340072,10567,221448448,762,35712,95,Asia
16,Bangladesh,285091,2747,3781,41,165738,2913,115572,0,1729,23,1393497,8450,164909632,578,43615,118,Asia
17,Italy,255278,642,35412,7,204506,364,15360,66,4223,586,7713154,127597,60449424,237,1707,8,Europe
18,Turkey,253108,1303,6039,23,233915,1002,13154,719,2997,72,5969629,70679,84460544,334,13986,14,Asia
19,Germany,229700,1595,9314,9,203900,1000,16486,224,2740,111,10197366,121657,83820752,365,8999,8,Europe
20,France,225043,3776,30468,17,84065,0,110510,384,3447,467,6000000,91893,65293420,290,2143,11,Europe
21,Iraq,188802,4093,6121,85,134369,2529,48312,582,4680,152,1345459,33354,40338160,214,6590,30,Asia
22,Philippines,173774,4650,2795,111,113481,716,57498,489,1583,25,2163050,19704,109774528,632,39275,51,Asia
23,Indonesia,144945,1902,6346,69,98657,2351,39942,0,529,23,1915039,6991,273911040,1890,43163,143,Asia
24,Canada,123490,336,9049,4,109822,465,4619,61,3268,239,4925446,130348,37786764,306,4176,8,North America
25,Qatar,115956,295,193,0,112658,303,3105,66,41298,69,566013,201586,2807805,24,14548,5,Asia
26,Ecuador,104475,1534,6146,41,87277,94,11052,365,5910,348,293066,16578,17678344,169,2876,60,South America
27,Kazakhstan,103571,271,1415,0,86286,1841,15870,221,5507,75,2291327,121836,18806642,182,13291,8,Asia
28,Bolivia,103019,1796,4172,49,38623,1152,60224,71,8809,357,221379,18931,11694115,114,2803,53,South America
29,Israel,97969,1560,781,73,73092,1102,24096,398,10652,85,2151295,233898,9197590,94,11777,4,Asia
30,Egypt,96914,161,5197,13,62553,991,29164,41,945,51,135000,1316,102585184,1059,19739,760,Africa
31,Ukraine,96403,1967,2144,28,49737,812,44522,177,2206,49,1335000,30552,43696576,453,20381,33,Europe
32,Dominican Republic,88127,1004,1501,12,56760,1256,29866,288,8113,138,331160,30487,10862509,123,7237,33,North America
33,Sweden,85411,0,5802,5,0,0,0,29,8450,574,973523,96314,10107829,118,1742,10,Europe
34,China,84888,17,4634,0,79685,43,569,26,59,3,90410000,62814,1439323776,16956,310601,16,Asia
35,Panama,83754,964,1827,18,58274,1083,23653,157,19371,423,276389,63924,4323696,52,2367,16,North America
36,Oman,83606,188,603,6,78188,211,4815,158,16319,118,309212,60357,5123074,61,8496,17,Asia
37,Belgium,78897,363,9959,15,18048,45,50890,89,6804,859,2023900,174526,11596526,147,1164,6,Europe
38,Kuwait,78145,675,507,2,69771,528,7867,96,18263,118,573251,133971,4278903,55,8440,7,Asia
39,Romania,73617,1409,3106,32,33566,431,36945,480,3830,162,1566632,81513,19219490,261,6188,12,Europe
40,Belarus,69801,128,622,5,67647,308,1532,0,7387,66,1437110,152093,9448891,135,15191,7,Europe
41,UAE,65341,435,367,1,58022,113,6952,0,6596,37,6193635,625220,9906322,152,26993,2,Asia
42,Guatemala,64881,1034,2467,48,53362,992,9052,5,3613,137,209138,11646,17958688,277,7280,86,North America
43,Netherlands,64525,552,6181,6,0,0,0,54,3765,361,1312787,76592,17140098,266,2773,13,Europe
44,Poland,58611,735,1913,17,40099,456,16599,83,1549,51,2409394,63672,37840836,646,19781,16,Europe
45,Japan,57550,865,1128,13,43835,1551,12587,239,455,9,1236180,9778,126422168,2197,112076,102,Asia
46,Singapore,56031,93,27,0,52810,277,3194,0,9567,5,1745928,298115,5856564,105,216910,3,Asia
47,Portugal,54701,253,1786,2,40129,193,12786,35,5367,175,1861876,182670,10192542,186,5707,5,Europe
48,Honduras,51670,675,1593,10,7661,211,42416,45,5206,160,126374,12733,9925303,192,6231,79,North America
49,Nigeria,50488,593,985,4,37304,253,12199,7,244,5,352625,1705,206788320,4096,209937,586,Africa
50,Bahrain,47950,369,178,3,44278,357,3494,39,28061,104,1000787,585673,1708782,36,9600,2,Asia
51,Morocco,46313,1510,743,29,31576,574,13994,31,1253,20,1670569,45189,36968896,798,49756,22,Africa
52,Ghana,43094,101,256,8,40963,167,1875,6,1383,8,429773,13794,31156568,723,121705,72,Africa
53,Kyrgyzstan,42325,179,1498,0,35197,342,5630,24,6473,229,267718,40946,6538305,154,4365,24,Asia
54,Armenia,42056,210,833,1,35226,244,5997,0,14189,281,188567,63619,2964007,70,3558,16,Asia
55,Algeria,39847,403,1402,11,27971,318,10474,46,907,32,0,0,43954240,1103,31351,0,Africa
56,Switzerland,38760,311,1996,4,33500,0,3264,14,4474,230,901074,104012,8663197,224,4340,10,Europe
57,Afghanistan,37599,0,1375,0,27166,0,9058,31,963,35,98772,2530,39040664,1038,28393,395,Asia
58,Uzbekistan,37112,760,248,6,32944,882,3920,410,1107,7,1377915,41091,33533264,904,135215,24,Asia
59,Venezuela,36868,1171,303,6,25416,855,11149,85,1297,11,1669982,58751,28424650,771,93811,17,South America
60,Azerbaijan,34620,146,510,1,32363,162,1747,0,3410,50,849628,83695,10151486,293,19905,12,Asia
61,Ethiopia,34058,1336,600,28,13308,370,20150,216,295,5,672637,5833,115325184,3386,192209,171,Africa
62,Moldova,31415,626,914,6,21885,0,8616,362,7790,227,183923,45608,4032651,128,4412,22,Europe
63,Kenya,31015,379,506,19,17612,244,12897,44,575,9,398585,7392,53923328,1739,106568,135,Africa
64,Costa Rica,30409,766,321,7,9660,198,20428,126,5962,63,123223,24160,5100381,168,15889,41,North America
65,Serbia,30048,158,684,3,27702,105,1662,57,3441,78,831677,95240,8732421,291,12767,10,Europe
66,Nepal,28938,681,120,6,17700,120,11118,0,991,4,866790,29679,29205124,1009,243376,34,Asia
67,Ireland,27547,48,1775,0,23364,0,2408,6,5570,359,735598,148751,4945158,180,2786,7,Europe
68,Austria,24084,255,729,0,20958,88,2397,20,2672,81,1048216,116295,9013399,374,12364,9,Europe
69,Australia,23993,220,450,12,15246,317,8297,52,939,18,5439315,212978,25539368,1064,56754,5,Australia/Oceania
70,El Salvador,23717,255,633,8,11388,209,11696,398,3654,98,285893,44047,6490674,274,10254,23,North America
71,Czechia,20798,315,404,3,15615,469,4779,23,1942,38,812835,75883,10711723,515,26514,13,Europe
72,Cameroon,18624,25,406,0,16540,0,1678,30,699,15,149000,5595,26629730,1430,65590,179,Africa
73,Palestine,17606,300,119,6,10312,373,7175,0,3441,23,214862,41993,5116564,291,42996,24,Asia
74,Ivory Coast,17232,82,111,1,14422,239,2699,0,651,4,116785,4413,26461220,1536,238389,227,Africa
75,Bosnia and Herzegovina,16691,340,507,12,10711,432,5473,0,5092,155,166973,50939,3277929,196,6465,20,Europe
76,S. Korea,16058,297,306,0,14006,72,1746,12,313,6,1715064,33448,51275296,3193,167566,30,Asia
77,Denmark,15940,85,621,0,13651,122,1668,1,2751,107,2029565,350227,5795001,364,9332,3,Europe
78,Bulgaria,14820,151,527,8,9931,232,4362,60,2135,76,351879,50696,6941007,468,13171,20,Europe
79,Madagascar,14074,65,173,0,12921,154,980,89,507,6,53542,1927,27781076,1974,160584,519,Africa
80,North Macedonia,13076,106,551,2,9625,112,2900,3,6276,264,130840,62802,2083362,159,3781,16,Europe
81,Sudan,12546,61,808,3,6429,31,5309,0,285,18,401,9,43979996,3505,54431,109676,Africa
82,Senegal,12446,141,258,2,7877,110,4311,43,741,15,132830,7907,16799604,1350,65115,126,Africa
83,Paraguay,11133,527,165,4,6582,180,4386,54,1558,23,162323,22721,7144202,642,43298,44,South America
84,Lebanon,10347,589,109,2,2928,76,7310,68,1517,16,437369,64120,6821140,659,62579,16,Asia
85,Zambia,10218,237,269,5,9126,350,823,0,554,15,103023,5584,18448488,1805,68582,179,Africa
86,Norway,10162,51,262,0,8857,0,1043,1,1872,48,574529,105865,5426974,534,20714,9,Europe
87,DRC,9741,20,246,3,8895,13,600,0,108,3,0,0,89899328,9229,365444,0,Africa
88,Libya,9463,395,169,5,1018,15,8276,0,1375,25,85500,12421,6883672,727,40732,81,Africa
89,Malaysia,9235,16,125,0,8925,23,185,7,285,4,1114246,34368,32421100,3511,259369,29,Asia
90,Guinea,8792,77,53,1,7574,42,1165,24,667,4,15667,1189,13177603,1499,248634,841,Africa
91,French Guiana,8711,54,54,1,8112,58,545,15,29070,180,47767,159403,299661,34,5549,6,South America
92,Gabon,8319,49,53,0,6614,210,1652,1,3726,24,104420,46774,2232434,268,42121,21,Africa
93,Tajikistan,8166,35,65,0,6971,36,1130,0,854,7,0,0,9565096,1171,147155,0,Asia
94,Haiti,7949,28,196,0,5337,102,2416,0,696,17,21400,1874,11421040,1437,58271,534,North America
95,Albania,7812,158,234,2,3928,57,3650,15,2715,81,48325,16795,2877359,368,12296,60,Europe
96,Finland,7805,29,334,0,7100,50,371,0,1408,60,510428,92103,5541909,710,16593,11,Europe
97,Greece,7684,212,235,3,3804,0,3645,28,738,23,804282,77217,10415873,1356,44323,13,Europe
