,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6000365,44637,183653,1289,3313861,59579,2502851,16378,18111,554,78632568,237343,331304000,55,1804,4,North America
2,Brazil,3722004,47828,117756,1090,2908848,60453,695400,8318,17491,553,14172764,66603,212793136,57,1807,15,South America
3,India,3307749,75995,60629,1017,2523443,56191,723677,8944,2393,44,37651512,27243,1382085760,418,22796,37,Asia
4,Russia,970865,4676,16683,115,786150,6403,168032,2300,6652,114,35100000,240503,145944336,150,8748,4,Europe
5,South Africa,615701,2684,13502,194,525242,4861,76957,539,10361,227,3598973,60566,59422424,97,4401,17,Africa
6,Peru,613378,5996,28124,123,421877,7300,163377,1512,18564,851,3055850,92485,33041424,54,1175,11,South America
7,Colombia,572270,10142,18184,295,407121,11651,146965,1493,11228,357,2582612,50673,50965880,89,2803,20,South America
8,Mexico,568621,4916,61450,650,393101,3977,114070,3442,4403,476,1278436,9900,129140136,227,2102,101,North America
9,Spain,426818,3594,28971,47,0,0,0,697,9128,620,8517446,182162,46757636,110,1614,5,Europe
10,Chile,402365,1380,10990,32,376268,1805,15107,1004,21021,574,2276223,118916,19141470,48,1742,8,South America
11,Argentina,370188,10550,7839,276,268801,5599,93548,2022,8179,173,1148574,25378,45259524,122,5774,39,South America
12,Iran,365606,2243,21020,119,314870,1812,29716,3831,4344,250,3113806,37000,84156368,230,4004,27,Asia
13,UK,328846,1048,41465,16,0,0,0,68,4840,610,15177265,223387,67941472,207,1639,4,Europe
14,Saudi Arabia,310836,1068,3755,33,284945,1013,22136,1601,8908,108,4792192,137330,34895568,112,9293,7,Asia
15,Bangladesh,302147,2519,4082,54,190183,3427,107882,0,1832,25,1485261,9005,164940992,546,40407,111,Asia
16,Pakistan,294193,482,6267,12,278939,514,8987,669,1328,28,2512337,11341,221530624,753,35349,88,Asia
17,Italy,262540,1367,35458,13,206329,314,20753,69,4343,587,8219421,135976,60447728,230,1705,7,Europe
18,Turkey,262507,1313,6183,20,239797,1002,16527,841,3107,73,6621749,78384,84477896,322,13663,13,Asia
19,France,253587,5429,30544,0,85524,0,137519,410,3884,468,6000000,91889,65296176,257,2138,11,Europe
20,Germany,239000,1428,9352,7,214233,4633,15415,245,2851,112,11208091,133707,83825864,351,8963,7,Europe
21,Iraq,215784,3837,6668,72,157215,3454,51901,595,5347,165,1502546,37233,40355468,187,6052,27,Asia
22,Philippines,202361,5277,3137,99,133460,1131,65764,717,1843,29,2406194,21914,109802424,543,35002,46,Asia
23,Indonesia,160165,2306,6944,86,115409,2542,37812,0,585,25,2106753,7690,273966336,1711,39454,130,Asia
24,Canada,126417,448,9094,4,112455,405,4868,45,3345,241,5246341,138817,37793084,299,4156,7,North America
25,Qatar,117742,244,194,0,114558,240,2990,63,41934,69,604112,215155,2807805,24,14473,5,Asia
26,Bolivia,110999,851,4664,86,48875,1825,57460,71,9489,399,236863,20250,11697161,105,2508,49,South America
27,Ecuador,110549,1519,6410,42,95097,72,9042,370,6252,362,315924,17865,17683472,160,2759,56,South America
28,Ukraine,110085,1670,2354,36,53454,584,54277,177,2520,54,1452006,33233,43691576,397,18561,30,Europe
29,Israel,108403,1943,875,16,86466,2644,21062,404,11786,95,2180096,237029,9197590,85,10512,4,Asia
30,Kazakhstan,105075,173,1523,0,93990,585,9562,221,5586,81,2291327,121808,18810936,179,12351,8,Asia
31,Egypt,97825,206,5317,19,68713,996,23795,41,953,52,135000,1316,102622152,1049,19301,760,Africa
32,Dominican Republic,92557,340,1613,28,63478,1018,27466,249,8519,148,355839,32752,10864588,117,6736,31,North America
33,Panama,89082,701,1932,13,63595,836,23555,153,20597,447,317156,73331,4324996,49,2239,14,North America
34,Sweden,87072,0,5817,5,0,0,0,21,8613,575,1094856,108305,10109031,116,1738,9,Europe
35,China,84996,15,4634,0,80015,54,347,8,59,3,90410000,62814,1439323776,16934,310601,16,Asia
36,Oman,84818,166,646,4,79409,262,4763,148,16548,126,309212,60327,5125566,60,7934,17,Asia
37,Belgium,82447,355,9878,0,18291,49,54278,85,7109,852,2162690,186479,11597489,141,1174,5,Europe
38,Kuwait,82271,698,521,2,73906,504,7844,92,19222,122,599413,140046,4280111,52,8215,7,Asia
39,Romania,81646,1256,3421,54,36286,470,41939,502,4249,178,1705368,88742,19217048,235,5617,11,Europe
