,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5150060,337,165074,4,2638673,203,2346313,18020,15549,498,64614448,195087,331208704,64,2006,5,North America
1,Brazil,3013369,0,100543,0,2094293,0,818533,8318,14166,473,13231548,62202,212718944,71,2116,16,South America
2,India,2156756,4736,43498,45,1481825,2021,631433,8944,1561,31,24106536,17451,1381419136,641,31758,57,Asia
3,Russia,887536,5189,14931,77,693422,3215,179183,2300,6081,102,30038124,205823,145941264,164,9774,5,Europe
4,South Africa,553188,0,10210,0,404568,0,138410,539,9315,172,3220265,54226,59385652,107,5816,18,Africa
5,Mexico,475902,6495,52006,695,318638,5252,105258,3892,3687,403,1085897,8413,129073560,271,2482,119,North America
6,Peru,471012,0,20844,0,319171,0,130997,1474,14265,631,2548439,77181,33018828,70,1584,13,South America
7,Colombia,376870,0,12540,0,204591,0,159739,1493,7398,246,1877368,36855,50939224,135,4062,27,South America
8,Chile,371023,0,10011,0,344133,0,16879,1305,19391,523,1812895,94750,19133408,52,1911,11,South America
9,Spain,361442,0,28503,0,0,0,0,617,7730,610,7064329,151087,46756748,129,1640,7,Europe
10,Iran,324692,0,18264,0,282122,0,24306,4148,3861,217,2637575,31361,84103496,259,4605,32,Asia
11,UK,309763,0,46566,0,0,0,0,67,4560,686,18102004,266504,67923976,219,1459,4,Europe
12,Saudi Arabia,287262,0,3130,0,250440,0,33692,1828,8238,90,3754850,107685,34868884,121,11140,9,Asia
13,Pakistan,284121,634,6082,14,260248,644,17791,791,1284,27,2127089,9611,221319328,779,36389,104,Asia
14,Bangladesh,255113,0,3365,0,146604,0,105144,0,1547,20,1249560,7580,164860352,646,48993,132,Asia
15,Italy,250103,0,35203,0,201947,0,12953,43,4137,582,7212207,119305,60452084,242,1717,8,Europe
16,Argentina,241811,0,4523,0,108242,0,129046,1502,5345,100,830057,18348,45239148,187,10002,55,South America
17,Turkey,239622,0,5829,0,222656,0,11137,587,2838,69,5202370,61615,84433288,352,14485,16,Asia
18,Germany,216896,0,9261,0,197400,0,10235,236,2588,110,8586648,102450,83812720,386,9050,10,Europe
19,France,197921,0,30324,0,82836,0,84761,383,3031,464,4183143,64071,65289092,330,2153,16,Europe
20,Iraq,147389,0,5310,0,105504,0,36575,577,3656,132,1127383,27967,40310968,274,7592,36,Asia
21,Philippines,129913,3028,2270,61,67673,556,59970,239,1184,21,1738268,15841,109730688,845,48340,63,Asia
22,Indonesia,125396,1893,5723,65,80952,1646,38721,0,458,21,1693880,6186,273824160,2184,47846,162,Asia
23,Canada,119221,0,8976,0,103566,0,6679,2281,3156,238,4404038,116580,37776828,317,4209,9,North America
24,Qatar,112650,0,182,0,109438,0,3030,78,40120,65,516825,184067,2807805,25,15428,5,Asia
25,Kazakhstan,98701,872,1058,0,72273,664,25370,221,5250,56,2183308,116134,18799894,190,17769,9,Asia
26,Egypt,95314,0,4992,0,51672,0,38650,41,930,49,135000,1317,102527088,1076,20538,759,Africa
27,Ecuador,93572,0,5916,0,71605,0,16051,369,5295,335,261829,14817,17670288,189,2987,67,South America
