,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6485575,25325,193534,286,3758629,32659,2533412,14589,19572,584,88067848,265771,331367520,51,1712,4,North America
2,India,4277584,75022,72816,1129,3321420,74123,883348,8944,3094,53,49551508,35841,1382530304,323,18987,28,Asia
3,Brazil,4147794,10188,127001,315,3355564,38337,665229,8318,19488,597,14408116,67694,212842592,51,1676,15,South America
4,Russia,1030690,5185,17871,51,843277,2328,169542,2300,7062,122,38758184,265565,145946368,142,8167,4,Europe
5,Peru,691575,1598,29976,138,522251,7212,139348,1488,20921,907,3386625,102450,33056488,48,1103,10,South America
6,Colombia,671848,5327,21615,203,529279,11050,120954,863,13178,424,2964722,58150,50983652,76,2359,17,South America
7,South Africa,639362,845,15004,115,566555,2664,57803,539,10755,252,3808949,64073,59446940,93,3962,16,Africa
8,Mexico,634023,4614,67558,232,442268,3514,124197,2927,4908,523,1431633,11082,129184520,204,1912,90,North America
9,Spain,525549,2440,29516,32,0,0,0,1034,11240,631,9987326,213595,46758224,89,1584,5,Europe
10,Argentina,488007,9215,10129,270,357388,8256,120490,2698,10779,224,1412149,31192,45273108,93,4470,32,South America
11,Chile,424274,1764,11652,60,395717,1318,16905,930,22159,609,2641589,137965,19146844,45,1643,7,South America
12,Iran,388810,2152,22410,117,335572,1672,30828,3733,4618,266,3406055,40456,84191616,217,3757,25,Asia
13,UK,350100,2948,41554,3,0,0,0,69,5152,612,17619896,259295,67953144,194,1635,4,Europe
14,France,328980,4203,30726,25,87836,389,210418,537,5038,471,8500000,130167,65300896,198,2125,8,Europe
15,Bangladesh,327359,2202,4516,37,224573,3298,98270,0,1984,27,1644724,9968,164994752,504,36536,100,Asia
16,Saudi Arabia,321456,768,4107,26,297623,886,19726,1430,9207,118,5406136,154844,34913352,109,8501,6,Asia
17,Pakistan,298903,394,6345,3,286016,118,6542,534,1348,29,2778689,12535,221671472,742,34936,80,Asia
18,Turkey,281509,1703,6730,57,252152,1047,22627,1118,3331,80,7883464,93287,84507632,300,12557,11,Asia
19,Italy,278784,1108,35553,12,210238,223,32993,142,4612,588,9271810,153393,60444824,217,1700,7,Europe
20,Iraq,264684,4314,7589,77,202859,4299,54236,534,6554,188,1718157,42544,40385132,153,5322,24,Asia
21,Germany,253625,1901,9405,4,227000,792,17220,223,3025,112,12383035,147708,83834624,331,8914,7,Europe
22,Philippines,238727,1383,3890,15,184906,230,49931,982,2173,35,2840157,25855,109850248,460,28239,39,Asia
23,Indonesia,196989,2880,8130,105,140652,2077,48207,0,719,30,2452164,8948,274061088,1391,33710,112,Asia
24,Ukraine,138068,2174,2877,31,62606,379,72585,177,3161,66,1693793,38775,43683008,316,15184,26,Europe
25,Israel,133975,3331,1026,7,105455,2978,27494,470,14566,112,2488587,270569,9197590,69,8965,4,Asia
26,Canada,132142,247,9146,1,116459,102,6537,54,3495,242,5841880,154531,37803924,286,4133,6,North America
27,Bolivia,120769,528,7008,40,71489,1923,42272,71,10320,599,253647,21675,11702383,97,1670,46,South America
28,Qatar,120348,253,205,2,117241,243,2902,59,42862,73,663648,236358,2807805,23,13697,4,Asia
29,Ecuador,110092,308,10576,52,91242,0,8274,424,6223,598,330998,18709,17692260,161,1673,53,South America
30,Kazakhstan,106361,60,1588,0,99654,131,5119,221,5652,84,2571562,136652,18818300,177,11850,7,Asia
31,Egypt,100041,178,5541,11,79008,900,15492,41,974,54,135000,1315,102685536,1026,18532,761,Africa
32,Dominican Republic,99898,565,1864,19,73228,661,24806,210,9192,172,394791,36325,10868152,109,5831,28,North America
33,Panama,97578,535,2099,13,70247,586,25232,149,22550,485,369420,85371,4327225,44,2062,12,North America
34,Romania,95897,883,3926,33,40454,147,51517,465,4991,204,1945738,101273,19212864,200,4894,10,Europe
35,Kuwait,90387,805,546,2,81037,516,8804,90,21108,128,648051,151337,4282183,47,7843,7,Asia
36,Belgium,88367,542,9907,1,18567,12,59893,53,7618,854,2419095,208558,11599139,131,1171,5,Europe
37,Oman,87328,256,734,6,82805,399,3789,160,17024,143,309212,60277,5129838,59,6989,17,Asia
38,Sweden,85558,0,5837,5,0,0,0,13,8462,577,1124269,111192,10111092,118,1732,9,Europe
39,China,85134,12,4634,0,80320,18,180,3,59,3,160000000,111163,1439323776,16907,310601,9,Asia
40,Guatemala,77828,145,2862,10,66584,453,8382,5,4330,159,259883,14457,17975916,231,6281,69,North America
41,Netherlands,75584,797,6243,0,0,0,0,42,4409,364,1648103,96144,17142060,227,2746,10,Europe
42,UAE,74454,470,390,2,66533,438,7531,0,7511,39,7632984,770034,9912524,133,25417,1,Asia
43,Morocco,73780,1386,1394,33,56096,822,16290,201,1995,38,2070053,55960,36991600,501,26536,18,Africa
44,Belarus,73031,172,716,5,71883,19,432,0,7729,76,1591247,168409,9448730,129,13197,6,Europe
45,Japan,71856,437,1363,6,62536,460,7957,209,568,11,1596561,12631,126402160,1759,92738,79,Asia
46,Poland,71126,302,2124,4,55113,857,13889,81,1880,56,2841344,75091,37838692,532,17815,13,Europe
47,Honduras,64764,412,2007,1,13418,303,49339,32,6520,202,153065,15409,9933487,153,4949,65,North America
48,Portugal,60507,249,1843,3,43016,63,15648,49,5937,181,2153615,211325,10191005,168,5530,5,Europe
49,Ethiopia,59648,976,933,15,21789,482,36926,309,517,8,1063454,9210,115473464,1936,123766,109,Africa
50,Singapore,57044,22,27,0,56408,75,609,0,9736,5,2068284,353013,5858949,103,216998,3,Asia
51,Bahrain,56076,661,200,1,51240,294,4636,31,32757,117,1183388,691284,1711870,31,8559,1,Asia
52,Nigeria,55160,155,1061,4,43231,218,10868,7,266,5,424186,2049,207054352,3754,195150,488,Africa
53,Venezuela,54350,1061,436,8,43753,1747,10161,111,1912,15,1805766,63537,28420486,523,65185,16,South America
54,Costa Rica,48780,833,510,32,19083,872,29187,213,9559,100,166786,32685,5102793,105,10005,31,North America
55,Nepal,47236,979,300,11,30677,1736,16259,0,1616,10,777563,26599,29232364,619,97441,38,Asia
56,Algeria,46653,289,1562,6,32985,240,12106,44,1060,36,0,0,43995400,943,28166,0,Africa
57,Ghana,44869,92,283,0,43801,108,785,5,1439,9,446867,14327,31190308,695,110213,70,Africa
58,Armenia,44845,62,900,3,40121,32,3824,0,15128,304,219177,73939,2964294,66,3294,14,Asia
59,Switzerland,44592,191,2014,1,37700,600,4878,25,5145,232,1103149,127289,8666478,194,4303,8,Europe
60,Kyrgyzstan,44458,55,1060,0,39960,134,3438,24,6794,162,267718,40911,6543898,147,6173,24,Asia
61,Uzbekistan,43893,306,352,5,41531,306,2010,219,1308,10,1377915,41060,33558456,765,95337,24,Asia
62,Moldova,40055,258,1074,11,27799,0,11182,549,9934,266,210553,52218,4032167,101,3754,19,Europe
63,Afghanistan,38494,96,1415,3,30557,20,6522,93,985,36,105053,2688,39086288,1015,27623,372,Asia
64,Azerbaijan,37418,89,551,3,34837,132,2030,0,3684,54,967040,95216,10156225,271,18432,11,Asia
65,Kenya,35205,102,599,2,21310,80,13296,44,652,11,474477,8789,53984956,1533,90125,114,Africa
66,Serbia,31941,36,725,1,30637,0,579,33,3659,83,984798,112798,8730602,273,12042,9,Europe
67,Ireland,29774,102,1777,0,23364,0,4633,7,6017,359,906432,183191,4948020,166,2784,5,Europe
68,Austria,29561,290,746,10,25300,257,3515,29,3279,83,1266223,140441,9016062,305,12086,7,Europe
69,Czechia,28716,560,437,1,19855,802,8424,54,2681,41,971264,90664,10712751,373,24514,11,Europe
70,Palestine,26779,652,184,3,17270,427,9325,0,5227,36,306621,59855,5122736,191,27841,17,Asia
71,El Salvador,26413,105,764,5,16137,322,9512,237,4068,118,332664,51239,6492369,246,8498,20,North America
72,Australia,26322,43,762,9,22603,136,2957,32,1030,30,6691350,261844,25554724,971,33536,4,Australia/Oceania
73,Paraguay,23353,867,449,14,11524,391,11380,101,3267,63,211956,29649,7148749,306,15921,34,South America
74,Bosnia and Herzegovina,21660,100,664,9,14830,121,6166,0,6610,203,198511,60579,3276875,151,4935,17,Europe
75,S. Korea,21296,119,336,2,16297,151,4663,162,415,7,2051297,40004,51277576,2408,152612,25,Asia
76,Lebanon,20826,400,200,9,6430,291,14196,112,3054,29,588158,86246,6819561,327,34098,12,Asia
