,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6141742,2664,186883,28,3409063,264,2545796,16026,18537,564,81142184,244906,331319872,54,1773,4,North America
2,Brazil,3846965,0,120498,0,3006812,0,719655,8318,18077,566,14352484,67444,212805504,55,1766,15,South America
3,India,3570733,31021,63893,236,2734783,22263,772057,8944,2583,46,41461636,29997,1382196864,387,21633,33,Asia
4,Russia,990326,4980,17093,68,806982,2599,166251,2300,6786,117,36400000,249409,145944848,147,8538,4,Europe
5,Peru,639435,0,28607,0,446675,0,164153,1524,19350,866,3156679,95526,33045190,52,1155,10,South America
6,South Africa,622551,0,13981,0,536694,0,71876,539,10476,235,3652970,61468,59428552,95,4251,16,Africa
7,Colombia,599914,0,19064,0,440574,0,140276,1493,11770,374,2685355,52685,50970324,85,2674,19,South America
8,Mexico,591712,5974,63819,673,409127,4460,118766,3334,4582,494,1334331,10332,129151232,218,2024,97,North America
9,Spain,455621,0,29011,0,0,0,0,751,9744,620,8517446,182161,46757784,103,1612,5,Europe
10,Chile,408009,0,11181,0,381183,0,15645,959,21314,584,2365753,123584,19142814,47,1712,8,South America
11,Argentina,401239,0,8401,48,294007,6787,98831,2192,8865,186,1242269,27446,45262920,113,5388,36,South America
12,Iran,373570,1754,21462,103,321421,1574,30687,3759,4439,255,3184857,37841,84165184,225,3922,26,Asia
13,UK,332752,0,41498,0,0,0,0,60,4897,611,16273209,239508,67944392,204,1637,4,Europe
14,Saudi Arabia,314821,910,3870,30,289667,1226,21284,1545,9021,111,5026127,144015,34900012,111,9018,7,Asia
15,Bangladesh,310822,1897,4248,42,201907,3044,104667,0,1884,26,1537749,9322,164954432,531,38831,107,Asia
16,Pakistan,295636,264,6288,4,280547,207,8801,601,1334,28,2603129,11749,221565824,749,35236,85,Asia
17,France,272530,0,30602,0,86177,0,155751,387,4174,469,6175223,94571,65297356,240,2134,11,Europe
18,Turkey,267064,0,6284,0,242812,0,17968,917,3161,74,6937088,82110,84485328,316,13445,12,Asia
19,Italy,266853,0,35473,0,208224,0,23156,79,4415,587,8509618,140778,60447004,227,1704,7,Europe
20,Germany,242975,150,9363,0,217484,0,16128,245,2898,112,11208091,133703,83828048,345,8953,7,Europe
21,Iraq,227446,0,6891,0,169020,0,51535,579,5635,171,1567133,38826,40362884,177,5857,26,Asia
22,Philippines,217396,4284,3520,102,157403,22319,56473,837,1980,32,2558157,23295,109814384,505,31197,43,Asia
23,Indonesia,172053,2858,7343,82,124185,1383,40525,0,628,27,2224337,8118,273990016,1592,37313,123,Asia
24,Canada,127673,0,9113,0,113501,0,5059,50,3378,241,5402249,142933,37795792,296,4147,7,North America
25,Ukraine,119074,2096,2527,35,56734,596,59813,177,2725,58,1536171,35161,43689432,367,17289,28,Europe
26,Qatar,118575,168,197,1,115430,179,2948,66,42230,70,624609,222455,2807805,24,14253,4,Asia
27,Bolivia,115354,945,4938,92,56749,1835,53667,71,9861,422,239073,20436,11698467,101,2369,49,South America
28,Israel,113648,183,909,3,92588,484,20151,441,12356,99,2279487,247835,9197590,81,10118,4,Asia
29,Ecuador,112906,0,6537,0,95429,0,10940,357,6384,370,326552,18464,17685670,157,2705,54,South America
30,Kazakhstan,105684,126,1523,0,96135,247,8026,221,5618,81,2434444,129404,18812776,178,12352,8,Asia
31,Egypt,98497,0,5376,0,71302,0,21819,41,960,52,135000,1315,102638000,1042,19092,760,Africa
32,Dominican Republic,94241,509,1681,8,66776,456,25784,220,8673,155,367146,33790,10865479,115,6464,30,North America
33,Panama,91337,0,1983,0,65119,0,24235,155,21116,458,326597,75504,4325553,47,2181,13,North America
34,Romania,86785,952,3578,39,37665,277,45542,492,4516,186,1795633,93445,19216004,221,5371,11,Europe
35,Oman,85544,539,677,27,80459,851,4408,156,16686,132,309212,60315,5126634,60,7573,17,Asia
36,China,85031,9,4634,0,80153,27,244,5,59,3,90410000,62814,1439323776,16927,310601,16,Asia
37,Kuwait,84636,412,530,2,76650,657,7456,89,19772,124,614129,143467,4280629,51,8077,7,Asia
38,Belgium,84599,647,9891,5,18403,21,56305,72,7294,853,2261043,194953,11597901,137,1173,5,Europe
39,Sweden,83958,0,5821,0,0,0,0,21,8305,576,1094856,108299,10109546,120,1737,9,Europe
