,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5746272,45341,177424,1090,3095484,33153,2473364,16817,17346,536,73868336,222984,331272224,58,1867,4,North America
2,Brazil,3505097,44684,112423,1234,2653407,38153,739267,8318,16474,528,13748152,64616,212768400,61,1893,15,South America
3,India,2904329,68507,54975,981,2157941,61873,691413,8944,2102,40,32661252,23636,1381863552,476,25136,42,Asia
4,Russia,942106,4785,16099,110,755513,6090,170494,2300,6455,110,33500000,229541,145943312,155,9065,4,Europe
5,South Africa,599940,3880,12618,195,497169,5728,90153,539,10098,212,3480283,58581,59410168,99,4708,17,Africa
6,Peru,567059,8639,27034,200,380730,3277,159295,1519,17166,818,2852011,86336,33033892,58,1222,12,South America
7,Mexico,537031,5792,58481,707,367537,4230,111013,3480,4159,453,1211552,9383,129117944,240,2208,107,North America
8,Colombia,513719,11541,16183,204,339124,12826,158412,1493,10081,318,2374898,46606,50956996,99,3149,21,South America
9,Spain,404229,3349,28813,16,0,0,0,522,8645,616,7955615,170147,46757340,116,1623,6,Europe
10,Chile,391849,1812,10671,93,366063,1778,15115,1077,20474,558,2113632,110437,19138784,49,1794,9,South America
11,Iran,352558,2279,20264,139,304236,1708,28058,3869,4190,241,2939840,34940,84138744,239,4152,29,Asia
12,UK,322280,1182,41403,6,0,0,0,70,4744,609,15177265,223407,67935640,211,1641,4,Europe
13,Argentina,320884,8225,6517,187,233651,4926,80716,1832,7091,144,1030992,22783,45252732,141,6944,44,South America
14,Saudi Arabia,303973,1287,3548,42,275476,1385,24949,1682,8713,102,4501104,129021,34886672,115,9833,8,Asia
15,Pakistan,290958,513,6209,8,272804,676,11945,725,1314,28,2363752,10673,221460192,761,35668,94,Asia
16,Bangladesh,287959,2868,3822,41,168991,3253,115146,0,1746,23,1407556,8535,164914112,573,43149,117,Asia
17,Italy,256118,840,35418,6,204686,180,16014,68,4237,586,7790596,128878,60449180,236,1707,8,Europe
18,Turkey,254520,1412,6058,19,234797,882,13665,735,3013,72,6061930,71770,84463024,332,13942,14,Asia
19,Germany,231284,1584,9324,10,204800,900,17160,231,2759,111,10197366,121656,83821480,362,8990,8,Europe
20,France,229814,4771,30480,12,84065,0,115269,384,3520,467,6000000,91892,65293816,284,2142,11,Europe
21,Iraq,192797,3995,6208,87,137200,2831,49389,614,4779,154,1368727,33929,40340632,209,6498,29,Asia
22,Philippines,178022,4339,2883,88,114114,727,61025,717,1622,26,2193448,19981,109778512,617,38078,50,Asia
23,Indonesia,147211,2266,6418,72,100674,2017,40119,0,537,23,1969941,7192,273918944,1861,42680,139,Asia
24,Canada,123873,383,9054,5,110288,466,4531,61,3278,240,4974215,131636,37787664,305,4174,8,North America
25,Qatar,116224,268,193,0,112924,266,3107,64,41393,69,572273,203815,2807805,24,14548,5,Asia
26,Ecuador,105508,1033,6200,54,87660,383,11648,331,5968,351,297376,16821,17679078,168,2851,59,South America
27,Bolivia,105050,2031,4233,61,39965,1342,60852,71,8983,362,222251,19005,11694550,111,2763,53,South America
28,Kazakhstan,103815,244,1415,0,86450,164,15950,221,5520,75,2291327,121832,18807256,181,13291,8,Asia
29,Israel,99599,1630,795,14,74579,1487,24225,389,10829,86,2180096,237029,9197590,92,11569,4,Asia
30,Ukraine,98537,2134,2184,40,50441,704,45912,177,2255,50,1356698,31049,43695860,443,20007,32,Europe
31,Egypt,97025,111,5212,15,63462,909,28351,41,946,51,135000,1316,102590464,1057,19684,760,Africa
32,Dominican Republic,89010,883,1505,4,57734,974,29771,288,8194,139,335478,30883,10862806,122,7218,32,North America
33,Sweden,85810,0,5805,5,0,0,0,27,8489,574,1030010,101900,10108001,118,1741,10,Europe
34,China,84895,7,4634,0,79745,60,516,24,59,3,90410000,62814,1439323776,16954,310601,16,Asia
35,Panama,83855,101,1844,17,59174,900,22837,154,19393,426,287300,66445,4323882,52,2345,15,North America
36,Oman,83769,163,609,6,78386,198,4774,151,16350,119,309212,60353,5123430,61,8413,17,Asia
37,Belgium,79479,582,9969,10,18078,30,51432,83,6854,860,2049976,176773,11596664,146,1163,6,Europe
38,Kuwait,78767,622,509,2,70642,871,7616,94,18407,119,577588,134980,4279075,54,8407,7,Asia
39,Romania,74963,1346,3154,48,34196,630,37613,489,3900,164,1591015,82783,19219140,256,6094,12,Europe
40,Belarus,69950,149,627,5,67929,282,1394,0,7403,66,1437110,152093,9448882,135,15070,7,Europe
41,Guatemala,65983,1102,2506,39,54351,989,9126,5,3674,140,213204,11871,17959594,272,7167,84,North America
42,UAE,65802,461,369,2,58153,131,7280,0,6642,37,6265918,632496,9906649,151,26847,2,Asia
43,Netherlands,65054,529,6191,10,0,0,0,51,3795,361,1312787,76591,17140202,263,2769,13,Europe
44,Poland,59378,767,1925,12,40481,382,16972,85,1569,51,2409394,63672,37840720,637,19658,16,Europe
45,Japan,58501,951,1144,16,45266,1431,12091,237,463,9,1259422,9962,126421112,2161,110508,100,Asia
46,Singapore,56099,68,27,0,53119,309,2953,0,9579,5,1745928,298108,5856690,104,216914,3,Asia
47,Portugal,54992,291,1788,2,40264,135,12940,39,5395,175,1880235,184473,10192461,185,5700,5,Europe
48,Honduras,52298,628,1608,15,7867,206,42823,43,5269,162,127946,12890,9925734,190,6173,78,North America
49,Nigeria,50964,476,992,7,37569,265,12403,7,246,5,352625,1705,206802320,4058,208470,586,Africa
50,Bahrain,48303,353,179,1,44628,350,3496,37,28265,105,1011805,592064,1708944,35,9547,2,Asia
51,Morocco,47638,1325,775,32,32806,1230,14057,31,1289,21,1670569,45187,36970088,776,47703,22,Africa
52,Ghana,43260,166,261,5,41276,313,1723,5,1388,8,431272,13841,31158344,720,119381,72,Africa
53,Kyrgyzstan,42507,182,1498,0,35486,289,5523,24,6501,229,267718,40944,6538600,154,4365,24,Asia
54,Armenia,42319,263,836,3,35476,250,6007,0,14278,282,190560,64291,2964022,70,3545,16,Asia
55,Algeria,40258,411,1411,9,28281,310,10566,41,916,32,0,0,43956408,1092,31153,0,Africa
56,Switzerland,39026,266,1998,2,33900,400,3128,15,4505,231,910283,105073,8663370,222,4336,10,Europe
57,Afghanistan,37856,257,1385,10,27681,515,8790,31,970,35,100138,2565,39043064,1031,28190,390,Asia
58,Venezuela,37567,699,311,8,26330,914,10926,85,1322,11,1678639,59056,28424432,757,91397,17,South America
59,Uzbekistan,37547,435,252,4,33261,317,4034,410,1120,8,1377915,41089,33534588,893,133074,24,Asia
60,Ethiopia,35836,1778,620,20,13536,228,21680,216,311,5,694093,6018,115332992,3218,186021,166,Africa
61,Azerbaijan,34759,139,510,0,32511,148,1738,0,3424,50,855802,84301,10151735,292,19905,12,Asia
62,Moldova,31937,522,921,7,21885,0,9131,362,7920,228,183923,45609,4032626,126,4379,22,Europe
63,Kenya,31441,426,516,10,17869,257,13056,44,583,10,398585,7391,53926572,1715,104509,135,Africa
64,Costa Rica,31075,666,333,12,9939,279,20803,128,6093,65,126337,24769,5100508,164,15317,40,North America
