,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5566632,36843,173128,522,2922724,18335,2470780,17237,16805,523,70960632,214220,331251072,60,1913,5,North America
2,Brazil,3340197,22365,107879,582,2432456,28184,799862,8318,15700,507,13464336,63287,212751904,64,1972,16,South America
3,India,2647316,58108,51045,961,1918076,57404,678195,8944,1916,37,29309704,21213,1381715456,522,27069,47,Asia
4,Russia,922853,4969,15685,68,732968,3557,174200,2300,6323,107,32533818,222922,145942624,158,9305,4,Europe
5,South Africa,587345,3692,11839,162,472377,5436,103129,539,9888,199,3400638,57248,59401996,101,5017,17,Africa
6,Peru,535946,10143,26281,206,365367,5586,144298,1533,16227,796,2773412,83969,33028872,62,1257,12,South America
7,Mexico,517714,6345,56543,635,351372,5719,109799,3653,4010,438,1171007,9070,129103152,249,2283,110,North America
8,Colombia,468332,11643,15097,287,287436,13016,165799,1493,9192,296,2225388,43677,50951072,109,3375,23,South America
9,Chile,385946,2044,10452,57,358828,1877,16666,1190,20168,546,2019591,105533,19136992,50,1831,9,South America
10,Spain,358843,0,28617,0,0,0,0,617,7675,612,7472031,159805,46757140,130,1634,6,Europe
11,Iran,343203,2133,19639,147,297486,1856,26078,3881,4080,233,2861825,34018,84126992,245,4284,29,Asia
12,UK,318484,1040,41366,5,0,0,0,73,4688,609,14503645,213503,67931752,213,1642,5,Europe
13,Saudi Arabia,298542,1227,3408,39,266953,2466,28181,1774,8559,98,4202076,120470,34880744,117,10235,8,Asia
14,Argentina,294569,5469,5703,66,211702,6005,77164,1708,6510,126,966926,21369,45248204,154,7934,47,South America
15,Pakistan,288717,670,6168,6,266301,677,16248,769,1304,28,2277153,10285,221413232,767,35897,97,Asia
16,Bangladesh,276549,2024,3657,32,158950,1315,113942,0,1677,22,1351666,8197,164896192,596,45091,122,Asia
