,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5032179,58611,162804,1203,2576668,36531,2292707,18296,15194,492,63139604,190640,331198144,66,2034,5,North America
1,Brazil,2917562,54801,98644,1226,2047660,27023,771258,8318,13716,464,13206188,62085,212710688,73,2156,16,South America
2,India,2025409,62170,41638,899,1377384,50184,606387,8944,1466,30,22149352,16035,1381345024,682,33175,62,Asia
3,Russia,871894,5267,14606,116,676357,7331,180931,2300,5974,100,29716908,203623,145940928,167,9992,5,Europe
4,South Africa,538184,8307,9604,306,387316,10050,141264,539,9063,162,3149807,53044,59381568,110,6183,19,Africa
5,Mexico,456100,6139,49698,829,304708,4454,101694,3951,3534,385,1041860,8072,129066160,283,2597,124,North America
6,Peru,455409,7785,20424,196,310337,3907,124648,1426,13793,619,2493429,75521,33016320,72,1617,13,South America
7,Chile,366671,1948,9889,97,340168,1877,16614,1358,19165,517,1760615,92022,19132514,52,1935,11,South America
8,Colombia,357710,11996,11939,315,192355,6038,153416,1493,7023,234,1801835,35374,50936264,142,4266,28,South America
9,Spain,354530,1683,28500,1,0,0,0,617,7582,610,7064329,151087,46756648,132,1641,7,Europe
10,Iran,320117,2634,17976,174,277463,2531,24678,4156,3806,214,2612763,31068,84097624,263,4678,32,Asia
11,UK,308134,950,46413,49,0,0,0,73,4537,683,17515234,257873,67922032,220,1463,4,Europe
12,Saudi Arabia,284226,1402,3055,35,247089,1775,34082,1915,8152,88,3635705,104277,34865920,123,11413,10,Asia
13,Pakistan,281863,727,6035,21,256058,1772,19770,809,1274,27,2058872,9304,221295856,785,36669,107,Asia
14,Bangladesh,249651,2977,3306,39,143824,2074,102521,0,1514,20,1225124,7432,164851408,660,49864,135,Asia
15,Italy,249204,401,35187,6,201323,347,12694,42,4122,582,7099713,117443,60452568,243,1718,9,Europe
16,Turkey,237265,1153,5798,14,220546,1040,10921,580,2810,69,5081802,60191,84428328,356,14562,17,Asia
17,Argentina,228195,7513,4251,145,99852,2904,124092,1150,5044,94,794544,17564,45236884,198,10641,57,South America
18,Germany,215210,1106,9252,7,196200,1500,9758,236,2568,110,8586648,102452,83811264,389,9059,10,Europe
19,France,195633,1604,30312,7,82460,142,82861,384,2996,464,3992206,61147,65288304,334,2154,16,Europe
20,Iraq,140603,3047,5161,67,101025,2583,34417,517,3488,128,1092741,27111,40306024,287,7810,37,Asia
21,Philippines,119375,3476,2144,22,66779,511,50452,239,1088,20,1669996,15220,109722720,919,51177,66,Asia
22,Indonesia,118753,1882,5521,69,75645,1756,37587,0,434,20,1633156,5965,273808352,2306,49594,168,Asia
23,Canada,118561,374,8966,4,103106,318,6489,2263,3139,237,4319172,114339,37775024,319,4213,9,North America
24,Qatar,112092,287,178,0,108831,292,3083,77,39922,63,511000,181993,2807805,25,15774,5,Asia
25,Kazakhstan,95942,1060,1058,0,68871,1840,26013,221,5104,56,2163713,115099,18798668,196,17768,9,Asia
26,Egypt,95006,131,4951,21,48898,1716,41157,41,927,48,135000,1317,102516528,1079,20706,759,Africa
27,Ecuador,90537,1671,5877,30,71318,150,13342,378,5124,333,258582,14635,17668824,195,3006,68,South America
28,Bolivia,85141,1780,3385,65,26437,1047,55319,71,7284,290,181985,15570,11688459,137,3453,64,South America
29,China,84528,37,4634,0,79057,10,837,34,59,3,90410000,62814,1439323776,17028,310601,16,Asia
30,Sweden,81967,63,5766,5,0,0,0,38,8111,571,863315,85429,10105596,123,1753,12,Europe
31,Oman,80713,427,492,4,70910,1107,9311,177,15769,96,309212,60411,5118446,63,10403,17,Asia
32,Israel,79559,1640,576,11,53427,2032,25556,358,8650,63,1872453,203581,9197590,116,15968,5,Asia
