,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5305957,54519,167745,1504,2755348,39414,2382864,17339,16019,506,66942356,202102,331229888,62,1975,5,North America
2,Brazil,3112393,54923,103099,1242,2243124,79312,766170,8318,14630,485,13231548,62197,212735424,68,2063,16,South America
3,India,2328405,61252,46188,835,1638101,56461,644116,8944,1685,33,25281848,18299,1381567232,593,29912,55,Asia
4,Russia,897599,4945,15131,130,703175,6494,179293,2300,6150,104,31000000,212413,145941952,163,9645,5,Europe
5,South Africa,566109,2511,10751,130,426125,8925,129233,539,9531,181,3278977,55207,59393824,105,5524,18,Africa
6,Peru,489680,6547,21501,225,335756,6352,132423,1496,14828,651,2612599,79112,33023850,67,1536,13,South America
7,Mexico,485836,5558,53003,705,327993,5528,104840,3683,3764,411,1097077,8499,129088352,266,2435,118,North America
8,Colombia,410453,12830,13475,321,230427,8942,166551,1493,8057,265,1982831,38921,50945148,124,3781,26,South America
9,Chile,376616,1572,10178,39,349541,2199,16897,1268,19682,532,1889616,98751,19135200,51,1880,10,South America
10,Spain,373692,3632,28579,3,0,0,0,617,7992,611,7472031,159806,46756944,125,1636,6,Europe
11,Iran,331189,2345,18800,184,288620,1978,23769,3983,3937,224,2736514,32533,84115248,254,4474,31,Asia
12,UK,312789,1148,41309,14,0,0,0,67,4605,608,18868566,277774,67927864,217,1644,4,Europe
13,Saudi Arabia,291468,1521,3233,34,255118,1640,33117,1821,8358,93,3933427,112787,34874812,120,10787,9,Asia
14,Pakistan,285191,531,6112,15,261246,482,17833,780,1288,28,2165811,9784,221366288,776,36218,102,Asia
15,Bangladesh,263503,2996,3471,33,151972,1535,108060,0,1598,21,1287988,7812,164878272,626,47502,128,Asia
16,Argentina,260911,7043,5004,240,181389,6415,74518,1585,5767,111,872643,19288,45243676,173,9042,52,South America
