,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5529789,53523,172606,1071,2900188,25041,2456995,17186,16694,521,70224672,212002,331245760,60,1919,5,North America
2,Brazil,3317832,38937,107297,726,2404272,19970,806263,8318,15595,504,13464336,63288,212747792,64,1983,16,South America
3,India,2589208,63986,50084,950,1860672,53116,678452,8944,1874,36,28563096,20673,1381678336,534,27587,48,Asia
4,Russia,917884,5061,15617,119,729411,6447,172856,2300,6289,107,32221546,220783,145942464,159,9345,5,Europe
5,South Africa,583653,4513,11677,121,466941,5207,105035,539,9826,197,3378029,56869,59399952,102,5087,18,Africa
6,Peru,525803,9507,26075,219,359781,5549,139947,1540,15920,789,2738229,82907,33027616,63,1267,12,South America
7,Mexico,511369,5618,55908,615,345653,4146,109808,3646,3961,433,1156852,8961,129099448,252,2309,112,North America
8,Colombia,456689,11578,14810,318,274420,13124,167459,1493,8964,291,2143097,42063,50949592,112,3440,24,South America
9,Chile,383902,1791,10395,55,356951,1914,16556,1207,20061,543,1988709,103922,19136544,50,1841,10,South America
10,Spain,358843,0,28617,0,0,0,0,617,7675,612,7472031,159805,46757092,130,1634,6,Europe
11,Iran,341070,2245,19492,161,295630,1819,25948,3911,4054,232,2836252,33715,84124056,247,4316,30,Asia
12,UK,317379,1012,41361,3,0,0,0,73,4672,609,14320621,210812,67930784,214,1642,5,Europe
13,Saudi Arabia,297315,1413,3369,31,264487,1528,29459,1766,8524,97,4202076,120475,34879260,117,10353,8,Asia
14,Argentina,289100,6663,5637,110,205697,6692,77766,1716,6389,125,949170,20977,45247072,157,8027,48,South America
15,Pakistan,288047,747,6162,9,265624,409,16261,768,1301,28,2253131,10177,221401504,769,35930,98,Asia
16,Bangladesh,274525,2644,3625,34,157635,1012,113265,0,1665,22,1341648,8137,164891712,601,45487,123,Asia
17,Italy,253438,629,35392,4,203640,314,14406,55,4192,585,7520610,124410,60450392,239,1708,8,Europe
18,Turkey,248117,1256,5955,21,229972,992,12190,668,2938,71,5659286,67013,84450632,340,14181,15,Asia
19,Germany,224478,704,9290,1,202900,350,12288,224,2678,111,8586648,102444,83817832,373,9022,10,Europe
20,France,215521,3310,30409,4,83848,0,101264,367,3301,466,6000000,91895,65291848,303,2147,11,Europe
21,Iraq,172583,4293,5785,76,122700,2571,44098,590,4279,143,1263650,31334,40328272,234,6971,32,Asia
22,Philippines,157918,4351,2600,159,72209,885,83109,461,1439,24,2003875,18257,109758592,695,42215,55,Asia
23,Indonesia,137468,2345,6071,50,91321,1703,40076,0,502,22,1862801,6802,273879456,1992,45113,147,Asia
24,Canada,121889,237,9024,4,108218,276,4647,2296,3226,239,4741146,125483,37783152,310,4187,8,North America
25,Qatar,114809,277,192,2,111505,247,3112,69,40889,68,546285,194559,2807805,24,14624,5,Asia
26,Kazakhstan,102287,439,1269,0,80716,2083,20302,221,5440,67,2252153,119769,18804188,184,14818,8,Asia
27,Ecuador,100688,1279,6065,35,79354,178,15269,352,5696,343,284704,16107,17675416,176,2914,62,South America
28,Bolivia,97950,1491,3939,55,34723,1003,59288,71,8377,337,208523,17834,11692375,119,2968,56,South America
29,Egypt,96336,116,5141,17,58835,977,32360,41,939,50,135000,1316,102564056,1065,19950,760,Africa
30,Israel,92233,1153,674,9,67950,985,23609,387,10028,73,2071380,225209,9197590,100,13646,4,Asia
31,Ukraine,89719,1847,2044,33,47430,633,40245,138,2053,47,1273821,29150,43699432,487,21379,34,Europe
32,Dominican Republic,85545,1057,1438,29,51356,1817,32751,303,7876,132,317643,29245,10861321,127,7553,34,North America
33,China,84808,22,4634,0,79519,57,655,36,59,3,90410000,62814,1439323776,16972,310601,16,Asia
34,Sweden,84294,0,5783,0,0,0,0,31,8340,572,917036,90731,10107142,120,1748,11,Europe
35,Oman,82924,181,562,5,77550,123,4812,158,16191,110,309212,60374,5121650,62,9113,17,Asia
36,Panama,80665,1263,1746,12,53857,971,25062,156,18660,404,268180,62036,4322953,54,2476,16,North America
37,Belgium,77113,922,9924,8,17941,28,49248,80,6650,856,1962386,169230,11595976,150,1168,6,Europe
38,Kuwait,75697,512,498,4,67519,779,7680,115,17694,116,555937,129946,4278212,57,8591,8,Asia
39,Belarus,69424,116,607,4,66747,295,2070,0,7347,64,1412589,149497,9448925,136,15567,7,Europe
40,Romania,69374,1328,2954,50,32334,414,34086,473,3609,154,1502042,78146,19220884,277,6507,13,Europe
41,UAE,64102,283,361,2,57571,98,6170,0,6472,36,5929093,598595,9905017,155,27438,2,Asia
42,Netherlands,62495,655,6169,2,0,0,0,39,3646,360,1195475,69749,17139684,274,2778,14,Europe
43,Guatemala,62313,885,2355,14,50183,828,9775,5,3470,131,200558,11170,17955060,288,7624,90,North America
44,Poland,56090,771,1869,11,38853,491,15368,84,1482,49,2307735,60985,37841288,675,20247,16,Europe
45,Singapore,55661,81,27,0,51521,472,4113,0,9505,5,1610906,275083,5856062,105,216891,4,Asia
46,Portugal,53981,198,1775,3,39585,211,12621,37,5296,174,1799226,176518,10192865,189,5742,6,Europe
47,Japan,53577,1360,1085,12,38945,1466,13547,229,424,9,1164029,9207,126426384,2360,116522,109,Asia
48,Honduras,49467,425,1548,6,7128,96,40791,37,4985,156,121168,12210,9923580,201,6411,82,North America
49,Nigeria,48770,325,974,1,36290,292,11506,7,236,5,347545,1681,206732320,4239,212251,595,Africa
50,Bahrain,46430,378,170,2,42806,337,3454,35,27182,100,962334,563384,1708132,37,10048,2,Asia
51,Ghana,42210,363,231,8,40147,429,1832,5,1355,7,424315,13622,31149464,738,134846,73,Africa
52,Kyrgyzstan,41645,272,1493,2,33951,359,6201,24,6371,228,267718,40953,6537128,157,4379,24,Asia
53,Armenia,41495,196,817,3,34484,320,6194,0,14000,276,183789,62008,2963947,71,3628,16,Asia
54,Morocco,41017,1776,632,21,28566,922,11819,31,1110,17,1583234,42832,36964112,901,58488,23,Africa
55,Algeria,38133,469,1360,9,26644,336,10129,44,868,31,0,0,43945576,1152,32313,0,Africa
56,Switzerland,37924,253,1991,0,33200,300,2733,26,4378,230,876065,101133,8662507,228,4351,10,Europe
57,Afghanistan,37551,120,1370,7,27166,452,9015,31,962,35,98304,2519,39031056,1039,28490,397,Asia
58,Uzbekistan,34528,707,225,5,29328,1503,4975,410,1030,7,1377915,41097,33527960,971,149013,24,Asia
59,Azerbaijan,34107,89,506,2,31697,207,1904,0,3360,50,826043,81380,10150488,298,20060,12,Asia
60,Venezuela,32607,1226,276,10,21747,167,10584,85,1147,10,1640528,57713,28425528,872,102991,17,South America
61,Moldova,29905,422,895,11,20908,352,8102,362,7416,222,128076,31759,4032753,135,4506,31,Europe
62,Kenya,29849,515,472,7,15970,672,13407,44,554,9,387670,7191,53910352,1806,114217,139,Africa
