,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6588163,38811,196328,1090,3879960,33865,2511875,14506,19881,592,89984792,271543,331383392,50,1688,4,North America
2,India,4559725,96760,76304,1213,3539983,70899,943438,8944,3298,55,52934432,38285,1382641408,303,18120,26,Asia
3,Brazil,4239763,40431,129575,922,3497337,44001,612851,8318,19919,609,14408116,67690,212854960,50,1643,15,South America
4,Russia,1046370,5363,18263,128,862373,5915,165734,2300,7170,125,39500000,270646,145946880,139,7991,4,Europe
5,Peru,710067,7291,30344,108,544745,7786,134978,1460,21478,918,3457205,104573,33060252,47,1090,10,South America
6,Colombia,694664,7808,22275,222,569479,16594,102910,863,13624,437,3062852,60070,50988096,73,2289,17,South America
7,Mexico,647507,4647,69095,611,454982,3823,123430,2919,5012,535,1465693,11345,129195616,200,1870,88,North America
8,South Africa,644438,2007,15265,97,573003,3068,56170,539,10839,257,3863453,64983,59453068,92,3895,15,Africa
9,Spain,554143,10764,29699,71,0,0,0,1136,11851,635,9987326,213594,46758376,84,1574,5,Europe
10,Argentina,524198,11905,10907,249,390098,7608,123193,2880,11578,241,1485790,32816,45276504,86,4151,30,South America
11,Chile,428669,1642,11781,79,401356,1801,15532,951,22387,615,2719687,142034,19148188,45,1625,7,South America
12,Iran,395488,2063,22798,129,340842,1731,31848,3728,4697,271,3483727,41374,84200424,213,3693,24,Asia
13,UK,358138,2919,41608,14,0,0,0,80,5270,612,17619896,259284,67956064,190,1633,4,Europe
14,France,353944,9843,30813,19,88742,218,234389,615,5420,472,10000000,153134,65302080,184,2119,7,Europe
15,Bangladesh,332970,1892,4634,41,233550,2746,94786,0,2018,28,1690011,10242,165008192,496,35608,98,Asia
16,Saudi Arabia,323720,708,4189,24,299998,1032,19533,1363,9271,120,5589493,160076,34917800,108,8336,6,Asia
17,Pakistan,299855,196,6365,6,287950,1444,5540,550,1352,29,2850121,12855,221706688,739,34832,78,Asia
18,Turkey,286455,1512,6895,58,255407,1219,24153,1209,3389,82,8212924,97177,84515072,295,12257,10,Asia
19,Italy,283180,1597,35587,10,211885,613,35708,164,4685,589,9554389,158070,60444100,213,1698,6,Europe
20,Iraq,278418,4597,7814,82,213817,3824,56787,540,6893,193,1718157,42536,40392548,145,5169,24,Asia
21,Germany,258107,1758,9419,9,233300,1400,15388,233,3079,112,13436301,160267,83836816,325,8901,6,Europe
22,Philippines,248947,3821,4066,80,186058,563,58823,990,2266,37,2955809,26905,109862208,441,27020,37,Asia
23,Indonesia,207203,3861,8456,120,147510,2310,51237,0,756,31,2549579,9302,274084800,1323,32413,108,Asia
24,Ukraine,145612,2582,3023,44,65877,1174,76712,177,3334,69,1778483,40715,43680864,300,14450,25,Europe
25,Israel,145526,4429,1077,23,109942,1588,34507,486,15822,117,2620012,284859,9197590,63,8540,4,Asia
26,Canada,134924,630,9163,8,118990,719,6771,52,3569,242,5979566,158162,37806632,280,4126,6,North America
27,Bolivia,123345,1037,7146,49,77216,2118,38983,71,10539,611,262719,22448,11703688,95,1638,45,South America
28,Qatar,121052,206,205,0,117978,232,2869,47,43113,73,676170,240818,2807805,23,13697,4,Asia
29,Ecuador,113206,1040,10749,48,91242,0,11215,371,6398,607,333977,18875,17694458,156,1646,53,South America
