,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6335244,44507,191058,1094,3575096,28064,2569090,15042,19120,577,84881528,256172,331346336,52,1734,4,North America
2,Brazil,4046150,44728,124729,830,3247610,37205,673811,8318,19012,586,14408116,67699,212826112,53,1706,15,South America
3,India,3933124,84156,68569,1083,3034887,67491,829668,8944,2845,50,45509380,32921,1382382080,351,20160,30,Asia
4,Russia,1009995,4995,17528,114,826935,5766,165532,2300,6920,120,37484144,256836,145945696,145,8326,4,Europe
5,Peru,670145,6708,29405,146,489886,9709,150854,1506,20276,890,3286526,99437,33051466,49,1124,10,South America
6,Colombia,641574,8235,20618,270,489151,9583,131805,1493,12585,404,2844145,55792,50977728,79,2472,18,South America
7,South Africa,633015,2420,14563,174,554887,1431,63565,539,10650,245,3747101,63041,59438768,94,4081,16,Africa
8,Mexico,610957,4921,65816,575,424990,3617,120151,3191,4730,510,1376170,10654,129169728,211,1963,94,North America
9,Spain,488513,8959,29234,40,0,0,0,930,10448,625,9210337,196979,46758028,96,1599,5,Europe
10,Argentina,451198,12026,9361,243,322461,6931,119376,2394,9967,207,1324687,29263,45268580,100,4836,34,South America
11,Chile,416501,1762,11422,78,389409,1726,15670,940,21755,597,2508750,131039,19145052,46,1676,8,South America
12,Iran,380746,1994,21926,129,328595,1794,30225,3702,4523,260,3307383,39289,84179864,221,3839,25,Asia
13,UK,340411,1735,41527,13,0,0,0,80,5010,611,17619896,259310,67949256,200,1636,4,Europe
14,Bangladesh,319686,2158,4383,32,213980,2964,101323,0,1938,27,1592038,9650,164976832,516,37640,104,Asia
15,Saudi Arabia,318319,833,3982,26,293964,1454,20373,1495,9119,114,5261814,150736,34907424,110,8766,7,Asia
16,France,300181,7157,30706,20,87206,243,182269,464,4597,470,7500000,114856,65299324,218,2127,9,Europe
17,Pakistan,297014,424,6328,10,281925,466,8761,585,1340,29,2684252,12112,221624528,746,35023,83,Asia
18,Turkey,274943,1642,6511,49,248087,1211,20345,1041,3254,77,7466087,88358,84497720,307,12978,11,Asia
19,Italy,272912,1397,35507,10,208490,289,28915,120,4515,587,8921658,147598,60445792,221,1702,7,Europe
20,Germany,248814,1423,9399,6,224600,1500,14815,223,2968,112,12383035,147713,83831704,337,8919,7,Europe
21,Iraq,247039,4755,7275,74,187757,3552,52007,496,6119,180,1670483,41374,40375244,163,5550,24,Asia
22,Philippines,228358,1942,3688,65,159461,866,65209,922,2079,34,2705817,24635,109834312,481,29782,41,Asia
23,Indonesia,184268,3622,7750,134,132055,2084,44463,0,672,28,2338865,8535,274029504,1487,35359,117,Asia
24,Canada,130493,570,9141,6,115444,394,5908,55,3452,242,5638703,149171,37800312,290,4135,7,North America
25,Ukraine,128228,2430,2710,54,59676,859,65842,177,2935,62,1621697,37122,43685864,341,16120,27,Europe
26,Israel,124455,2991,985,16,98645,1411,24825,417,13531,107,2388574,259696,9197590,74,9338,4,Asia
27,Qatar,119420,214,201,2,116313,202,2906,58,42531,72,644904,229683,2807805,24,13969,4,Asia
28,Bolivia,117928,661,5203,102,64074,1950,48651,71,10079,445,246032,21027,11700642,99,2249,48,South America
29,Ecuador,116360,903,6648,29,102051,184,7661,355,6578,376,340207,19232,17689332,152,2661,52,South America
30,Kazakhstan,106032,88,1588,0,97967,596,6477,221,5635,84,2434444,129383,18815844,177,11849,8,Asia
31,Egypt,99425,145,5479,18,75415,789,18531,41,968,53,135000,1315,102664408,1033,18738,760,Africa
32,Dominican Republic,96629,1002,1801,36,70871,1352,23957,199,8892,166,379929,34962,10866964,112,6034,29,North America
33,Panama,94914,830,2046,16,68198,711,24670,167,21938,473,350669,81052,4326482,46,2115,12,North America
34,Romania,91256,1365,3765,44,39275,574,48216,503,4749,196,1876063,97639,19214260,211,5103,10,Europe
35,Kuwait,87378,900,536,1,78791,582,8051,93,20408,125,631482,147491,4281493,49,7988,7,Asia
36,Oman,86380,256,705,16,81828,804,3847,144,16843,137,309212,60294,5128414,59,7274,17,Asia
37,Belgium,85911,424,9898,1,18490,33,57523,60,7407,853,2336975,201488,11598589,135,1172,5,Europe
38,China,85077,11,4634,0,80251,17,192,4,59,3,160000000,111163,1439323776,16918,310601,9,Asia
39,Sweden,84985,207,5830,0,0,0,0,14,8406,577,1094856,108290,10110405,119,1734,9,Europe
40,Guatemala,76358,714,2804,14,64399,711,9155,5,4249,156,252958,14075,17972288,235,6410,71,North America
41,Netherlands,72464,601,6235,0,0,0,0,43,4227,364,1455274,84897,17141648,237,2749,12,Europe
42,Belarus,72302,161,696,5,71205,305,401,0,7652,74,1554129,164480,9448764,131,13576,6,Europe
