,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5796727,50455,179200,1170,3127418,31934,2490109,16801,17498,541,74718576,225547,331277536,57,1849,4,North America
2,Brazil,3536488,31391,113454,1031,2670755,17348,752279,8318,16621,533,14144344,66476,212772528,60,1875,15,South America
3,India,2973368,69039,55928,953,2220799,62858,696641,8944,2152,40,33467236,24218,1381900544,465,24709,41,Asia
4,Russia,946976,4870,16189,90,761330,5817,169457,2300,6489,111,33800000,231597,145943488,154,9015,4,Europe
5,South Africa,603338,3398,12843,225,500102,2933,90393,539,10155,216,3504507,58986,59412208,98,4626,17,Africa
6,Peru,576067,9008,27245,211,384908,4178,163914,1530,17438,825,2915372,88251,33035148,57,1213,11,South America
7,Mexico,543806,6775,59106,625,371638,4101,113062,3503,4212,458,1226117,9496,129121640,237,2185,105,North America
8,Colombia,522138,8419,16568,385,348940,9816,156630,1493,10246,325,2409706,47288,50958476,98,3076,21,South America
9,Spain,407879,3650,28838,25,0,0,0,541,8723,617,7955615,170147,46757388,115,1621,6,Europe
10,Chile,393769,1920,10723,52,367897,1834,15149,1072,20574,560,2142301,111932,19139232,49,1785,9,South America
11,Iran,354764,2206,20376,112,305866,1630,28522,3794,4216,242,2987117,35501,84141680,237,4129,28,Asia
12,Argentina,329043,8159,6730,213,239806,6155,82507,1853,7271,149,1052687,23262,45253864,138,6724,43,South America
13,UK,323313,1033,41405,2,0,0,0,76,4759,609,15177265,223403,67936616,210,1641,4,Europe
14,Saudi Arabia,305186,1213,3580,32,277067,1591,24539,1675,8748,103,4501104,129015,34888152,114,9745,8,Asia
15,Pakistan,291588,630,6219,10,273579,775,11790,722,1317,28,2389365,10789,221471920,760,35612,93,Asia
16,Bangladesh,290360,2401,3861,39,172615,3624,113884,0,1761,23,1420449,8613,164918592,568,42714,116,Asia
17,Italy,257065,947,35427,9,204960,274,16678,69,4253,586,7862592,130070,60448936,235,1706,8,Europe
18,Turkey,255723,1203,6080,22,235569,772,14074,749,3028,72,6154157,72860,84465504,330,13892,14,Asia
19,France,234400,4586,30503,23,84829,764,119068,379,3590,467,6000000,91892,65294208,279,2141,11,Europe
20,Germany,233021,1737,9328,4,205800,1000,17893,236,2780,111,10197366,121655,83822208,360,8986,8,Europe
21,Iraq,197085,4288,6283,75,140446,3246,50356,587,4885,156,1393488,34541,40343104,205,6421,29,Asia
22,Philippines,182365,4786,2940,59,114519,616,64906,717,1661,27,2238793,20393,109782496,602,37341,49,Asia
23,Indonesia,149408,2197,6500,82,102991,2317,39917,0,545,24,1989870,7264,273926816,1833,42143,138,Asia
24,Canada,124372,499,9064,10,110648,360,4660,62,3291,240,5034059,133216,37788568,304,4169,8,North America
25,Qatar,116481,257,193,0,113216,292,3072,66,41485,69,577122,205542,2807805,24,14548,5,Asia
26,Ecuador,106481,973,6248,48,87730,70,12503,350,6023,353,301496,17053,17679810,166,2830,59,South America
27,Bolivia,106065,1015,4305,72,41111,1146,60649,71,9069,368,225297,19264,11694986,110,2717,52,South America
28,Kazakhstan,104071,256,1415,0,87920,1470,14736,221,5533,75,2291327,121828,18807868,181,13292,8,Asia
29,Israel,100716,1117,809,14,77785,3206,22122,390,10950,88,2180096,237029,9197590,91,11369,4,Asia
30,Ukraine,100643,2106,2207,23,51078,637,47358,177,2303,51,1378519,31549,43695148,434,19798,32,Europe
31,Egypt,97148,123,5231,19,64318,856,27599,41,947,51,135000,1316,102595744,1056,19613,760,Africa
32,Dominican Republic,89867,857,1533,28,59132,1398,29202,287,8273,141,339860,31286,10863103,121,7086,32,North America
33,Sweden,86068,0,5810,5,0,0,0,26,8515,575,1030010,101899,10108172,117,1740,10,Europe
34,China,84917,22,4634,0,79792,47,491,20,59,3,90410000,62814,1439323776,16950,310601,16,Asia
35,Panama,84392,537,1859,15,59722,548,22811,153,19517,430,287300,66442,4324067,51,2326,15,North America
36,Oman,83769,0,609,0,78386,0,4774,151,16349,119,309212,60348,5123786,61,8413,17,Asia
37,Belgium,80178,699,9976,7,18131,53,52071,82,6914,860,2074445,178881,11596801,145,1162,6,Europe
38,Kuwait,79269,502,511,2,71264,622,7494,95,18524,119,581118,135799,4279248,54,8374,7,Asia
39,Romania,76355,1392,3196,42,34523,327,38636,489,3973,166,1591015,82784,19218792,252,6013,12,Europe
40,Belarus,70111,161,632,5,68256,327,1223,0,7420,67,1455885,154080,9448874,135,14951,6,Europe
41,Guatemala,66941,958,2532,26,55314,963,9095,5,3727,141,216776,12070,17960500,268,7093,83,North America
42,UAE,66193,391,370,1,58296,143,7527,0,6681,37,6348109,640772,9906975,150,26776,2,Asia
43,Netherlands,65589,535,6195,4,0,0,0,56,3827,361,1312787,76591,17140304,261,2767,13,Europe
44,Poland,60281,903,1938,13,41029,548,17314,84,1593,51,2493423,65893,37840608,628,19526,15,Europe
45,Japan,59721,1220,1155,11,46467,1201,12099,243,472,9,1282693,10146,126420064,2117,109455,99,Asia
46,Singapore,56216,117,27,0,53651,532,2538,0,9598,5,1745928,298102,5856815,104,216919,3,Asia
47,Portugal,55211,219,1792,4,40473,209,12946,41,5417,176,1896675,186088,10192380,185,5688,5,Europe
48,Honduras,52819,521,1619,11,8082,215,43118,49,5321,163,129411,13037,9926165,188,6131,77,North America
49,Nigeria,51304,340,996,4,37885,316,12423,7,248,5,369904,1789,206816320,4031,207647,559,Africa
50,Morocco,49247,1609,817,42,34199,1393,14231,31,1332,22,1670569,45186,36971284,751,45252,22,Africa
51,Bahrain,48661,358,181,2,45166,538,3314,36,28472,106,1020803,597273,1709107,35,9443,2,Asia
52,Ghana,43325,65,261,0,41408,132,1656,5,1390,8,432372,13876,31160120,719,119387,72,Africa
