,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5874146,32718,180604,430,3167063,18983,2526479,16717,17731,545,76159376,229889,331288128,56,1834,4,North America
2,Brazil,3605783,23085,114772,495,2709638,0,781373,8318,16946,539,14144344,66474,212780768,59,1854,15,South America
3,India,3105185,61749,57692,846,2336796,56896,710697,8944,2247,42,35292220,25538,1381974656,445,23954,39,Asia
4,Russia,956749,4852,16383,73,770639,3162,169727,2300,6556,112,34447560,236033,145943824,153,8908,4,Europe
5,South Africa,609773,2728,13059,72,506470,2343,90244,539,10263,220,3553425,59806,59416296,97,4550,17,Africa
6,Peru,594326,9090,27663,210,399357,8213,167306,1515,17989,837,2985782,90375,33037658,56,1194,11,South America
7,Mexico,556216,6482,60254,644,380492,4083,115470,3450,4307,467,1253432,9707,129129040,232,2143,103,North America
8,Colombia,541147,8044,17316,348,374030,14238,149801,1493,10619,340,2474417,48555,50961440,94,2943,21,South America
9,Spain,407879,0,28838,0,0,0,0,541,8723,617,7955615,170146,46757488,115,1621,6,Europe
10,Chile,397665,1957,10852,60,371179,1449,15634,1027,20777,567,2204009,115151,19140128,48,1764,9,South America
11,Iran,358905,2113,20643,141,309464,1762,28798,3841,4265,245,3036711,36088,84147552,234,4076,28,Asia
12,Argentina,342154,5352,6985,137,251400,5619,83769,1922,7560,154,1092556,24142,45256128,132,6479,41,South America
13,UK,325642,1041,41429,6,0,0,0,72,4793,610,15177265,223397,67938560,209,1640,4,Europe
14,Saudi Arabia,307479,1109,3649,30,280143,1702,23687,1644,8813,105,4501104,129004,34891120,113,9562,8,Asia
15,Bangladesh,294598,1973,3941,34,179091,3524,111566,0,1786,24,1442656,8747,164927552,560,41849,114,Asia
16,Pakistan,292765,591,6235,4,275836,519,10694,696,1322,28,2439858,11015,221495408,757,35525,91,Asia
17,Italy,259345,1209,35437,7,205470,267,18438,69,4290,586,8007637,132471,60448456,233,1706,8,Europe
18,Turkey,258249,1217,6121,19,237165,795,14963,783,3057,72,6327466,74907,84470464,327,13800,13,Asia
19,France,242899,4897,30513,1,84973,23,127413,383,3720,467,6000000,91891,65294996,269,2140,11,Europe
20,Germany,234489,632,9332,1,209600,650,15557,236,2797,111,10197366,121653,83823672,357,8982,8,Europe
21,Iraq,204341,3291,6428,75,146409,3016,51504,661,5064,159,1433626,35531,40348048,197,6277,28,Asia
22,Philippines,189601,2352,2998,32,131367,16446,55236,717,1727,27,2305686,21001,109790472,579,36621,48,Asia
23,Indonesia,153535,2037,6680,86,107500,2302,39355,0,560,24,2036771,7435,273942624,1784,41009,134,Asia
