,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5955728,40098,182404,1290,3254282,36301,2519042,16468,17977,551,77931408,235230,331298688,56,1816,4,North America
2,Brazil,3674176,46959,116666,1215,2848395,69686,709115,8318,17267,548,14144344,66471,212789008,58,1824,15,South America
3,India,3231754,66873,59612,1066,2467252,64151,704890,8944,2338,43,36827520,26647,1382048768,428,23184,38,Asia
4,Russia,966189,4696,16568,120,779747,6652,169874,2300,6620,114,34800000,238447,145944160,151,8809,4,Europe
5,South Africa,613017,1567,13308,149,520381,3887,79328,539,10317,224,3578836,60229,59420384,97,4465,17,Africa
6,Peru,607382,6944,28001,188,414577,7276,164804,1522,18383,847,3032744,91790,33040168,54,1180,11,South America
7,Mexico,563705,3541,60800,320,389124,5252,113781,3346,4365,471,1263835,9787,129136440,229,2124,102,North America
8,Colombia,562128,10432,17889,277,395470,11299,148769,1493,11030,351,2546147,49959,50964400,91,2849,20,South America
9,Spain,423224,2415,28924,52,0,0,0,677,9051,619,8517446,182162,46757584,110,1617,5,Europe
10,Chile,400985,1417,10958,42,374463,1999,15564,1011,20949,572,2255966,117860,19141022,48,1747,8,South America
11,Iran,363363,2213,20901,125,313058,1693,29404,3839,4318,248,3883313,46146,84153432,232,4026,22,Asia
12,Argentina,359638,8771,7563,197,263202,6413,88873,1990,7946,167,1127098,24904,45258392,126,5984,40,South America
13,UK,327798,1184,41449,16,0,0,0,72,4825,610,15177265,223391,67940504,207,1639,4,Europe
14,Saudi Arabia,309768,1114,3722,31,283932,1044,22114,1639,8877,107,4792192,137335,34894084,113,9375,7,Asia
15,Bangladesh,299628,2545,4028,45,186756,3881,108844,0,1817,24,1470191,8914,164936512,550,40947,112,Asia
16,Pakistan,293711,450,6255,11,278425,1596,9031,672,1326,28,2487744,11230,221518880,754,35415,89,Asia
17,Turkey,261194,1502,6163,24,238795,887,16236,811,3092,73,6521640,77202,84475416,323,13707,13,Asia
18,Italy,261174,876,35445,4,206015,353,19714,66,4321,586,8125892,134428,60447968,231,1705,7,Europe
19,France,248158,3304,30544,16,85524,325,132090,410,3801,468,6000000,91890,65295784,263,2138,11,Europe
20,Germany,237572,1455,9345,9,209600,0,18627,245,2834,111,10197366,121650,83825128,353,8970,8,Europe
21,Iraq,211947,3962,6596,77,153761,3372,51590,574,5252,163,1482187,36731,40352992,190,6118,27,Asia
22,Philippines,197164,2965,3038,34,132396,368,61730,717,1796,28,2378069,21658,109798440,557,36142,46,Asia
23,Indonesia,157859,2447,6858,99,112867,1807,38134,0,576,25,2056166,7505,273958432,1735,39947,133,Asia
24,Canada,125969,322,9090,7,112050,356,4829,44,3333,241,5205086,137729,37792184,300,4158,7,North America
25,Qatar,117498,232,194,0,114318,219,2986,68,41847,69,599447,213493,2807805,24,14473,5,Asia
26,Bolivia,110148,999,4578,69,47050,1654,58520,71,9417,391,234304,20032,11696726,106,2555,50,South America
27,Ecuador,109030,741,6368,46,95025,147,7637,386,6166,360,311310,17605,17682740,162,2777,57,South America
28,Ukraine,108415,1658,2318,25,52870,0,53227,177,2481,53,1436206,32871,43692288,403,18849,30,Europe
29,Israel,106460,1988,859,12,83822,2180,21779,427,11575,93,2180096,237029,9197590,86,10707,4,Asia
30,Kazakhstan,104902,184,1523,0,93405,807,9974,221,5577,81,2291327,121812,18810324,179,12351,8,Asia
31,Egypt,97619,141,5298,18,67717,900,24604,41,951,52,135000,1316,102616872,1051,19369,760,Africa
32,Dominican Republic,92217,609,1585,12,62460,902,28172,242,8488,146,350033,32219,10864291,118,6854,31,North America
33,Panama,88381,896,1919,13,62759,574,23703,153,20436,444,313342,72452,4324810,49,2254,14,North America
34,Sweden,86891,0,5814,5,0,0,0,22,8596,575,1030010,101892,10108859,116,1739,10,Europe
35,China,84981,14,4634,0,79961,36,386,11,59,3,90410000,62814,1439323776,16937,310601,16,Asia
36,Oman,84652,143,642,5,79147,235,4863,151,16517,125,309212,60332,5125210,61,7983,17,Asia
37,Belgium,82092,156,9996,4,18242,17,53854,89,7079,862,2144563,184918,11597351,141,1160,5,Europe
38,Kuwait,81573,613,519,1,73402,477,7652,95,19059,121,595049,139032,4279939,52,8247,7,Asia
39,Romania,80390,1060,3367,58,35816,299,41207,490,4183,175,1679614,87401,19217398,239,5708,11,Europe
40,Belarus,70727,82,652,6,69097,172,978,0,7485,69,1480047,156638,9448840,134,14492,6,Europe
41,Guatemala,69651,1118,2630,19,57891,156,9130,5,3877,146,225758,12567,17964128,258,6830,80,North America
42,UAE,67621,339,377,1,58754,172,8490,0,6825,38,6629995,669137,9908281,147,26282,1,Asia
43,Netherlands,67543,415,6207,5,0,0,0,55,3941,362,1455274,84902,17140718,254,2762,12,Europe
44,Japan,63121,614,1196,15,50431,1091,11494,252,499,9,1357628,10739,126415848,2003,105699,93,Asia
45,Poland,63073,763,1977,17,42784,336,18312,76,1667,52,2577726,68121,37840160,600,19140,15,Europe
46,Singapore,56435,31,27,0,54816,229,1592,0,9635,5,1745928,298076,5857317,104,216938,3,Asia
47,Portugal,55912,192,1805,4,41021,141,13086,41,5486,177,1945123,190847,10192057,182,5647,5,Europe
48,Honduras,55479,968,1683,29,8556,24,45240,47,5588,170,135216,13620,9927888,179,5899,73,North America
49,Morocco,54528,1276,955,35,38293,815,15280,31,1475,26,1802170,48739,36976064,678,38718,21,Africa
50,Nigeria,52800,252,1007,3,39964,707,11829,7,255,5,379542,1835,206872336,3918,205434,545,Africa
51,Bahrain,50076,357,186,1,46673,362,3217,32,29288,109,1058509,619099,1709757,34,9192,2,Asia
52,Ghana,43717,95,270,7,41843,148,1604,5,1403,9,436253,13997,31167222,713,115434,71,Africa
53,Ethiopia,43688,1545,709,17,15796,534,27183,290,379,6,794686,6888,115372016,2641,162725,145,Africa
54,Kyrgyzstan,43245,119,1057,0,36925,310,5263,24,6612,162,267718,40935,6540072,151,6187,24,Asia
55,Armenia,42936,111,858,4,36475,426,5603,0,14485,289,196873,66419,2964098,69,3455,15,Asia
56,Algeria,42228,370,1456,10,29587,218,11185,41,960,33,0,0,43967240,1041,30197,0,Africa
57,Venezuela,41158,820,343,6,32015,935,8800,86,1448,12,1706093,60024,28423336,691,82867,17,South America
58,Switzerland,40262,202,2002,1,34400,0,3860,15,4647,231,948439,109466,8664233,215,4328,9,Europe
59,Uzbekistan,39641,293,284,4,35869,318,3488,249,1182,8,1377915,41081,33541218,846,118103,24,Asia
60,Afghanistan,38070,16,1397,8,28440,80,8233,31,975,36,101377,2596,39055072,1026,27956,385,Asia
61,Azerbaijan,35559,133,521,2,33190,86,1848,0,3502,51,885279,87194,10152983,286,19487,11,Asia
62,Costa Rica,35305,842,376,14,13072,314,21857,144,6921,74,133005,26074,5101142,144,13567,38,North America
63,Moldova,34358,530,960,15,23869,299,9529,575,8520,238,183923,45610,4032498,117,4201,22,Europe
64,Nepal,33533,855,164,7,19119,313,14250,0,1148,6,904802,30972,29213726,871,178132,32,Asia
65,Kenya,32803,246,559,5,19055,160,13189,44,608,10,429513,7962,53942792,1644,96499,126,Africa
