,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
57,Morocco,29644,0,449,0,20553,0,8642,31,802,12,1383816,37448,36953360,1247,82301,27,Africa
58,Uzbekistan,28809,494,179,4,19587,296,9043,228,860,5,1377915,41112,33516028,1163,187240,24,Asia
59,Serbia,27332,0,621,0,14047,0,12664,120,3129,71,723137,82799,8733665,320,14064,12,Europe
60,Moldova,26628,0,828,0,18676,0,7124,362,6603,205,128076,31757,4032983,151,4871,31,Europe
61,Ireland,26372,0,1768,0,23364,0,1240,5,5335,358,652917,132084,4943200,187,2796,8,Europe
62,Kenya,24411,0,399,0,10444,0,13568,44,453,7,335318,6223,53881160,2207,135041,161,Africa
63,Venezuela,23280,0,202,0,12470,0,10608,66,819,7,1573859,55364,28427500,1221,140730,18,South America
64,Nepal,22214,464,70,5,15814,425,6330,0,761,2,739903,25351,29186486,1314,416950,39,Asia
65,Austria,21837,141,720,1,19690,94,1427,25,2423,80,947305,105121,9011577,413,12516,10,Europe
66,Costa Rica,21070,0,200,0,7038,0,13832,103,4132,39,100050,19623,5098730,242,25494,51,North America
67,Ethiopia,20900,0,365,0,9027,0,11508,185,181,3,468814,4069,115223736,5513,315681,246,Africa
68,Australia,20272,410,266,11,11147,35,8859,51,794,10,4713854,184648,25528864,1259,95973,5,Australia/Oceania
69,El Salvador,19544,418,520,7,9379,143,9645,514,3012,80,256176,39475,6489514,332,12480,25,North America
70,Czechia,17731,0,390,0,12320,0,5021,17,1655,36,728670,68030,10711019,604,27464,15,Europe
71,Cameroon,17718,0,391,0,15320,0,2007,30,666,15,149000,5600,26606188,1502,68047,179,Africa
72,Ivory Coast,16447,0,103,0,12484,0,3860,0,622,4,104584,3956,26437950,1607,256679,253,Africa
73,S. Korea,14519,20,303,1,13543,42,673,18,283,6,1613652,31471,51273732,3531,169220,32,Asia
74,Denmark,14442,136,617,0,12840,53,985,2,2492,106,1680226,289980,5794279,401,9391,3,Europe
75,Palestine,13722,324,94,2,7210,303,6418,0,2684,18,200280,39176,5112340,373,54387,26,Asia
76,Bosnia and Herzegovina,13687,291,394,10,7373,331,5920,0,4175,120,148090,45168,3278650,240,8321,22,Europe
77,Bulgaria,13014,0,435,0,7374,0,5205,47,1874,63,294087,42358,6942854,533,15961,24,Europe
78,Madagascar,12708,182,135,1,10412,264,2161,93,458,5,47022,1694,27755708,2184,205598,590,Africa
