,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5415666,55364,170415,1284,2843204,30601,2402047,17239,16350,514,68524600,206876,331235200,61,1944,5,North America
2,Brazil,3229621,59147,105564,1301,2356640,47163,767417,8318,15181,496,13464336,63290,212739552,66,2015,16,South America
3,India,2459613,64142,48144,1006,1750636,54776,660833,8944,1780,35,26845688,19431,1381604224,562,28697,51,Asia
4,Russia,907758,5057,15384,124,716396,6098,175978,2300,6220,105,31598302,216513,145942112,161,9487,5,Europe
5,South Africa,572865,3946,11270,260,437617,5588,123978,539,9645,190,3315497,55820,59395868,104,5270,18,Africa
6,Peru,507996,9441,25648,277,348006,6068,134342,1525,15382,777,2677014,81060,33025106,65,1288,12,South America
7,Mexico,498380,5858,54666,737,336635,3835,107079,3775,3861,423,1127115,8731,129092048,259,2361,115,North America
8,Colombia,433805,11286,14145,308,250494,10709,169166,1493,8515,278,2063332,40500,50946628,117,3602,25,South America
9,Chile,380034,1866,10299,94,353131,1712,16604,1259,19860,538,1932592,100994,19135648,50,1858,10,South America
10,Spain,355856,2935,28605,26,0,0,0,617,7611,612,7472031,159806,46756992,131,1635,6,Europe
11,Iran,336324,2625,19162,174,292058,1814,25104,3971,3998,228,2788027,33144,84118184,250,4390,30,Asia
12,UK,313798,0,41347,18,0,0,0,70,4620,609,18868566,277770,67928832,216,1643,4,Europe
13,Saudi Arabia,294519,1482,3303,34,260393,3124,30823,1805,8445,95,4071857,116751,34876296,118,10559,9,Asia
14,Pakistan,286674,753,6139,10,264060,867,16475,783,1295,28,2205664,9963,221378016,772,36061,100,Asia
15,Argentina,276072,7498,5362,149,192434,5151,78276,1682,6102,119,911596,20148,45244808,164,8438,50,South America
16,Bangladesh,269115,2617,3557,44,154871,1782,110687,0,1632,22,1315901,7981,164882752,613,46354,125,Asia
17,Italy,252235,522,35231,6,202923,226,14081,55,4173,583,7420764,122757,60450872,240,1716,8,Europe
18,Turkey,245635,1243,5912,21,228057,968,11666,647,2909,70,5521880,65390,84445680,344,14284,15,Asia
19,Germany,222269,1419,9281,5,200800,900,12188,224,2652,111,8586648,102446,83816368,377,9031,10,Europe
20,France,209365,2669,30388,17,83472,0,95505,379,3207,465,5500000,84238,65291060,312,2149,12,Europe
21,Iraq,164277,3841,5641,53,117208,2667,41428,592,4074,140,1224909,30377,40323328,245,7148,33,Asia
22,Philippines,147526,4002,2426,23,70387,1403,74713,389,1344,22,1939426,17671,109750616,744,45239,57,Asia
23,Indonesia,132816,2098,5968,65,87558,1760,39290,0,485,22,1809487,6607,273863648,2062,45889,151,Asia
24,Canada,121234,390,9015,9,107553,405,4666,2291,3209,239,4635105,122682,37781344,312,4191,8,North America
25,Qatar,114281,343,190,0,110957,330,3134,74,40701,68,538602,191823,2807805,25,14778,5,Asia
26,Kazakhstan,101372,517,1269,0,76756,2079,23347,221,5391,67,2252153,119777,18802960,185,14817,8,Asia
27,Ecuador,98343,1233,6010,26,78957,70,13376,355,5564,340,276491,15644,17673952,180,2941,64,South America
28,Egypt,96108,145,5107,22,56890,989,34111,41,937,50,135000,1316,102553496,1067,20081,760,Africa
29,Bolivia,95071,1743,3827,66,32830,1077,58414,71,8132,327,202932,17357,11691504,123,3055,58,South America
30,Israel,89822,1671,651,12,64746,2637,24425,371,9766,71,2024299,220090,9197590,102,14128,5,Asia
31,Ukraine,86140,1592,1992,22,46216,530,37932,123,1971,46,1233925,28236,43700860,507,21938,35,Europe
32,China,84756,19,4634,0,79398,56,724,41,59,3,90410000,62814,1439323776,16982,310601,16,Asia
33,Sweden,83852,0,5776,6,0,0,0,30,8297,571,917036,90735,10106798,121,1750,11,Europe
34,Dominican Republic,83134,910,1393,22,47946,851,33795,303,7655,128,308187,28376,10860727,131,7797,35,North America
35,Oman,82531,232,551,12,77278,206,4702,155,16116,108,309212,60382,5120938,62,9294,17,Asia
36,Panama,78446,1069,1722,19,52210,613,24514,158,18148,398,261350,60462,4322582,55,2510,17,North America
37,Belgium,75647,639,9900,15,17883,42,47864,76,6524,854,1912240,164909,11595701,153,1171,6,Europe
38,Kuwait,74486,701,489,0,66099,648,7898,118,17412,114,548005,128102,4277867,57,8748,8,Asia
39,Belarus,69203,101,599,4,66178,285,2426,0,7324,63,1392662,147388,9448942,137,15775,7,Europe
40,Romania,66631,1454,2860,53,31547,499,32224,478,3466,149,1450269,75450,19221582,288,6721,13,Europe
41,UAE,63489,277,358,0,57372,179,5759,0,6410,36,5769109,582482,9904364,156,27666,2,Asia
42,Netherlands,61204,577,6165,4,0,0,0,49,3571,360,1195475,69750,17139480,280,2780,14,Europe
43,Guatemala,60284,1195,2296,29,48305,911,9683,5,3358,128,193147,10758,17953246,298,7819,93,North America
44,Singapore,55497,102,27,0,50736,216,4734,0,9477,5,1610906,275095,5855811,106,216882,4,Asia
45,Poland,54487,811,1844,14,37961,350,14682,82,1440,49,2307735,60984,37841512,695,20521,16,Europe
46,Portugal,53548,325,1770,6,39177,237,12601,39,5253,174,1799226,176515,10193027,190,5759,6,Europe
47,Japan,51147,937,1063,4,36134,1246,13950,203,405,8,1085322,8584,126428488,2472,118936,116,Asia
48,Honduras,48657,254,1533,18,6945,140,40179,46,4904,154,119321,12025,9922719,204,6473,83,North America
49,Nigeria,48116,373,966,10,34309,366,12841,7,233,5,341421,1652,206704320,4296,213980,605,Africa
50,Bahrain,45726,462,167,1,42180,344,3379,40,26775,98,944798,553223,1707806,37,10226,2,Asia
51,Ghana,41725,153,223,0,39495,175,2007,6,1340,7,416988,13388,31145912,746,139668,75,Africa
52,Kyrgyzstan,41069,310,1487,3,33288,291,6294,24,6283,227,267718,40957,6536539,159,4396,24,Asia
53,Armenia,41023,229,809,3,33897,405,6317,0,13841,273,180497,60898,2963917,72,3664,16,Asia
54,Morocco,37935,1241,584,28,26687,1010,10664,31,1026,16,1538520,41625,36961724,974,63291,24,Africa
55,Afghanistan,37424,79,1363,9,26714,20,9347,31,959,35,97778,2505,39026256,1043,28633,399,Asia
56,Switzerland,37403,234,1991,0,32700,0,2712,25,4318,230,861555,99462,8662161,232,4351,10,Europe
57,Algeria,37187,488,1341,8,26004,377,9842,44,846,31,0,0,43941244,1182,32768,0,Africa
58,Azerbaijan,33915,91,500,3,31269,211,2146,0,3341,49,812033,80003,10149989,299,20300,12,Asia
59,Uzbekistan,33323,858,216,6,27213,2107,5894,410,994,6,1377915,41101,33525308,1006,155210,24,Asia
60,Venezuela,30369,1281,259,12,21385,343,8725,81,1068,9,1618708,56945,28425964,936,109753,18,South America
61,Moldova,29087,390,878,15,20276,278,7933,362,7213,218,128076,31759,4032804,139,4593,31,Europe
62,Serbia,28998,247,661,3,18965,0,9372,78,3321,76,780097,89328,8732995,301,13212,11,Europe
63,Kenya,28754,650,460,4,15100,490,13194,44,533,9,375859,6973,53903864,1875,117182,143,Africa
64,Ireland,26929,91,1774,0,23364,0,1791,6,5447,359,687699,139091,4944255,184,2787,7,Europe
65,Ethiopia,26204,1086,479,16,11428,394,14297,193,227,4,550119,4772,115278368,4399,240665,210,Africa
66,Costa Rica,26129,1072,272,9,8412,223,17445,95,5124,53,108819,21339,5099619,195,18749,47,North America
67,Nepal,24957,525,95,4,16837,109,8025,0,855,3,795440,27244,29196522,1170,307332,37,Asia
68,Austria,22594,155,725,1,20346,78,1523,22,2507,80,991508,110014,9012558,399,12431,9,Europe
69,Australia,22358,231,361,9,13001,222,8996,51,876,14,5108507,200063,25534520,1142,70733,5,Australia/Oceania
70,El Salvador,21993,349,584,7,10254,198,11155,450,3389,90,271057,41764,6490138,295,11113,24,North America
71,Czechia,19401,326,391,0,13574,167,5436,24,1811,37,775991,72445,10711398,552,27395,14,Europe
72,Cameroon,18308,45,401,0,15320,0,2587,30,688,15,149000,5598,26618864,1454,66381,179,Africa
73,Ivory Coast,16889,42,107,2,13522,201,3260,0,639,4,111132,4202,26450480,1566,247201,238,Africa
74,Palestine,15491,307,106,1,9186,817,6199,0,3029,21,214862,42009,5114614,330,48251,24,Asia
75,Denmark,15214,144,621,0,13131,65,1462,1,2626,107,1836246,316885,5794668,381,9331,3,Europe
76,Bosnia and Herzegovina,15184,223,458,5,9156,329,5570,0,4632,140,157586,48070,3278262,216,7158,21,Europe
77,S. Korea,14770,56,305,0,13817,31,648,15,288,6,1654898,32275,51274572,3472,168113,31,Asia
78,Bulgaria,14069,176,484,2,8901,422,4684,63,2027,70,324851,46796,6941860,493,14343,21,Europe
79,Madagascar,13522,125,162,6,11780,251,1580,85,487,6,50493,1818,27769368,2054,171416,550,Africa
80,North Macedonia,12357,140,532,2,8662,175,3163,6,5931,255,120950,58055,2083364,169,3916,17,Europe
81,Sudan,12115,82,792,6,6305,23,5018,0,276,18,401,9,43963168,3629,55509,109634,Africa
82,Senegal,11740,153,244,2,7572,49,3924,51,699,15,125554,7477,16792344,1430,68821,134,Africa
83,Norway,9851,68,257,1,8857,0,737,2,1815,47,508770,93760,5426280,551,21114,11,Europe
84,DRC,9589,51,234,9,8480,59,875,0,107,3,0,0,89854496,9371,383994,0,Africa
85,Malaysia,9129,15,125,0,8821,4,183,2,282,4,1085040,33474,32414304,3551,259314,30,Asia
86,Zambia,8663,162,246,0,7401,168,1016,0,470,13,96610,5239,18440014,2129,74959,191,Africa
87,French Guiana,8471,48,51,1,7784,71,636,17,28281,170,43758,146087,299533,35,5873,7,South America
88,Paraguay,8389,371,97,4,5516,132,2776,36,1174,14,146284,20480,7142766,851,73637,49,South America
89,Guinea,8198,82,50,0,7120,60,1028,24,622,4,14407,1094,13171742,1607,263435,914,Africa
90,Gabon,8077,0,51,0,5920,0,2106,9,3619,23,96203,43110,2231571,276,43756,23,Africa
91,Tajikistan,7950,38,63,0,6741,45,1146,0,831,7,0,0,9561575,1203,151771,0,Asia
92,Haiti,7781,38,192,5,5123,0,2466,0,681,17,18933,1658,11418761,1468,59473,603,North America
93,Lebanon,7711,298,92,3,2496,89,5123,44,1130,13,392839,57587,6821638,885,74148,17,Asia
94,Finland,7683,41,333,0,7050,0,300,1,1386,60,440588,79503,5541768,721,16642,13,Europe
95,Luxembourg,7368,68,122,0,6414,152,832,1,11748,195,667333,1064077,627147,85,5141,1,Europe
96,Libya,7050,439,135,3,816,38,6099,0,1024,20,68201,9910,6882140,976,50979,101,Africa
97,Albania,6971,154,213,5,3616,64,3142,20,2423,74,42854,14893,2877410,413,13509,67,Europe
98,Mauritania,6653,31,157,0,5843,102,653,3,1427,34,58147,12470,4663073,701,29701,80,Africa
99,Greece,6381,204,221,5,3804,0,2356,22,613,21,687338,65984,10416704,1632,47134,15,Europe
100,Croatia,6050,180,161,1,5078,54,811,10,1475,39,133493,32543,4102095,678,25479,31,Europe
101,Maldives,5494,128,21,0,2920,36,2553,12,10143,39,93098,171885,541631,99,25792,6,Asia
102,Djibouti,5358,0,59,0,5167,17,132,0,5414,60,62341,62992,989661,185,16774,16,Africa
103,Zimbabwe,4990,97,128,6,1927,307,2935,0,335,9,149748,10058,14887943,2984,116312,99,Africa
104,Malawi,4912,160,153,1,2550,21,2209,4,256,8,37746,1968,19184324,3906,125388,508,Africa
105,Equatorial Guinea,4821,0,83,0,2182,0,2556,0,3424,59,44356,31505,1407888,292,16963,32,Africa
106,Hungary,4813,45,607,2,3561,32,645,5,498,63,369545,38266,9657317,2007,15910,26,Europe
107,CAR,4652,0,61,0,1728,0,2863,2,961,13,29930,6185,4839360,1040,79334,162,Africa
108,Hong Kong,4313,69,65,2,3295,106,953,32,575,9,692430,92272,7504203,1740,115449,11,Asia
109,Nicaragua,4115,0,128,0,2913,0,1074,0,620,19,0,0,6633770,1612,51826,0,North America
110,Montenegro,3857,44,73,0,2680,42,1104,0,6141,116,41235,65653,628076,163,8604,15,Europe
111,Congo,3745,0,60,0,1625,0,2060,0,677,11,0,0,5533111,1477,92219,0,Africa
112,Eswatini,3599,74,65,2,1991,81,1543,10,3098,56,28380,24432,1161577,323,17870,41,Africa
113,Namibia,3544,138,27,5,848,13,2669,14,1392,11,37797,14845,2546145,718,94302,67,Africa
114,Thailand,3359,3,58,0,3169,0,132,1,48,0,749213,10730,69821232,20786,1203814,93,Asia
115,Somalia,3227,0,93,0,1728,0,1406,2,202,6,0,0,15941525,4940,171414,0,Africa
116,Cuba,3174,46,89,1,2525,21,560,6,280,8,314499,27768,11325767,3568,127256,36,North America
117,Mayotte,3119,28,39,0,2940,105,140,1,11402,143,13000,47524,273545,88,7014,21,Africa
118,Cabo Verde,3073,73,33,0,2232,60,808,0,5520,59,61633,110712,556696,181,16870,9,Africa
119,Sri Lanka,2882,1,11,0,2646,8,225,1,135,0,166737,7783,21424076,7434,1947643,128,Asia
120,Suriname,2761,108,40,1,1830,41,891,12,4702,68,4449,7576,587254,213,14681,132,South America
121,Slovakia,2739,49,31,0,1939,55,769,6,502,6,286852,52537,5459965,1993,176128,19,Europe
122,Mozambique,2638,79,19,0,1015,64,1604,0,84,0,73479,2344,31350776,11884,1650041,427,Africa
123,Mali,2597,15,125,0,1979,2,493,0,128,6,29376,1446,20314102,7822,162513,692,Africa
124,South Sudan,2478,1,47,0,1175,0,1256,0,221,4,12044,1074,11209081,4523,238491,931,Africa
125,Slovenia,2332,29,129,0,1960,0,243,2,1122,62,138701,66716,2078973,891,16116,15,Europe
126,Lithuania,2330,21,81,0,1689,6,560,6,857,30,565782,208207,2717400,1166,33548,5,Europe
127,Rwanda,2200,11,8,0,1558,34,634,0,169,0,319295,24584,12987705,5904,1623463,41,Africa
