,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6636247,46600,197421,1094,3917962,38002,2520864,14347,20026,596,90845704,274136,331388704,50,1679,4,North America
2,India,4657379,97654,77506,1202,3621438,81455,958435,8944,3368,56,54097976,39125,1382678400,297,17840,26,Asia
3,Brazil,4283978,44215,130474,899,3530655,33318,622849,8318,20126,613,14505652,68147,212859088,50,1631,15,South America
4,Russia,1051874,5504,18365,102,868107,5734,165402,2300,7207,126,39912528,273473,145947056,139,7947,4,Europe
5,Peru,716670,6603,30470,126,552214,7469,133986,1469,21677,922,3482894,105346,33061508,46,1085,9,South America
6,Colombia,702088,7424,22518,243,582694,13215,96876,863,13769,442,3100659,60810,50989576,73,2264,16,South America
7,Mexico,652364,4857,69649,554,458850,3868,123865,2892,5049,539,1480902,11462,129199320,198,1855,87,North America
8,South Africa,646398,1960,15378,113,574587,1584,56433,539,10872,259,3884166,65329,59455112,92,3866,15,Africa
9,Spain,576697,4708,29747,48,0,0,0,1136,12334,636,9987326,213594,46758424,81,1572,5,Europe
10,Argentina,535705,11507,11148,241,400121,10023,124436,3093,11832,246,1513847,33435,45277636,85,4062,30,South America
11,Chile,430535,1860,11850,69,403064,1708,15621,918,22484,619,2753769,143810,19148636,44,1616,7,South America
12,Iran,397801,2313,22913,115,342539,1697,32349,3753,4724,272,3507938,41660,84203360,212,3675,24,Asia
13,France,363350,9406,30893,80,89059,317,243398,635,5564,473,10000000,153134,65302472,180,2114,7,Europe
14,UK,361677,3539,41614,6,0,0,0,78,5322,612,19293328,283905,67957032,188,1633,4,Europe
15,Bangladesh,334762,1792,4668,34,236024,2474,94070,0,2029,28,1704758,10331,165012672,493,35350,97,Asia
16,Saudi Arabia,324407,687,4213,24,300933,935,19261,1368,9290,121,5645077,161661,34919284,108,8288,6,Asia
17,Pakistan,300371,516,6370,5,288206,256,5795,535,1355,29,2879655,12988,221718432,738,34807,77,Asia
18,Turkey,288126,1671,6951,56,256524,1117,24651,1223,3409,82,8325137,98502,84517544,293,12159,10,Asia
