,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5841428,43829,180174,974,3148080,20662,2513174,16739,17633,544,75475176,227827,331282816,57,1839,4,North America
2,Brazil,3582698,46210,114277,823,2709638,38883,758783,8318,16838,537,14144344,66475,212776640,59,1862,15,South America
3,India,3043436,70068,56846,918,2279900,59101,706690,8944,2202,41,34491072,24958,1381937664,454,24310,40,Asia
4,Russia,951897,4921,16310,121,767477,6147,168110,2300,6522,112,33814104,231693,145943648,153,8948,4,Europe
5,South Africa,607045,3707,12987,144,504127,4025,89931,539,10217,219,3535067,59499,59414252,98,4575,17,Africa
6,Peru,585236,9169,27453,208,391144,6236,166639,1506,17715,831,2950589,89313,33036404,56,1203,11,South America
7,Mexico,549734,5928,59610,504,376409,4771,113715,3518,4257,462,1239133,9596,129125344,235,2166,104,North America
8,Colombia,533103,10965,16968,400,359792,10852,156343,1493,10461,333,2450441,48086,50959956,96,3003,21,South America
9,Spain,407879,0,28838,0,0,0,0,541,8723,617,7955615,170147,46757436,115,1621,6,Europe
10,Chile,395708,1939,10792,69,369730,1833,15186,1058,20675,564,2172028,113483,19139680,48,1774,9,South America
11,Iran,356792,2028,20502,126,307702,1836,28588,3850,4240,244,3011310,35787,84144616,236,4104,28,Asia
12,Argentina,336802,7759,6848,118,245781,5975,84173,1907,7442,151,1073719,23726,45254996,134,6608,42,South America
13,UK,324601,1288,41423,18,0,0,0,76,4778,610,15177265,223400,67937584,209,1640,4,Europe
14,Saudi Arabia,306370,1184,3619,39,278441,1374,24310,1652,8781,104,4501104,129010,34889636,114,9641,8,Asia
15,Bangladesh,292625,2265,3907,46,175567,2952,113151,0,1774,24,1431855,8682,164923072,564,42212,115,Asia
16,Pakistan,292174,586,6231,12,275317,1738,10626,731,1319,28,2414902,10903,221483664,758,35545,92,Asia
17,Italy,258136,1071,35430,3,205203,243,17503,64,4270,586,7940266,131355,60448696,234,1706,8,Europe
18,Turkey,257032,1309,6102,22,236370,801,14560,762,3043,72,6247164,73959,84467984,329,13843,14,Asia
19,France,238002,3602,30512,9,84950,121,122540,380,3645,467,6000000,91891,65294600,274,2140,11,Europe
20,Germany,233857,836,9331,3,208950,3150,15576,236,2790,111,10197366,121654,83822944,358,8983,8,Europe
21,Iraq,201050,3965,6353,70,143393,2947,51304,637,4983,157,1413947,35046,40345576,201,6351,29,Asia
22,Philippines,187249,4884,2966,26,114921,402,69362,717,1706,27,2276622,20737,109786488,586,37015,48,Asia
23,Indonesia,151498,2090,6594,94,105198,2207,39706,0,553,24,2014619,7354,273934720,1808,41543,136,Asia
24,Canada,124629,257,9071,7,110878,230,4680,62,3298,240,5076734,134343,37789472,303,4166,7,North America
25,Qatar,116765,284,193,0,113531,315,3041,66,41586,69,584123,208035,2807805,24,14548,5,Asia
26,Bolivia,107435,1370,4366,61,42141,1030,60928,71,9186,373,227931,19489,11695421,109,2679,51,South America
27,Ecuador,107089,608,6277,29,87889,159,12923,351,6057,355,304441,17219,17680544,165,2817,58,South America
28,Kazakhstan,104313,242,1415,0,89712,1792,13186,221,5546,75,2291327,121824,18808484,180,13292,8,Asia
