,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6139078,42843,186855,954,3408799,32961,2543424,16025,18529,564,81102400,244786,331319872,54,1773,4,North America
2,Brazil,3846965,34360,120498,904,3006812,30016,719655,8318,18077,566,14352484,67444,212805504,55,1766,15,South America
3,India,3539712,78472,63657,944,2712520,64982,763535,8944,2561,46,40406608,29234,1382196864,390,21713,34,Asia
4,Russia,985346,4941,17025,111,804383,5917,163938,2300,6751,117,36000000,246669,145944848,148,8572,4,Europe
5,Peru,639435,9474,28607,136,446675,8658,164153,1524,19350,866,3156679,95526,33045190,52,1155,10,South America
6,South Africa,622551,2419,13981,238,536694,2759,71876,539,10476,235,3652970,61468,59428552,95,4251,16,Africa
7,Colombia,599914,9394,19064,297,440574,10954,140276,1493,11770,374,2685355,52685,50970324,85,2674,19,South America
8,Mexico,585738,5824,63146,552,404667,4188,117925,3221,4535,489,1319957,10220,129151232,220,2045,98,North America
9,Spain,455621,0,29011,0,0,0,0,751,9744,620,8517446,182161,46757784,103,1612,5,Europe
10,Chile,408009,2037,11181,49,381183,1731,15645,959,21314,584,2365753,123584,19142814,47,1712,8,South America
11,Argentina,401239,9230,8353,82,287220,7055,105666,2192,8865,185,1222359,27006,45262920,113,5419,37,South America
12,Iran,371816,1905,21359,110,319847,1577,30610,3791,4418,254,3184857,37841,84165184,226,3941,26,Asia
13,UK,332752,1108,41498,12,0,0,0,60,4897,611,16273209,239508,67944392,204,1637,4,Europe
14,Saudi Arabia,313911,987,3840,27,288441,1038,21630,1555,8995,110,5026127,144015,34900012,111,9089,7,Asia
15,Bangladesh,308925,2131,4206,32,198863,2027,105856,0,1873,25,1525815,9250,164954432,534,39219,108,Asia
16,Pakistan,295372,319,6284,1,280340,403,8748,642,1333,28,2581695,11652,221565824,750,35259,86,Asia
17,France,272530,5453,30602,6,86177,0,155751,387,4174,469,6175223,94571,65297356,240,2134,11,Europe
18,Turkey,267064,1549,6284,39,242812,1003,17968,917,3161,74,6937088,82110,84485328,316,13445,12,Asia
19,Italy,266853,1444,35473,1,208224,1322,23156,79,4415,587,8509618,140778,60447004,227,1704,7,Europe
20,Germany,242825,711,9363,3,217484,423,15978,245,2897,112,11208091,133703,83828048,345,8953,7,Europe
21,Iraq,227446,3834,6891,77,169020,4146,51535,579,5635,171,1567133,38826,40362884,177,5857,26,Asia
22,Philippines,213112,3618,3418,93,135084,638,74610,837,1941,31,2515352,22905,109814384,515,32128,44,Asia
23,Indonesia,169195,3308,7261,92,122802,1902,39132,0,618,27,2198403,8024,273990016,1619,37734,125,Asia
