,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6290737,41211,189964,1090,3547032,50119,2553741,15113,18985,573,84098408,253808,331346336,53,1744,4,North America
2,Brazil,4001422,48632,123899,1218,3210405,51309,667118,8318,18801,582,14352484,67438,212826112,53,1718,15,South America
3,India,3848968,82860,67486,1026,2967396,67875,814086,8944,2784,49,44337200,32073,1382382080,359,20484,31,Asia
4,Russia,1005000,4952,17414,115,821169,5464,166417,2300,6886,119,37100000,254204,145945696,145,8381,4,Europe
5,Peru,663437,6308,29259,191,480177,8578,154001,1500,20073,885,3256711,98535,33051466,50,1130,10,South America
6,Colombia,633339,9270,20348,296,479568,10011,133423,1493,12424,399,2810137,55125,50977728,80,2505,18,South America
7,South Africa,630595,2336,14389,126,553456,3463,62750,539,10609,242,3726721,62698,59438768,94,4131,16,Africa
8,Mexico,606036,6476,65241,827,421373,4635,119422,3275,4692,505,1360123,10530,129169728,213,1980,95,North America
9,Spain,479554,8581,29194,42,0,0,0,874,10256,624,9210337,196979,46758028,98,1602,5,Europe
10,Argentina,439172,10933,9118,199,315530,7154,114524,2359,9701,201,1300866,28737,45268580,103,4965,35,South America
11,Chile,414739,1594,11344,23,387683,1893,15712,947,21663,593,2481508,129616,19145052,46,1688,8,South America
12,Iran,378752,1858,21797,125,326801,1677,30154,3693,4499,259,3281961,38987,84179864,222,3862,26,Asia
13,UK,338676,1508,41514,10,0,0,0,60,4984,611,16273209,239491,67949256,201,1637,4,Europe
14,Bangladesh,317528,2582,4351,35,211016,2839,102161,0,1925,26,1577616,9563,164976832,520,37917,105,Asia
15,Saudi Arabia,317486,816,3956,27,292510,996,21020,1523,9095,113,5026127,143984,34907424,110,8824,7,Asia
16,Pakistan,296590,441,6318,20,281459,489,8813,584,1338,29,2662508,12014,221624528,747,35078,83,Asia
17,France,293024,7017,30686,25,86963,251,175375,446,4487,470,7500000,114856,65299324,223,2128,9,Europe
18,Turkey,273301,1596,6462,45,246876,947,19963,1017,3234,76,7355862,87054,84497720,309,13076,11,Asia
19,Italy,271515,1326,35497,6,208201,257,27817,109,4492,587,8828868,146063,60445792,223,1703,7,Europe
20,Germany,247391,1390,9393,12,223100,1300,14898,228,2951,112,12383035,147713,83831704,339,8925,7,Europe
21,Iraq,242284,3946,7201,78,184205,3732,50878,527,6001,178,1647454,40804,40375244,167,5607,25,Asia
22,Philippines,226416,2194,3623,27,158595,594,64198,837,2061,33,2666941,24281,109834312,485,30316,41,Asia
23,Indonesia,180646,3075,7616,111,129971,1914,43059,0,659,28,2301628,8399,274029504,1517,35981,119,Asia
24,Canada,129923,498,9135,3,115050,443,5738,52,3437,242,5590068,147884,37800312,291,4138,7,North America
25,Ukraine,125798,2504,2656,51,58817,1015,64325,177,2880,61,1597707,36573,43685864,347,16448,27,Europe
26,Israel,121464,2926,969,12,97234,1020,23261,423,13206,105,2354222,255961,9197590,76,9492,4,Asia
27,Qatar,119206,212,199,1,116111,216,2896,60,42455,71,639742,227844,2807805,24,14110,4,Asia
