,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region,Date
1,USA,4973568,55148,161601,1319,2540137,58457,2271830,18424,15017,488,62381296,188350,331198144,67,2049,5,North America,2020-08-05
2,Brazil,2862761,54685,97418,1322,2020637,49870,744706,8318,13458,458,13206188,62085,212710688,74,2183,16,South America,2020-08-05
3,India,1963239,56626,40739,919,1327200,45540,595300,8944,1421,29,21484402,15553,1381345024,704,33907,64,Asia,2020-08-05
4,Russia,866627,5204,14490,139,669026,7555,183111,2300,5938,99,29400000,201451,145940928,168,10072,5,Europe,2020-08-05
5,South Africa,529877,8559,9298,414,377266,13515,143313,539,8923,157,3113191,52427,59381568,112,6386,19,Africa,2020-08-05
6,Mexico,449961,6148,48869,857,300254,4577,100838,3925,3486,379,1026294,7952,129066160,287,2641,126,North America,2020-08-05
7,Peru,447624,7734,20228,221,306430,3973,120966,1418,13558,613,2466745,74713,33016320,74,1632,13,South America,2020-08-05
8,Chile,364723,1761,9792,47,338291,1961,16640,1400,19063,512,1737813,90830,19132514,52,1954,11,South America,2020-08-05
9,Spain,352847,2953,28499,1,0,0,0,617,7546,610,7064329,151087,46756648,133,1641,7,Europe,2020-08-05
10,Colombia,345714,10735,11624,309,186317,6059,147773,1493,6787,228,1761772,34588,50936264,147,4382,29,South America,2020-08-05
11,Iran,317483,2697,17802,185,274932,2397,24749,4129,3775,212,2587083,30763,84097624,265,4724,33,Asia,2020-08-05
12,UK,307184,891,46364,65,0,0,0,77,4523,683,17210336,253384,67922032,221,1465,4,Europe,2020-08-05
13,Saudi Arabia,282824,1389,3020,36,245314,1626,34490,1991,8112,87,3580139,102683,34865920,123,11545,10,Asia,2020-08-05
14,Pakistan,281136,675,6014,15,254286,4889,20836,872,1270,27,2043870,9236,221295856,787,36797,108,Asia,2020-08-05
15,Italy,248803,384,35181,10,200976,210,12646,41,4116,582,7041040,116472,60452568,243,1718,9,Europe,2020-08-05
16,Bangladesh,246674,2654,3267,33,141750,1890,101657,0,1496,20,1212416,7355,164851408,668,50460,136,Asia,2020-08-05
17,Turkey,236112,1178,5784,19,219506,1015,10822,582,2797,69,5027308,59545,84428328,358,14597,17,Asia,2020-08-05
18,Argentina,220682,7147,4106,127,96948,2819,119628,1150,4878,91,777278,17182,45236884,205,11017,58,South America,2020-08-05
19,Germany,214104,1024,9245,13,194700,0,10159,270,2555,110,8586648,102452,83811264,391,9066,10,Europe,2020-08-05
20,France,194029,1695,30305,9,82318,152,81406,384,2972,464,2982302,45679,65288304,336,2154,22,Europe,2020-08-05
21,Iraq,137556,2834,5094,77,98442,2339,34020,519,3413,126,1076150,26699,40306024,293,7912,37,Asia,2020-08-05
22,Canada,118187,395,8962,4,102788,338,6437,2263,3129,237,4272606,113107,37775024,320,4215,9,North America,2020-08-05
23,Indonesia,116871,1815,5452,64,73889,1839,37530,0,427,20,1575043,5752,273808352,2343,50222,174,Asia,2020-08-05
24,Philippines,115899,3381,2122,8,66268,220,47509,239,1056,19,1643624,14980,109722720,947,51707,67,Asia,2020-08-05
25,Qatar,111805,267,178,1,108539,285,3088,75,39819,63,508079,180952,2807805,25,15774,6,Asia,2020-08-05
26,Kazakhstan,94882,1062,1058,0,67031,1899,26793,221,5047,56,2113795,112444,18798668,198,17768,9,Asia,2020-08-05
27,Egypt,94875,123,4930,18,47182,1613,42763,41,925,48,135000,1317,102516528,1081,20794,759,Africa,2020-08-05
28,Ecuador,88866,903,5847,39,71168,183,11851,378,5030,331,254351,14395,17668824,199,3022,69,South America,2020-08-05
29,China,84491,27,4634,0,79047,17,810,36,59,3,90410000,62814,1439323776,17035,310601,16,Asia,2020-08-05
30,Bolivia,83361,1515,3320,92,25390,880,54651,71,7132,284,178244,15250,11688459,140,3521,66,South America,2020-08-05
31,Sweden,81904,426,5761,0,0,0,0,41,8105,570,863315,85429,10105596,123,1754,12,Europe,2020-08-05
32,Oman,80286,585,488,6,69803,1496,9995,184,15686,95,308333,60240,5118446,64,10489,17,Asia,2020-08-05
33,Israel,77919,1721,565,4,51395,1561,25959,345,8472,61,1842335,200306,9197590,118,16279,5,Asia,2020-08-05
34,Dominican Republic,75660,1365,1222,9,40122,1298,34316,304,6968,113,278435,25642,10858648,144,8886,39,North America,2020-08-05
35,Ukraine,75490,1271,1788,24,41527,914,32175,136,1727,41,1081146,24737,43705856,579,24444,40,Europe,2020-08-05
36,Belgium,70648,334,9852,2,17639,41,43157,63,6093,850,1743265,150350,11594739,164,1177,7,Europe,2020-08-05
37,Panama,70231,807,1553,31,44792,1462,23886,161,16252,359,237489,54958,4321282,62,2783,18,North America,2020-08-05
38,Kuwait,69425,651,468,3,60906,580,8051,128,16233,109,518601,121263,4276658,62,9138,8,Asia,2020-08-05
39,Belarus,68376,126,577,3,63425,262,4374,0,7236,61,1334868,141271,9449001,138,16376,7,Europe,2020-08-05
40,UAE,61606,254,353,2,55385,295,5868,0,6222,36,5262658,531470,9902079,161,28051,2,Asia,2020-08-05
41,Romania,56550,1309,2521,41,28584,578,25445,464,2942,131,1295222,67375,19224024,340,7626,15,Europe,2020-08-05
42,Netherlands,56381,426,6153,3,0,0,0,45,3290,359,1079860,63007,17138756,304,2785,16,Europe,2020-08-05
43,Singapore,54254,908,27,0,47768,314,6459,1,9266,5,1474372,251817,5854932,108,216849,4,Asia,2020-08-05
44,Guatemala,53509,1144,2072,35,41199,914,10238,5,2982,115,169231,9430,17946900,335,8662,106,North America,2020-08-05
45,Portugal,51848,167,1740,1,37565,247,12543,41,5086,171,1688567,165650,10193593,197,5858,6,Europe,2020-08-05
46,Poland,48789,640,1756,18,35321,265,11712,72,1289,46,2374686,62752,37842304,776,21550,16,Europe,2020-08-05
47,Nigeria,44890,457,927,17,32165,314,11798,7,217,4,304221,1472,206606304,4603,222876,679,Africa,2020-08-05
48,Honduras,44299,505,1400,16,5921,67,36978,52,4466,141,109292,11018,9919704,224,7086,91,North America,2020-08-05
49,Bahrain,42514,382,154,3,39576,241,2784,41,24911,90,867534,508320,1706669,40,11082,2,Asia,2020-08-05
50,Japan,41129,1271,1022,6,28028,831,12079,104,325,8,897340,7097,126435856,3074,123714,141,Asia,2020-08-05
51,Armenia,39586,288,770,2,30850,478,7966,0,13356,260,170012,57363,2963811,75,3849,17,Asia,2020-08-05
52,Ghana,39075,1263,199,8,35563,1250,3313,7,1255,6,405817,13035,31133484,797,156450,77,Africa,2020-08-05
53,Kyrgyzstan,38110,569,1438,11,29513,770,7159,24,5832,220,267718,40970,6534479,171,4544,24,Asia,2020-08-05
54,Afghanistan,36829,47,1294,6,25742,73,9793,31,944,33,89822,2303,39009448,1059,30146,434,Asia,2020-08-05
55,Switzerland,35927,181,1984,3,31600,0,2343,24,4148,229,815937,94209,8660952,241,4365,11,Europe,2020-08-05
56,Azerbaijan,33103,193,476,3,28840,492,3787,66,3262,47,759129,74804,10148243,307,21320,13,Asia,2020-08-05
57,Algeria,33055,551,1261,13,22802,427,8992,57,753,29,0,0,43926080,1329,34834,0,Africa,2020-08-05
58,Morocco,28500,1283,435,18,19994,365,8071,31,771,12,1361550,36845,36953360,1297,84950,27,Africa,2020-08-05
59,Uzbekistan,27793,746,171,6,18783,732,8839,224,829,5,1377915,41112,33516028,1206,196000,24,Asia,2020-08-05
60,Serbia,27033,295,614,9,14047,0,12372,132,3095,70,713104,81650,8733665,323,14224,12,Europe,2020-08-05
61,Ireland,26303,50,1763,0,23364,0,1176,5,5321,357,648084,131106,4943200,188,2804,8,Europe,2020-08-05
62,Moldova,26222,408,823,13,18167,0,7232,362,6502,204,128076,31757,4032983,154,4900,31,Europe,2020-08-05
63,Kenya,23873,671,391,3,9930,603,13552,44,443,7,329123,6108,53881160,2257,137803,164,Africa,2020-08-05
64,Venezuela,22299,861,195,8,12146,271,9958,42,784,7,1567431,55138,28427500,1275,145782,18,South America,2020-08-05
65,Austria,21566,85,719,0,19464,128,1383,25,2393,80,923902,102524,9011577,418,12533,10,Europe,2020-08-05
66,Nepal,21390,381,60,2,15156,130,6174,0,733,2,725355,24852,29186486,1364,486441,40,Asia,2020-08-05
67,Costa Rica,20417,580,191,10,6851,261,13375,100,4004,37,96110,18850,5098730,250,26695,53,North America,2020-08-05
68,Ethiopia,20336,459,356,13,8598,358,11382,185,176,3,459746,3990,115223736,5666,323662,251,Africa,2020-08-05
69,Australia,19444,714,247,15,10799,177,8398,47,762,10,4541419,177894,25528864,1313,103356,6,Australia/Oceania,2020-08-05
70,El Salvador,18701,439,498,12,9111,157,9092,509,2882,77,251271,38720,6489514,347,13031,26,North America,2020-08-05
71,Cameroon,17718,0,391,0,15320,0,2007,30,666,15,149000,5600,26606188,1502,68047,179,Africa,2020-08-05
72,Czechia,17529,243,388,5,11909,97,5232,19,1637,36,722003,67407,10711019,611,27606,15,Europe,2020-08-05
73,Ivory Coast,16349,56,103,0,12191,236,4055,0,618,4,103624,3920,26437950,1617,256679,255,Africa,2020-08-05
74,S. Korea,14456,33,302,1,13406,54,748,14,282,6,1598187,31170,51273732,3547,169781,32,Asia,2020-08-05
75,Denmark,14185,112,616,0,12753,38,816,2,2448,106,1629692,281259,5794279,408,9406,4,Europe,2020-08-05
76,Bosnia and Herzegovina,13138,282,379,6,6839,247,5920,0,4007,116,145559,44396,3278650,250,8651,23,Europe,2020-08-05
77,Palestine,13065,295,89,3,6618,199,6358,0,2556,17,200280,39176,5112340,391,57442,26,Asia,2020-08-05
78,Bulgaria,12717,303,424,9,7154,190,5139,44,1832,61,287654,41432,6942854,546,16375,24,Europe,2020-08-05
79,Madagascar,12222,327,127,4,9798,512,2297,84,440,5,45634,1644,27755708,2271,218549,608,Africa,2020-08-05
80,Sudan,11780,0,763,0,6194,0,4823,0,268,17,401,9,43943536,3730,57593,109585,Africa,2020-08-05
81,North Macedonia,11289,87,511,6,7221,113,3557,4,5419,245,108384,52024,2083365,185,4077,19,Europe,2020-08-05
82,Senegal,10538,106,218,4,6988,68,3332,38,628,13,112844,6723,16783876,1593,76990,149,Africa,2020-08-05
83,Norway,9409,47,256,0,8752,0,401,1,1734,47,465317,85765,5425471,577,21193,12,Europe,2020-08-05
84,DRC,9253,75,215,0,7821,94,1217,0,103,2,0,0,89802184,9705,417685,0,Africa,2020-08-05
85,Malaysia,9023,21,125,0,8702,18,196,2,278,4,991333,30591,32406372,3592,259251,33,Asia,2020-08-05
86,French Guiana,8069,71,47,2,7075,202,947,24,26952,157,41090,137248,299385,37,6370,7,South America,2020-08-05
87,Gabon,7787,141,51,0,5609,201,2127,11,3491,23,85369,38272,2230563,286,43737,26,Africa,2020-08-05
88,Tajikistan,7625,42,61,0,6399,43,1165,0,798,6,0,0,9557468,1253,156680,0,Asia,2020-08-05
89,Guinea,7575,86,49,1,6632,41,894,24,575,4,14407,1094,13164905,1738,268672,914,Africa,2020-08-05
90,Haiti,7532,21,171,5,4832,0,2529,0,660,15,18443,1616,11416103,1516,66761,619,North America,2020-08-05
91,Finland,7512,29,331,0,6980,30,201,1,1356,60,385200,69511,5541604,738,16742,14,Europe,2020-08-05
92,Zambia,7022,229,176,3,5667,558,1179,0,381,10,88471,4800,18430128,2625,104717,208,Africa,2020-08-05
93,Luxembourg,7007,90,118,0,5623,86,1266,75,11176,188,613923,979219,626952,89,5313,1,Europe,2020-08-05
94,Mauritania,6444,26,157,0,5291,82,996,3,1383,34,57387,12313,4660728,723,29686,81,Africa,2020-08-05
95,Paraguay,6060,208,61,2,4839,194,1160,18,849,9,129724,18166,7141091,1178,117067,55,South America,2020-08-05
96,Albania,5889,139,182,6,3123,92,2584,23,2047,63,38997,13553,2877470,489,15810,74,Europe,2020-08-05
97,Lebanon,5417,146,68,3,1880,43,3469,41,794,10,337195,49426,6822220,1259,100327,20,Asia,2020-08-05
98,Croatia,5376,58,154,0,4589,72,633,7,1310,38,124383,30318,4102577,763,26640,33,Europe,2020-08-05
99,Djibouti,5330,82,59,0,5057,13,214,0,5387,60,59909,60552,989387,186,16769,17,Africa,2020-08-05
100,Greece,4974,119,210,1,1374,0,3390,13,477,20,609583,58514,10417673,2094,49608,17,Europe,2020-08-05
101,Equatorial Guinea,4821,0,83,0,2182,0,2556,0,3426,59,44356,31525,1407001,292,16952,32,Africa,2020-08-05
102,CAR,4618,0,59,0,1640,0,2919,2,955,12,29567,6112,4837752,1048,81996,164,Africa,2020-08-05
103,Maldives,4594,148,19,0,2703,10,1872,12,8485,35,84144,155406,541448,118,28497,6,Asia,2020-08-05
104,Hungary,4564,11,599,1,3431,16,534,7,473,62,350108,36251,9657785,2116,16123,28,Europe,2020-08-05
105,Libya,4475,251,99,3,640,7,3736,0,650,14,55899,8124,6880353,1538,69499,123,Africa,2020-08-05
106,Malawi,4426,65,136,8,2078,31,2212,4,231,7,32680,1704,19174840,4332,140991,587,Africa,2020-08-05
107,Zimbabwe,4221,0,81,0,1238,0,2902,0,284,5,140421,9434,14883803,3526,183751,106,Africa,2020-08-05
108,Nicaragua,3902,0,123,0,2913,0,866,0,588,19,0,0,6632263,1700,53921,0,North America,2020-08-05
109,Hong Kong,3755,85,43,2,2314,173,1398,45,500,6,593962,79163,7503041,1998,174489,13,Asia,2020-08-05
110,Congo,3546,0,58,0,1589,0,1899,0,641,10,0,0,5530506,1560,95354,0,Africa,2020-08-05
111,Montenegro,3411,50,57,4,2032,163,1322,0,5431,91,37995,60494,628074,184,11019,17,Europe,2020-08-05
112,Thailand,3328,7,58,0,3144,2,126,1,48,0,749213,10731,69817896,20979,1203757,93,Asia,2020-08-05
113,Somalia,3227,7,93,0,1728,130,1406,2,203,6,0,0,15933012,4937,171323,0,Africa,2020-08-05
114,Mayotte,3031,8,39,0,2738,0,254,2,11086,143,13000,47546,273419,90,7011,21,Africa,2020-08-05
115,Eswatini,2909,53,53,4,1385,127,1471,5,2505,46,20784,17896,1161348,399,21912,56,Africa,2020-08-05
116,Sri Lanka,2839,5,11,0,2537,13,291,1,133,0,166737,7783,21422362,7546,1947487,128,Asia,2020-08-05
117,Cuba,2726,25,88,0,2396,14,242,2,241,8,281595,24863,11325899,4155,128703,40,North America,2020-08-05
118,Cabo Verde,2689,58,27,1,1955,25,707,0,4831,49,61633,110735,556581,207,20614,9,Africa,2020-08-05
119,Mali,2546,3,124,0,1950,4,472,0,125,6,25152,1239,20302900,7974,163733,807,Africa,2020-08-05
120,Namibia,2540,70,12,0,556,345,1972,24,998,5,29233,11485,2545264,1002,212105,87,Africa,2020-08-05
121,South Sudan,2437,0,47,0,1175,0,1215,0,217,4,12044,1075,11206572,4599,238438,930,Africa,2020-08-05
122,Slovakia,2417,49,29,0,1777,6,611,2,443,5,269655,49388,5459915,2259,188273,20,Europe,2020-08-05
123,Slovenia,2208,18,124,1,1884,30,200,2,1062,60,134931,64903,2078968,942,16766,15,Europe,2020-08-05
124,Lithuania,2147,10,81,1,1650,3,416,6,790,30,536377,197334,2718121,1266,33557,5,Europe,2020-08-05
125,Estonia,2113,22,63,0,1948,11,102,0,1593,47,121941,91918,1326627,628,21058,11,Europe,2020-08-05
126,Rwanda,2104,5,5,0,1237,15,862,0,162,0,283055,21804,12981546,6170,2596309,46,Africa,2020-08-05
127,Mozambique,2079,50,15,0,778,13,1286,0,66,0,63725,2034,31333962,15072,2088931,492,Africa,2020-08-05
128,Suriname,2050,69,27,0,1327,49,696,13,3491,46,2584,4401,587154,286,21746,227,South America,2020-08-05
129,Guinea-Bissau,2032,51,27,0,944,141,1061,5,1030,14,1500,761,1972277,971,73047,1315,Africa,2020-08-05
130,Benin,1936,22,38,0,1600,564,298,1,159,3,93677,7709,12151976,6277,319789,130,Africa,2020-08-05
131,Iceland,1926,8,10,0,1825,0,91,0,5640,29,147005,430513,341465,177,34147,2,Europe,2020-08-05
132,Sierra Leone,1860,5,67,0,1401,4,392,0,233,8,0,0,7992169,4297,119286,0,Africa,2020-08-05
133,Yemen,1763,3,508,2,894,31,361,0,59,17,120,4,29886896,16952,58832,249057,Asia,2020-08-05
134,Tunisia,1601,17,51,0,1233,6,317,9,135,4,98823,8353,11830801,7390,231976,120,Africa,2020-08-05
135,New Zealand,1569,2,22,0,1523,0,24,0,314,4,477909,95542,5002100,3188,227368,10,Australia/Oceania,2020-08-05
136,Angola,1395,51,62,3,506,3,827,20,42,2,64747,1965,32956300,23625,531553,509,Africa,2020-08-05
137,Uruguay,1309,9,37,0,1065,17,207,3,377,11,124098,35712,3474956,2655,93918,28,South America,2020-08-05
138,Latvia,1257,8,32,0,1070,0,155,0,667,17,206080,109388,1883936,1499,58873,9,Europe,2020-08-05
139,Jordan,1231,7,11,0,1160,5,60,3,121,1,622620,60963,10213138,8297,928467,16,Asia,2020-08-05
140,Liberia,1221,5,78,0,699,1,444,0,241,15,0,0,5068618,4151,64982,0,Africa,2020-08-05
141,Uganda,1213,10,5,0,1102,29,106,0,26,0,284790,6209,45867852,37814,9173570,161,Africa,2020-08-05
142,Georgia,1197,15,17,0,974,12,206,0,300,4,240473,60294,3988368,3332,234610,17,Asia,2020-08-05
143,Cyprus,1195,15,19,0,856,0,320,0,989,16,216597,179267,1208238,1011,63591,6,Asia,2020-08-05
144,Burkina Faso,1153,0,54,0,947,0,152,0,55,3,0,0,20954852,18174,388053,0,Africa,2020-08-05
145,Niger,1152,0,69,0,1057,20,26,0,47,3,9052,373,24281432,21078,351905,2682,Africa,2020-08-05
146,Togo,1001,13,21,2,690,17,290,2,121,3,44952,5418,8296582,8288,395075,185,Africa,2020-08-05
147,Syria,944,52,48,2,296,13,600,0,54,3,0,0,17539600,18580,365408,0,Asia,2020-08-05
148,Chad,939,1,75,0,835,21,29,0,57,5,0,0,16467965,17538,219573,0,Africa,2020-08-05
149,Andorra,939,0,52,0,825,0,62,1,12151,673,3750,48526,77278,82,1486,21,Europe,2020-08-05
150,Malta,926,36,9,0,668,2,249,0,2097,20,134944,305536,441663,477,49074,3,Europe,2020-08-05
151,Jamaica,920,15,12,0,745,2,163,0,311,4,40726,13747,2962478,3220,246873,73,North America,2020-08-05
152,Sao Tome and Principe,878,3,15,0,795,1,68,0,3999,68,3062,13947,219544,250,14636,72,Africa,2020-08-05
153,Botswana,804,0,2,0,63,0,739,1,341,0,68423,29041,2356075,2930,1178038,34,Africa,2020-08-05
154,Gambia,799,128,16,2,115,36,668,0,330,7,4859,2006,2422754,3032,151422,499,Africa,2020-08-05
155,Bahamas,751,36,14,0,91,0,646,1,1908,36,4704,11951,393616,524,28115,84,North America,2020-08-05
156,Lesotho,726,0,21,0,174,0,531,0,339,10,8665,4042,2143943,2953,102093,247,Africa,2020-08-05
157,Vietnam,717,45,8,0,381,3,328,0,7,0,482456,4952,97425472,135879,12178184,202,Asia,2020-08-05
158,Diamond Princess,712,0,13,0,651,0,48,4,0,0,0,0,0,0,0,0,,2020-08-05
159,San Marino,699,0,42,0,657,0,0,0,20596,1238,6068,178797,33938,49,808,6,Europe,2020-08-05
160,Réunion,670,1,5,1,592,0,73,3,748,6,35419,39532,895952,1337,179190,25,Africa,2020-08-05
161,Channel Islands,596,1,47,0,533,0,16,0,3425,270,30721,176535,174022,292,3703,6,Europe,2020-08-05
162,Tanzania,509,0,21,0,183,0,305,7,8,0,0,0,59886384,117655,2851733,0,Africa,2020-08-05
163,Guyana,509,12,22,0,189,3,298,1,647,28,5057,6426,786936,1546,35770,156,South America,2020-08-05
164,Taiwan,476,0,7,0,443,2,26,0,20,0,82737,3473,23821200,50045,3403028,288,Asia,2020-08-05
165,Burundi,395,0,1,0,304,0,90,0,33,0,15614,1310,11922216,30183,11922216,764,Africa,2020-08-05
166,Comoros,388,0,7,0,340,0,41,0,445,8,0,0,871326,2246,124475,0,Africa,2020-08-05
167,Myanmar,357,2,6,0,305,3,46,0,7,0,120832,2219,54446388,152511,9074398,451,Asia,2020-08-05
168,Mauritius,344,0,10,0,334,0,0,0,270,8,205285,161389,1271985,3698,127199,6,Africa,2020-08-05
169,Isle of Man,336,0,24,0,312,0,0,0,3949,282,8560,100614,85078,253,3545,10,Europe,2020-08-05
170,Mongolia,293,0,0,0,244,14,49,1,89,0,37278,11354,3283344,11206,0,88,Asia,2020-08-05
171,Eritrea,282,0,0,0,225,0,57,0,79,0,0,0,3551175,12593,0,0,Africa,2020-08-05
172,Guadeloupe,279,7,14,0,179,0,86,0,697,35,18476,46175,400131,1434,28581,22,North America,2020-08-05
173,Martinique,269,0,15,0,98,0,156,4,717,40,12227,32585,375235,1395,25016,31,North America,2020-08-05
174,Cambodia,243,3,0,0,202,5,41,1,15,0,67807,4050,16741375,68895,0,247,Asia,2020-08-05
175,Faeroe Islands,241,14,0,0,192,0,49,1,4930,0,41459,848145,48882,203,0,1,Europe,2020-08-05
176,Cayman Islands,203,0,1,0,202,0,0,0,3085,15,30900,469619,65798,324,65798,2,North America,2020-08-05
177,Trinidad and Tobago,199,5,8,0,135,0,56,0,142,6,9390,6707,1399950,7035,174994,149,North America,2020-08-05
178,Gibraltar,189,0,0,0,183,0,6,0,5610,0,22637,671920,33690,178,0,1,Europe,2020-08-05
179,Aruba,171,39,3,0,112,0,56,0,1601,28,14047,131511,106812,625,35604,8,North America,2020-08-05
180,Bermuda,157,0,9,0,144,0,4,0,2522,145,25697,412777,62254,397,6917,2,North America,2020-08-05
181,Sint Maarten,156,6,16,0,64,0,76,0,3634,373,1026,23903,42924,275,2683,42,North America,2020-08-05
182,Papua New Guinea,153,39,2,0,44,10,107,0,17,0,10471,1168,8963009,58582,4481505,856,Australia/Oceania,2020-08-05
183,Brunei,141,0,3,0,138,0,0,0,322,7,41148,93968,437893,3106,145964,11,Asia,2020-08-05
184,Barbados,133,1,7,0,100,2,26,0,463,24,12057,41950,287411,2161,41059,24,North America,2020-08-05
185,Seychelles,126,12,0,0,124,11,2,0,1280,0,0,0,98408,781,0,0,Africa,2020-08-05
186,Monaco,125,2,4,0,105,0,16,2,3183,102,38209,972982,39270,314,9818,1,Europe,2020-08-05
187,Turks and Caicos,116,0,2,0,38,0,76,3,2992,52,1222,31521,38768,334,19384,32,North America,2020-08-05
188,Bhutan,105,2,0,0,93,3,12,0,136,0,54275,70264,772443,7357,0,14,Asia,2020-08-05
189,Antigua and Barbuda,92,0,3,0,76,1,13,1,939,31,1500,15305,98010,1065,32670,65,North America,2020-08-05
190,Liechtenstein,89,0,1,0,85,0,3,0,2334,26,900,23598,38139,429,38139,42,Europe,2020-08-05
191,Belize,72,15,2,0,31,1,39,2,181,5,3628,9108,398312,5532,199156,110,North America,2020-08-05
192,French Polynesia,64,0,0,0,62,0,2,0,228,0,5849,20810,281072,4392,0,48,Australia/Oceania,2020-08-05
193,St. Vincent Grenadines,56,1,0,0,46,1,10,0,505,0,2425,21852,110976,1982,0,46,North America,2020-08-05
194,Saint Martin,53,0,3,0,41,0,9,1,1368,77,1183,30546,38729,731,12910,33,North America,2020-08-05
195,Macao,46,0,0,0,46,0,0,0,71,0,4071,6261,650193,14135,0,160,Asia,2020-08-05
196,Curaçao,29,0,1,0,24,0,4,0,177,6,1080,6579,164161,5661,164161,152,North America,2020-08-05
197,Fiji,27,0,1,0,18,0,8,0,30,1,6693,7461,897095,33226,897095,134,Australia/Oceania,2020-08-05
198,Saint Lucia,25,0,0,0,24,2,1,0,136,0,3810,20739,183712,7348,0,48,North America,2020-08-05
199,Timor-Leste,25,0,0,0,24,0,1,0,19,0,4238,3209,1320812,52832,0,312,Asia,2020-08-05
200,Grenada,24,0,0,0,23,0,1,0,213,0,6252,55536,112576,4691,0,18,North America,2020-08-05
201,New Caledonia,22,0,0,0,22,0,0,0,77,0,10186,35644,285769,12990,0,28,Australia/Oceania,2020-08-05
202,Laos,20,0,0,0,19,0,1,0,3,0,28994,3980,7285750,364288,0,251,Asia,2020-08-05
203,Dominica,18,0,0,0,18,0,0,0,250,0,1005,13958,72004,4000,0,72,North America,2020-08-05
204,Saint Kitts and Nevis,17,0,0,0,16,0,1,0,319,0,1146,21526,53237,3132,0,46,North America,2020-08-05
205,Greenland,14,0,0,0,13,0,1,0,247,0,5930,104438,56780,4056,0,10,North America,2020-08-05
206,Montserrat,13,0,1,0,10,0,2,0,2604,200,61,12220,4992,384,4992,82,North America,2020-08-05
207,Caribbean Netherlands,13,0,0,0,7,0,6,0,495,0,424,16154,26247,2019,0,62,North America,2020-08-05
208,Falkland Islands,13,0,0,0,13,0,0,0,3726,0,1816,520493,3489,268,0,2,South America,2020-08-05
209,Vatican City,12,0,0,0,12,0,0,0,14981,0,0,0,801,67,0,0,Europe,2020-08-05
210,Western Sahara,10,0,1,0,8,0,1,0,17,2,0,0,598682,59868,598682,0,Africa,2020-08-05
211,MS Zaandam,9,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,,2020-08-05
212,British Virgin Islands,9,1,1,0,7,0,1,0,298,33,1522,50312,30251,3361,30251,20,North America,2020-08-05
213,St. Barth,9,0,0,0,6,0,3,0,911,0,1246,126113,9880,1098,0,8,North America,2020-08-05
214,Saint Pierre Miquelon,4,0,0,0,1,0,3,0,691,0,0,0,5791,1448,0,0,North America,2020-08-05
215,Anguilla,3,0,0,0,3,0,0,0,200,0,537,35762,15016,5005,0,28,North America,2020-08-05
216,USA,5032179,58611,162804,1203,2576668,36531,2292707,18296,15194,492,63139604,190640,331198144,66,2034,5,North America,2020-08-06
217,Brazil,2917562,54801,98644,1226,2047660,27023,771258,8318,13716,464,13206188,62085,212710688,73,2156,16,South America,2020-08-06
218,India,2025409,62170,41638,899,1377384,50184,606387,8944,1466,30,22149352,16035,1381345024,682,33175,62,Asia,2020-08-06
219,Russia,871894,5267,14606,116,676357,7331,180931,2300,5974,100,29716908,203623,145940928,167,9992,5,Europe,2020-08-06
220,South Africa,538184,8307,9604,306,387316,10050,141264,539,9063,162,3149807,53044,59381568,110,6183,19,Africa,2020-08-06
221,Mexico,456100,6139,49698,829,304708,4454,101694,3951,3534,385,1041860,8072,129066160,283,2597,124,North America,2020-08-06
222,Peru,455409,7785,20424,196,310337,3907,124648,1426,13793,619,2493429,75521,33016320,72,1617,13,South America,2020-08-06
223,Chile,366671,1948,9889,97,340168,1877,16614,1358,19165,517,1760615,92022,19132514,52,1935,11,South America,2020-08-06
224,Colombia,357710,11996,11939,315,192355,6038,153416,1493,7023,234,1801835,35374,50936264,142,4266,28,South America,2020-08-06
225,Spain,354530,1683,28500,1,0,0,0,617,7582,610,7064329,151087,46756648,132,1641,7,Europe,2020-08-06
226,Iran,320117,2634,17976,174,277463,2531,24678,4156,3806,214,2612763,31068,84097624,263,4678,32,Asia,2020-08-06
227,UK,308134,950,46413,49,0,0,0,73,4537,683,17515234,257873,67922032,220,1463,4,Europe,2020-08-06
228,Saudi Arabia,284226,1402,3055,35,247089,1775,34082,1915,8152,88,3635705,104277,34865920,123,11413,10,Asia,2020-08-06
229,Pakistan,281863,727,6035,21,256058,1772,19770,809,1274,27,2058872,9304,221295856,785,36669,107,Asia,2020-08-06
230,Bangladesh,249651,2977,3306,39,143824,2074,102521,0,1514,20,1225124,7432,164851408,660,49864,135,Asia,2020-08-06
231,Italy,249204,401,35187,6,201323,347,12694,42,4122,582,7099713,117443,60452568,243,1718,9,Europe,2020-08-06
232,Turkey,237265,1153,5798,14,220546,1040,10921,580,2810,69,5081802,60191,84428328,356,14562,17,Asia,2020-08-06
233,Argentina,228195,7513,4251,145,99852,2904,124092,1150,5044,94,794544,17564,45236884,198,10641,57,South America,2020-08-06
234,Germany,215210,1106,9252,7,196200,1500,9758,236,2568,110,8586648,102452,83811264,389,9059,10,Europe,2020-08-06
235,France,195633,1604,30312,7,82460,142,82861,384,2996,464,3992206,61147,65288304,334,2154,16,Europe,2020-08-06
