,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5199444,0,165617,0,2664701,0,2369126,17812,15698,500,65433252,197556,331214016,64,2000,5,North America
2,Brazil,3035582,0,101136,0,2118460,0,815986,8318,14270,475,13231548,62201,212723056,70,2103,16,South America
3,India,2217645,3508,44499,33,1536259,1981,636887,8944,1605,32,24583558,17795,1381456128,623,31045,56,Asia
4,Russia,892654,5118,15001,70,696681,3259,180972,2300,6117,103,30800000,211044,145941440,163,9729,5,Europe
5,South Africa,559859,0,10408,0,411474,0,137977,539,9427,175,3250583,54735,59387696,106,5706,18,Africa
6,Mexico,480278,4376,52298,292,322465,3827,105515,3708,3721,405,1091695,8458,129077256,269,2468,118,North America
7,Peru,478024,0,21072,0,324020,0,132932,1488,14477,638,2573691,77943,33020084,69,1567,13,South America
8,Colombia,387481,0,12842,0,212688,0,161951,1493,7607,252,1909111,37477,50940704,131,3967,27,South America
9,Chile,373056,0,10077,0,345826,0,17153,1276,19497,527,1841355,96235,19133856,51,1899,10,South America
10,Spain,361442,0,28503,0,0,0,0,617,7730,610,7064329,151087,46756796,129,1640,7,Europe
11,Iran,326712,0,18427,0,284371,0,23914,4022,3885,219,2686498,31942,84106432,257,4564,31,Asia
12,UK,310825,0,46574,0,0,0,0,67,4576,686,18349668,270146,67924944,219,1458,4,Europe
13,Saudi Arabia,288690,0,3167,0,252039,0,33484,1816,8279,91,3813274,109356,34870368,121,11011,9,Asia
14,Pakistan,284660,539,6097,15,260764,516,17799,776,1286,28,2147584,9703,221331072,778,36302,103,Asia
15,Bangladesh,260507,2907,3438,39,150437,2067,106632,0,1580,21,1273168,7722,164864832,633,47954,129,Asia
16,Italy,250566,0,35205,0,202098,0,13263,45,4145,582,7249844,119928,60451840,241,1717,8,Europe
17,Argentina,246499,0,4606,0,108242,0,133651,1565,5449,102,845220,18683,45240280,184,9822,54,South America
18,Turkey,240804,0,5844,0,223759,0,11201,596,2852,69,5263816,62341,84435768,351,14448,16,Asia
19,Germany,217281,0,9261,0,197900,500,10120,236,2592,110,8586648,102450,83813448,386,9050,10,Europe
20,France,197921,0,30324,0,82836,0,84761,383,3031,464,4279588,65548,65289488,330,2153,15,Europe
21,Iraq,150115,0,5392,0,107775,0,36948,551,3724,134,1145386,28412,40313440,269,7477,35,Asia
22,Philippines,129913,0,2270,0,67673,0,59970,239,1184,21,1769881,16129,109734672,845,48341,62,Asia
23,Indonesia,127083,1687,5765,42,82236,1284,39082,0,464,21,1715798,6266,273832064,2155,47499,160,Asia
24,Canada,119451,0,8981,0,103728,0,6742,2281,3162,238,4447810,117736,37777732,316,4206,8,North America
25,Qatar,112947,0,184,0,109709,0,3054,80,40226,66,520360,185326,2807805,25,15260,5,Asia
26,Kazakhstan,99442,741,1058,0,72523,250,25861,221,5289,56,2183308,116130,18800508,189,17770,9,Asia
27,Egypt,95492,0,5009,0,52678,0,37805,41,931,49,135000,1317,102532368,1074,20470,759,Africa
28,Ecuador,94459,0,5922,0,78552,0,9985,369,5345,335,267146,15118,17671020,187,2984,66,South America
29,Bolivia,89999,944,3640,53,29808,904,56551,71,7699,311,190924,16333,11689764,130,3211,61,South America
30,China,84668,49,4634,0,79232,64,802,41,59,3,90410000,62814,1439323776,17000,310601,16,Asia
31,Israel,83540,538,606,6,58934,1401,24000,397,9083,66,1872453,203581,9197590,110,15178,5,Asia
32,Sweden,82323,0,5763,0,0,0,0,34,8146,570,863315,85425,10106111,123,1754,12,Europe
33,Oman,81580,0,513,0,74691,0,6376,171,15935,100,309212,60399,5119514,63,9980,17,Asia
34,Ukraine,80949,0,1897,0,43972,0,35080,143,1852,43,1169351,26756,43703716,540,23038,37,Europe
35,Dominican Republic,79732,0,1309,0,43744,0,34679,317,7342,121,290267,26729,10859539,136,8296,37,North America
36,Panama,74492,0,1639,0,48748,0,24105,157,17236,379,247212,57201,4321839,58,2637,17,North America
37,Belgium,74152,751,9872,2,17780,14,46500,69,6395,851,1819137,156888,11595151,156,1175,6,Europe
38,Kuwait,71713,0,478,0,63519,0,7716,115,16766,112,532353,124464,4277176,60,8948,8,Asia
39,Belarus,68850,0,587,0,64935,0,3328,0,7287,62,1372691,145274,9448976,137,16097,7,Europe
40,UAE,62525,0,357,0,56568,0,5600,0,6314,36,5500701,555455,9903058,158,27740,2,Asia
41,Romania,61768,0,2700,0,30119,0,28949,458,3213,140,1378727,71723,19222976,311,7120,14,Europe
42,Netherlands,58564,0,6157,0,0,0,0,38,3417,359,1079860,63006,17139064,293,2784,16,Europe
43,Guatemala,56605,0,2211,0,44598,0,9796,5,3154,123,181305,10101,17949620,317,8118,99,North America
44,Singapore,55292,188,27,0,48915,0,6350,0,9443,5,1474372,251801,5855309,106,216863,4,Asia
45,Portugal,52668,0,1756,0,38511,0,12401,33,5167,172,1705474,167312,10193351,194,5805,6,Europe
46,Poland,52410,619,1809,2,36877,186,13724,71,1385,48,2234383,59045,37841964,722,20919,17,Europe
47,Honduras,47454,481,1495,19,6597,169,39362,45,4783,151,116246,11717,9920996,209,6636,85,North America
48,Japan,46783,0,1040,0,32312,0,13431,156,370,8,1001281,7919,126432696,2703,121570,126,Asia
49,Nigeria,46577,0,945,0,33186,0,12446,7,225,5,317496,1536,206648304,4437,218675,651,Africa
50,Bahrain,44011,0,162,0,40967,0,2882,36,25780,95,902059,528399,1707156,39,10538,2,Asia
51,Ghana,41003,0,215,0,38330,0,2458,7,1317,7,413835,13290,31138810,759,144832,75,Africa
52,Armenia,40433,23,796,5,32616,96,7021,0,13642,269,176354,59502,2963856,73,3723,17,Asia
53,Kyrgyzstan,40085,166,1474,6,32126,304,6485,24,6134,226,267718,40965,6535362,163,4434,24,Asia
54,Afghanistan,37054,0,1312,0,25960,0,9782,31,950,34,92710,2376,39016648,1053,29738,421,Asia
55,Switzerland,36603,0,1986,0,32300,0,2317,21,4226,229,840409,97028,8661471,237,4361,10,Europe
56,Algeria,35214,0,1302,0,24506,0,9406,57,802,30,0,0,43932576,1248,33742,0,Africa
57,Azerbaijan,33568,0,490,0,30364,0,2714,0,3308,48,785126,77360,10148992,302,20712,13,Asia
58,Morocco,33237,0,498,0,23347,0,9392,31,899,13,1449968,39234,36956944,1112,74211,25,Africa
59,Uzbekistan,30820,211,196,2,22042,0,8582,386,919,6,1377915,41107,33520004,1088,171020,24,Asia
60,Serbia,28099,0,641,0,14047,0,13411,106,3217,73,747324,85571,8733378,311,13625,12,Europe
61,Moldova,27660,0,845,0,19300,0,7515,362,6859,210,128076,31758,4032906,146,4773,31,Europe
62,Ireland,26712,0,1772,0,23364,0,1576,6,5403,358,662242,133958,4943652,185,2790,7,Europe
63,Kenya,26436,0,420,0,12961,0,13055,44,491,8,353727,6564,53890892,2039,128312,152,Africa
64,Venezuela,25805,0,223,0,13356,0,12226,66,908,8,1586205,55800,28426842,1102,127475,18,South America
65,Costa Rica,23286,0,235,0,7730,0,15321,86,4567,46,105915,20771,5099111,219,21698,48,North America
66,Nepal,22972,0,75,0,16353,0,6544,0,787,3,756206,25906,29190788,1271,389210,39,Asia
67,Ethiopia,22818,0,407,0,10206,0,12205,185,198,4,497971,4321,115247152,5051,283163,231,Africa
68,Austria,22106,73,723,2,20010,87,1373,24,2453,80,965758,107164,9011998,408,12465,9,Europe
69,Australia,21407,323,314,19,11876,7,9217,51,838,12,4865963,190588,25531288,1193,81310,5,Australia/Oceania
70,El Salvador,20872,449,563,14,9720,94,10589,534,3216,87,263587,40616,6489781,311,11527,25,North America
71,Czechia,18355,2,390,0,12785,0,5180,17,1714,36,748872,69915,10711182,584,27465,14,Europe
72,Cameroon,18042,0,395,0,15320,0,2327,30,678,15,149000,5599,26611620,1475,67371,179,Africa
73,Ivory Coast,16715,0,105,0,12926,0,3684,0,632,4,108862,4117,26443320,1582,251841,243,Africa
74,S. Korea,14626,28,305,0,13658,16,663,16,285,6,1628303,31757,51274092,3506,168112,31,Asia
75,Denmark,14442,0,617,0,12840,0,985,2,2492,106,1680226,289972,5794446,401,9391,3,Europe
76,Palestine,14208,0,97,0,7945,0,6166,0,2779,19,214862,42020,5113315,360,52715,24,Asia
77,Bosnia and Herzegovina,13687,0,394,0,7373,0,5920,0,4175,120,148090,45170,3278483,240,8321,22,Europe
78,Bulgaria,13396,0,447,0,7772,0,5177,55,1930,64,304811,43906,6942428,518,15531,23,Europe
79,Madagascar,13086,0,148,0,10816,0,2122,90,471,5,48498,1747,27761562,2121,187578,572,Africa
80,Sudan,11956,0,781,0,6266,0,4909,0,272,18,401,9,43951952,3676,56277,109606,Africa
81,North Macedonia,11839,0,527,0,7664,0,3648,3,5683,253,114807,55107,2083364,176,3953,18,Europe
82,Senegal,11175,0,232,0,7352,0,3591,43,666,14,116472,6938,16787506,1502,72360,144,Africa
83,Norway,9638,0,256,0,8857,0,525,2,1776,47,479789,88427,5425818,563,21195,11,Europe
84,DRC,9454,0,224,0,8324,0,906,0,105,2,0,0,89824600,9501,401003,0,Africa
85,Malaysia,9094,11,125,0,8803,19,166,1,281,4,1036339,31976,32409772,3564,259278,31,Asia
86,French Guiana,8267,0,48,0,7501,0,718,19,27607,160,42582,142202,299448,36,6239,7,South America
87,Zambia,8085,0,235,0,6698,0,1152,0,439,13,93995,5099,18434364,2280,78444,196,Africa
88,Guinea,7930,0,50,0,6898,0,982,24,602,4,14407,1094,13167835,1661,263357,914,Africa
89,Gabon,7923,0,51,0,5704,0,2168,9,3551,23,89423,40082,2230995,282,43745,25,Africa
90,Tajikistan,7745,0,62,0,6484,0,1199,0,810,6,0,0,9559229,1234,154181,0,Asia
91,Haiti,7634,23,183,1,4982,89,2469,0,669,16,18933,1658,11417243,1496,62389,603,North America
92,Finland,7601,17,331,0,6980,0,290,0,1372,60,408540,73721,5541675,729,16742,14,Europe
93,Luxembourg,7205,0,120,0,5848,0,1237,6,11491,191,644901,1028491,627036,87,5225,1,Europe
94,Paraguay,6907,0,75,0,5222,0,1610,32,967,11,138415,19381,7141809,1034,95224,52,South America
95,Mauritania,6523,0,157,0,5527,0,839,3,1399,34,57387,12310,4661733,715,29693,81,Africa
96,Lebanon,6517,0,78,0,2127,0,4312,40,955,11,365731,53611,6821971,1047,87461,19,Asia
97,Albania,6411,0,199,0,3342,0,2870,20,2228,69,40675,14136,2877445,449,14460,71,Europe
98,Greece,5623,0,212,0,3804,0,1607,22,540,20,650998,62492,10417258,1853,49138,16,Europe
99,Croatia,5604,0,157,0,4861,0,586,8,1366,38,126410,30814,4102370,732,26130,32,Europe
100,Libya,5451,0,119,0,701,0,4631,0,792,17,61077,8876,6881119,1262,57825,113,Africa
101,Djibouti,5344,0,59,0,5106,0,179,0,5401,60,60247,60886,989504,185,16771,16,Africa
