,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6211796,38560,187736,512,3456263,30540,2567797,15864,18748,567,82624840,249373,331330464,53,1765,4,North America
2,Brazil,3910901,48590,121515,619,3097734,66175,691652,8318,18377,571,14352484,67442,212813744,54,1751,15,South America
3,India,3687939,68770,65435,818,2837377,64449,785127,8944,2668,47,42307912,30608,1382270976,375,21124,33,Asia
4,Russia,995319,4993,17176,83,809387,2405,168756,2300,6820,118,36696384,251439,145945184,147,8497,4,Europe
5,Peru,652037,4871,28944,156,462329,6872,160764,1512,19730,876,3215842,97309,33047700,51,1142,10,South America
6,South Africa,627041,1985,14149,121,540923,2319,71969,539,10550,238,3693721,62150,59432640,95,4200,16,Africa
7,Colombia,615168,7230,19663,299,459475,8854,136030,1493,12068,386,2746217,53876,50973288,83,2592,19,South America
8,Mexico,595841,4129,64158,339,412580,3453,119103,3060,4613,497,1340466,10378,129158632,217,2013,96,North America
9,Spain,462858,2489,29094,28,0,0,0,846,9899,622,9210337,196979,46757880,101,1607,5,Europe
10,Argentina,417735,9309,8660,203,301195,7188,107880,2273,9229,191,1257906,27790,45265184,108,5227,36,South America
11,Chile,411726,1752,11289,45,383879,1295,16558,969,21507,590,2432436,127062,19143708,46,1696,8,South America
12,Iran,375212,1642,21571,109,323233,1812,30408,3729,4458,256,3231110,38387,84171056,224,3902,26,Asia
13,UK,335873,1406,41501,2,0,0,0,60,4943,611,16273209,239501,67946336,202,1637,4,Europe
14,Saudi Arabia,315772,951,3897,27,290796,1129,21079,1552,9047,112,5026127,144003,34902976,111,8956,7,Asia
15,Bangladesh,312996,2174,4281,33,204887,2980,103828,0,1897,26,1550203,9397,164963392,527,38534,106,Asia
16,Pakistan,295849,213,6294,6,280682,135,8873,604,1335,28,2621146,11829,221589312,749,35206,85,Asia
17,France,281025,3082,30635,29,86469,292,163921,409,4304,469,6461460,98953,65298144,232,2131,10,Europe
18,Turkey,270133,1587,6370,44,244926,1087,18837,961,3197,75,7138492,84489,84490288,313,13264,12,Asia
19,Italy,269214,996,35483,6,207653,117,26078,94,4454,587,8644859,143017,60446520,225,1704,7,Europe
