,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5476266,60600,171535,1120,2875147,32106,2429584,17217,16532,518,69362008,209397,331245760,60,1931,5,North America
2,Brazil,3278895,49274,106571,1007,2384302,27662,788022,8318,15412,501,13464336,63288,212747792,65,1996,16,South America
3,India,2525222,65609,49134,990,1807556,56920,668532,8944,1828,36,27694416,20044,1381678336,547,28121,50,Asia
4,Russia,912823,5065,15498,114,722964,6568,174361,2300,6255,106,31903056,218600,145942464,160,9417,5,Europe
5,South Africa,579140,6275,11556,286,461734,24117,105850,539,9750,195,3351111,56416,59399952,103,5140,18,Africa
6,Peru,516296,8300,25856,208,354232,6226,136208,1553,15632,783,2705122,81905,33027616,64,1277,12,South America
7,Mexico,505751,7371,55293,627,341507,4872,108951,3675,3918,428,1142045,8846,129099448,255,2335,113,North America
8,Colombia,445111,11306,14492,347,261296,10802,169323,1493,8736,284,2104766,41311,50949592,114,3516,24,South America
9,Chile,382111,2077,10340,41,355037,1906,16734,1252,19968,540,1960210,102433,19136544,50,1851,10,South America
10,Spain,358843,2987,28617,12,0,0,0,617,7675,612,7472031,159805,46757092,130,1634,6,Europe
11,Iran,338825,2501,19331,169,293811,1753,25683,3956,4028,230,2812488,33433,84124056,248,4352,30,Asia
12,UK,316367,1440,41358,11,0,0,0,80,4657,609,14142736,208193,67930784,215,1643,5,Europe
13,Saudi Arabia,295902,1383,3338,35,262959,2566,29605,1782,8484,96,4071857,116741,34879260,118,10449,9,Asia
14,Pakistan,287300,626,6153,14,265215,1155,15932,774,1298,28,2229409,10070,221401504,771,35983,99,Asia
15,Argentina,282437,6365,5527,165,199005,6571,77905,1718,6242,122,930097,20556,45247072,160,8187,49,South America
16,Bangladesh,271881,2766,3591,34,156623,1752,111667,0,1649,22,1328757,8058,164891712,606,45918,124,Asia
17,Italy,252809,574,35388,3,203326,403,14095,56,4182,585,7467487,123531,60450392,239,1708,8,Europe
18,Turkey,246861,1226,5934,22,228980,923,11947,656,2923,70,5592072,66217,84450632,342,14232,15,Asia
19,Germany,223774,1505,9289,8,202550,1750,11935,224,2670,111,8586648,102444,83817832,375,9023,10,Europe
20,France,212211,2846,30405,17,83848,376,97958,367,3250,466,6000000,91895,65291848,308,2147,11,Europe
21,Iraq,168290,4013,5709,68,120129,2921,42452,627,4173,142,1245355,30880,40328272,240,7064,32,Asia
22,Philippines,153567,6123,2441,15,71324,957,79802,461,1399,22,1974976,17994,109758592,715,44965,56,Asia
23,Indonesia,135123,2307,6021,53,89618,2060,39484,0,493,22,1835505,6702,273879456,2027,45487,149,Asia
24,Canada,121652,418,9020,5,107942,389,4690,2296,3220,239,4685663,124015,37783152,311,4189,8,North America
25,Qatar,114532,251,190,0,111258,301,3084,71,40791,68,542518,193218,2807805,25,14778,5,Asia
26,Kazakhstan,101848,476,1269,0,78633,1877,21946,221,5416,67,2252153,119769,18804188,185,14818,8,Asia
27,Ecuador,99409,1066,6030,20,79176,219,14203,343,5624,341,280484,15869,17675416,178,2931,63,South America
28,Bolivia,96459,1388,3884,57,33720,890,58855,71,8250,332,205423,17569,11692375,121,3010,57,South America
29,Egypt,96220,112,5124,17,57858,968,33238,41,938,50,135000,1316,102564056,1066,20016,760,Africa
30,Israel,91080,1258,665,14,66965,2219,23450,375,9903,72,2052630,223170,9197590,101,13831,4,Asia
31,Ukraine,87872,1732,2011,19,46797,581,39064,138,2011,46,1252842,28670,43699432,497,21730,35,Europe
32,China,84786,30,4634,0,79462,64,690,39,59,3,90410000,62814,1439323776,16976,310601,16,Asia
33,Dominican Republic,84488,1354,1409,16,49539,1593,33540,303,7779,130,313291,28845,10861321,129,7709,35,North America
34,Sweden,84294,0,5783,7,0,0,0,31,8340,572,917036,90731,10107142,120,1748,11,Europe
35,Oman,82743,212,557,6,77427,149,4759,153,16156,109,309212,60374,5121650,62,9195,17,Asia
36,Panama,79402,956,1734,12,52886,676,24782,153,18368,401,264046,61080,4322953,54,2493,16,North America
37,Belgium,76191,544,9916,16,17913,30,48362,74,6570,855,1924348,165950,11595976,152,1169,6,Europe
38,Kuwait,75185,699,494,5,66740,641,7951,115,17574,115,552581,129162,4278212,57,8660,8,Asia
39,Belarus,69308,105,603,4,66452,274,2253,0,7335,64,1402346,148413,9448925,136,15670,7,Europe
40,Romania,68046,1415,2904,44,31920,373,33222,473,3540,151,1478056,76898,19220884,282,6619,13,Europe
41,UAE,63819,330,359,1,57473,101,5987,0,6443,36,5851453,590756,9905017,155,27591,2,Asia
42,Netherlands,61840,636,6167,2,0,0,0,38,3608,360,1195475,69749,17139684,277,2779,14,Europe
43,Guatemala,61428,1144,2341,45,49355,1050,9732,5,3421,130,197068,10976,17955060,292,7670,91,North America
44,Singapore,55580,83,27,0,51049,313,4504,0,9491,5,1610906,275083,5856062,105,216891,4,Asia
45,Poland,55319,832,1858,14,38362,401,15099,79,1462,49,2307735,60985,37841288,684,20367,16,Europe
46,Portugal,53783,235,1772,2,39374,197,12637,39,5277,174,1799226,176518,10192865,190,5752,6,Europe
47,Japan,52217,1070,1073,10,37479,1345,13665,211,413,8,1107537,8760,126426384,2421,117825,114,Asia
48,Honduras,49042,385,1542,9,7032,87,40468,37,4942,155,120181,12111,9923580,202,6436,83,North America
49,Nigeria,48445,329,973,7,35998,1689,11474,7,234,5,344397,1666,206732320,4267,212469,600,Africa
50,Bahrain,46052,326,168,1,42469,289,3415,40,26960,98,954192,558617,1708132,37,10167,2,Asia
51,Ghana,41847,122,223,0,39718,223,1906,6,1343,7,421588,13534,31149464,744,139684,74,Africa
52,Kyrgyzstan,41373,304,1491,4,33592,304,6290,24,6329,228,267718,40953,6537128,158,4384,24,Asia
53,Armenia,41299,276,814,5,34164,267,6321,0,13934,275,181962,61392,2963947,72,3641,16,Asia
54,Morocco,39241,1306,611,27,27644,957,10986,31,1062,17,1560527,42217,36964112,942,60498,24,Africa
55,Switzerland,37671,268,1991,0,32900,200,2780,26,4349,230,868886,100304,8662507,230,4351,10,Europe
56,Algeria,37664,477,1351,10,26308,304,10005,44,857,31,0,0,43945576,1167,32528,0,Africa
57,Afghanistan,37431,7,1363,0,26714,0,9354,31,959,35,97791,2505,39031056,1043,28636,399,Asia
58,Azerbaijan,34018,103,504,4,31490,221,2024,0,3351,50,820002,80784,10150488,298,20140,12,Asia
59,Uzbekistan,33821,498,220,4,27825,612,5776,410,1009,7,1377915,41097,33527960,991,152400,24,Asia
60,Venezuela,31381,1012,266,7,21580,195,9535,81,1104,9,1618708,56946,28425528,906,106863,18,South America
61,Moldova,29483,396,884,6,20556,280,8043,362,7311,219,128076,31759,4032753,137,4562,31,Europe
62,Kenya,29334,580,465,5,15298,198,13571,44,544,9,381317,7073,53910352,1838,115936,141,Africa
63,Serbia,29233,235,665,4,26440,323,2128,78,3347,76,789480,90404,8732803,299,13132,11,Europe
64,Ethiopia,27242,1038,492,13,11660,232,15090,195,236,4,567442,4922,115293968,4232,234337,203,Africa
65,Ireland,26995,66,1774,0,23364,0,1857,8,5460,359,699036,141375,4944556,183,2787,7,Europe
66,Costa Rica,26931,802,281,9,8785,373,17865,99,5281,55,112960,22150,5099873,189,18149,45,North America
67,Nepal,25551,594,99,4,17077,240,8375,0,875,3,807015,27638,29199388,1143,294943,36,Asia
68,Austria,22876,282,725,0,20499,153,1652,19,2538,80,1003432,111334,9012838,394,12432,9,Europe
69,Australia,22743,385,375,14,13350,349,9018,47,891,15,5179725,202839,25536136,1123,68096,5,Australia/Oceania
70,El Salvador,22314,321,595,11,10455,201,11264,448,3438,92,273509,42141,6490317,291,10908,24,North America
71,Czechia,19693,292,394,3,13731,157,5568,24,1838,37,783459,73142,10711506,544,27187,14,Europe
72,Cameroon,18469,161,401,0,15320,0,2748,30,694,15,149000,5597,26622486,1441,66390,179,Africa
73,Ivory Coast,16935,46,108,1,13721,199,3106,0,640,4,112061,4236,26454060,1562,244945,236,Africa
74,Palestine,15834,343,106,0,9382,196,6346,0,3095,21,214862,42004,5115264,323,48257,24,Asia
75,Bosnia and Herzegovina,15535,351,469,11,9344,188,5722,0,4739,143,159613,48690,3278151,211,6990,21,Europe
76,Denmark,15379,165,621,0,13216,85,1542,1,2654,107,1869782,322667,5794779,377,9331,3,Europe
77,S. Korea,14873,103,305,0,13863,46,705,14,290,6,1665084,32474,51274816,3448,168114,31,Asia
78,Bulgaria,14243,174,492,8,9114,213,4637,58,2052,71,330785,47653,6941575,487,14109,21,Europe
79,Madagascar,13643,121,164,2,12011,231,1468,89,491,6,50969,1835,27773270,2036,169349,545,Africa
80,North Macedonia,12515,158,535,3,9030,368,2950,6,6007,257,120950,58055,2083363,166,3894,17,Europe
81,Sudan,12162,47,793,1,6325,20,5044,0,277,18,401,9,43968776,3615,55446,109648,Africa
82,Senegal,11872,132,249,5,7615,43,4008,55,707,15,127506,7592,16794764,1415,67449,132,Africa
83,Norway,9908,57,261,4,8857,0,790,2,1826,48,530446,97751,5426512,548,20791,10,Europe
84,DRC,9605,16,238,4,8512,32,855,0,107,3,0,0,89869440,9357,377603,0,Africa
85,Malaysia,9149,20,125,0,8828,7,196,4,282,4,1095768,33803,32416568,3543,259333,30,Asia
86,Paraguay,9022,633,108,11,5657,141,3257,38,1263,15,149349,20908,7143245,792,66141,48,South America
87,Zambia,9021,358,256,10,7586,185,1179,0,489,14,96610,5238,18442838,2044,72042,191,Africa
88,French Guiana,8549,78,53,2,7841,57,655,16,28537,177,44435,148326,299576,35,5652,7,South America
89,Guinea,8260,62,50,0,7177,57,1033,24,627,4,14407,1094,13173696,1595,263474,914,Africa
90,Gabon,8225,148,51,0,6277,357,1897,1,3685,23,100298,44939,2231858,271,43762,22,Africa
91,Lebanon,8045,334,94,2,2551,55,5400,42,1179,14,401016,58787,6821472,848,72569,17,Asia
92,Tajikistan,7989,39,63,0,6777,36,1149,0,835,7,0,0,9562749,1197,151790,0,Asia
93,Haiti,7810,29,192,0,5123,0,2495,0,684,17,18933,1658,11419521,1462,59477,603,North America
94,Finland,7700,17,333,0,7050,0,317,0,1389,60,453576,81846,5541815,720,16642,12,Europe
95,Luxembourg,7405,37,122,0,6500,86,783,3,11806,195,672717,1072567,627203,85,5141,1,Europe
96,Libya,7327,277,139,4,848,32,6340,0,1065,20,73226,10639,6882651,939,49515,94,Africa
97,Albania,7117,146,219,6,3695,79,3203,20,2473,76,42854,14893,2877393,404,13139,67,Europe
98,Mauritania,6676,23,157,0,5889,46,630,3,1431,34,58147,12468,4663743,699,29705,80,Africa
99,Greece,6632,251,223,2,3804,0,2605,22,637,21,704921,67674,10416427,1571,46710,15,Europe
100,Croatia,6258,208,163,2,5134,56,961,10,1526,40,134742,32848,4101957,655,25165,30,Europe
101,Maldives,5572,78,22,1,3010,90,2540,12,10286,41,94047,173620,541683,97,24622,6,Asia
102,Djibouti,5367,9,59,0,5181,14,127,0,5423,60,62731,63381,989740,184,16775,16,Africa
103,Zimbabwe,5072,82,128,0,1998,71,2946,0,341,9,149748,10058,14889126,2936,116321,99,Africa
104,Malawi,4988,76,156,3,2576,26,2256,4,260,8,38451,2004,19187034,3847,122994,499,Africa
105,Hungary,4853,40,607,0,3590,29,656,6,503,63,372687,38592,9657184,1990,15910,26,Europe
106,Equatorial Guinea,4821,0,83,0,2182,0,2556,0,3424,59,44356,31500,1408141,292,16966,32,Africa
107,CAR,4652,0,61,0,1728,0,2863,2,961,13,29930,6184,4839820,1040,79341,162,Africa
108,Hong Kong,4361,48,67,2,3392,97,902,30,581,9,780415,103992,7504535,1721,112008,10,Asia
109,Nicaragua,4115,0,128,0,2913,0,1074,0,620,19,0,0,6634200,1612,51830,0,North America
110,Montenegro,3930,73,73,0,2752,72,1105,0,6257,116,41729,66439,628076,160,8604,15,Europe
111,Congo,3745,0,60,0,1625,0,2060,0,677,11,0,0,5533856,1478,92231,0,Africa
112,Namibia,3726,182,31,4,848,0,2847,14,1463,12,38743,15215,2546397,683,82142,66,Africa
113,Eswatini,3670,71,68,3,1991,0,1611,10,3159,59,28380,24431,1161643,317,17083,41,Africa
114,Thailand,3376,17,58,0,3173,4,145,1,48,0,749213,10730,69822192,20682,1203831,93,Asia
115,Somalia,3250,23,93,0,2268,540,889,2,204,6,0,0,15943958,4906,171440,0,Africa
116,Cuba,3229,55,88,0,2547,22,594,3,285,8,319440,28205,11325729,3508,128701,35,North America
117,Cabo Verde,3136,63,33,0,2254,22,849,0,5633,59,61633,110706,556729,178,16871,9,Africa
118,Mayotte,3119,0,39,0,2940,0,140,1,11401,143,13000,47518,273581,88,7015,21,Africa
119,Sri Lanka,2886,4,11,0,2658,12,217,1,135,0,166737,7783,21424564,7424,1947688,128,Asia
120,Suriname,2838,77,41,1,1894,64,903,15,4832,70,4449,7576,587283,207,14324,132,South America
121,Slovakia,2801,62,31,0,1944,5,826,6,513,6,289590,53039,5459980,1949,176128,19,Europe
122,Mozambique,2708,70,19,0,1075,60,1614,0,86,0,75430,2406,31355578,11579,1650294,416,Africa
123,Mali,2597,0,125,0,1979,0,493,0,128,6,29837,1469,20317302,7823,162538,681,Africa
124,South Sudan,2482,4,47,0,1175,0,1260,0,221,4,12044,1074,11209798,4516,238506,931,Africa
125,Slovenia,2369,37,129,0,2027,67,213,3,1140,62,141879,68245,2078975,878,16116,15,Europe
126,Lithuania,2352,22,81,0,1691,2,580,6,866,30,570657,210017,2717194,1155,33546,5,Europe
127,Rwanda,2293,93,8,0,1604,46,681,0,177,0,323905,24936,12989465,5665,1623683,40,Africa
128,Estonia,2177,3,63,0,1976,1,138,1,1641,47,132270,99702,1326649,609,21058,10,Europe
129,Guinea-Bissau,2088,0,29,0,1015,0,1044,5,1058,15,1500,760,1973424,945,68049,1316,Africa
130,Benin,2014,0,38,0,1681,0,295,0,166,3,101987,8387,12159811,6038,319995,119,Africa
131,Iceland,1983,7,10,0,1861,9,112,1,5806,29,174244,510201,341520,172,34152,2,Europe
132,Sierra Leone,1947,7,69,0,1502,6,376,0,243,9,0,0,7996165,4107,115886,0,Africa
133,Tunisia,1903,56,53,0,1320,18,530,9,161,4,108823,9196,11833840,6219,223280,109,Africa
134,Yemen,1858,11,528,0,1009,60,321,0,62,18,120,4,29903088,16094,56635,249192,Asia
135,Angola,1852,37,86,6,584,7,1182,20,56,3,64747,1963,32981560,17809,383507,509,Africa
136,Gambia,1623,67,50,7,304,37,1269,0,669,21,6157,2540,2424430,1494,48489,394,Africa
137,New Zealand,1602,13,22,0,1531,0,49,1,320,4,524414,104839,5002100,3122,227368,10,Australia/Oceania
138,Syria,1515,83,58,3,403,8,1054,0,86,3,0,0,17550084,11584,302588,0,Asia
139,Uruguay,1421,12,38,1,1182,2,201,4,409,11,142599,41033,3475251,2446,91454,24,South America
140,Uganda,1385,32,12,1,1142,1,231,0,30,0,312792,6814,45903544,33143,3825295,147,Africa
141,Jordan,1329,9,11,0,1229,7,89,3,130,1,679751,66540,10215627,7687,928693,15,Asia
142,Cyprus,1318,13,20,0,870,0,428,5,1091,17,239630,198295,1208454,917,60423,5,Asia
143,Latvia,1308,1,32,0,1078,0,198,0,694,17,222531,118152,1883427,1440,58857,8,Europe
144,Georgia,1306,23,17,0,1085,17,204,0,327,4,283789,71158,3988180,3054,234599,14,Asia
145,Malta,1276,31,9,0,762,54,505,0,2889,20,152087,344328,441692,346,49077,3,Europe
146,Liberia,1252,0,82,0,738,0,432,0,247,16,0,0,5071549,4051,61848,0,Africa
147,Burkina Faso,1238,10,54,0,1005,8,179,0,59,3,0,0,20969000,16938,388315,0,Africa
148,Botswana,1214,0,3,0,120,0,1091,1,515,1,87280,37026,2357245,1942,785748,27,Africa
149,Niger,1161,0,69,0,1075,0,17,0,48,3,9052,372,24303112,20933,352219,2685,Africa
150,Togo,1124,20,26,0,806,15,292,2,135,3,51523,6207,8301366,7386,319283,161,Africa
151,Bahamas,1119,30,17,2,138,0,964,1,2842,43,7322,18598,393708,352,23159,54,North America
152,Jamaica,1071,6,14,0,754,1,303,1,361,5,45279,15283,2962795,2766,211628,65,North America
153,Andorra,989,8,53,0,863,5,73,1,12797,686,3750,48524,77281,78,1458,21,Europe
154,Aruba,973,79,4,0,114,0,855,0,9109,37,14047,131498,106823,110,26706,8,North America
155,Chad,951,2,76,0,862,2,13,0,58,5,0,0,16479603,17329,216837,0,Africa
156,Vietnam,930,19,22,1,437,12,471,0,10,0,621823,6381,97446984,104782,4429408,157,Asia
157,Sao Tome and Principe,885,2,15,0,809,1,61,0,4029,68,3249,14792,219644,248,14643,68,Africa
158,Lesotho,884,0,25,0,271,0,588,0,412,12,11097,5175,2144360,2426,85774,193,Africa
159,Réunion,776,22,5,0,657,26,114,4,866,6,35419,39525,896108,1155,179222,25,Africa
160,Diamond Princess,712,0,13,0,651,0,48,4,0,0,0,0,0,0,0,0,N/A
161,San Marino,699,0,42,0,657,0,0,0,20595,1237,6068,178786,33940,49,808,6,Europe
162,Guyana,649,18,22,0,306,104,321,6,825,28,5809,7381,787029,1213,35774,135,South America
163,Channel Islands,607,4,47,0,545,0,15,0,3487,270,52055,299062,174061,287,3703,3,Europe
164,Tanzania,509,0,21,0,183,0,305,7,8,0,0,0,59928388,117738,2853733,0,Africa
