,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5097187,1663,164139,45,2618025,1058,2315023,18051,15390,496,63899480,192931,331203424,65,2018,5,North America
1,Brazil,2967064,0,99702,0,2068394,0,798968,8318,13949,469,13206188,62084,212714816,72,2134,16,South America
2,India,2091810,4946,42626,48,1429325,1656,619859,8944,1514,31,23387172,16930,1381382016,660,32407,59,Asia
3,Russia,882347,5212,14854,129,690207,6615,177286,2300,6046,102,30038124,205824,145941088,165,9825,5,Europe
4,South Africa,545476,0,9909,0,394759,0,140808,539,9186,167,3183658,53612,59383608,109,5993,19,Africa
5,Mexico,469407,6717,51311,794,313386,4538,104710,3864,3637,398,1071706,8303,129069856,275,2515,120,North America
6,Peru,463875,0,20649,0,314332,0,128894,1460,14049,625,2522993,76414,33017574,71,1599,13,South America
7,Chile,368825,0,9958,0,342168,0,16699,1348,19277,520,1785858,93339,19132960,52,1921,11,South America
8,Colombia,367196,0,12250,0,198495,0,156451,1493,7209,240,1842292,36168,50937744,139,4158,28,South America
9,Spain,361442,0,28503,0,0,0,0,617,7730,610,7064329,151087,46756696,129,1640,7,Europe
10,Iran,324692,2125,18264,132,282122,2398,24306,4148,3861,217,2637575,31362,84100560,259,4605,32,Asia
11,UK,309005,0,46511,0,0,0,0,69,4549,685,17801560,262084,67923000,220,1460,4,Europe
12,Saudi Arabia,285793,0,3093,0,248948,0,33752,1892,8197,89,3694004,105944,34867400,122,11273,9,Asia
13,Pakistan,283487,842,6068,16,259604,1505,17815,801,1281,27,2103699,9506,221307584,781,36471,105,Asia
14,Bangladesh,255113,2611,3365,32,146604,1020,105144,0,1547,20,1249560,7580,164855888,646,48991,132,Asia
15,Italy,249756,0,35190,0,201642,0,12924,42,4131,582,7158909,118422,60452328,242,1718,8,Europe
16,Turkey,238450,0,5813,0,221574,0,11063,586,2824,69,5138528,60861,84430808,354,14524,16,Asia
17,Argentina,235677,0,4411,0,103297,0,127969,1293,5210,98,812564,17962,45238016,192,10256,56,South America
18,Germany,216315,0,9254,0,197400,1200,9661,236,2581,110,8586648,102451,83811992,387,9057,10,Europe
19,France,197921,0,30324,0,82836,0,84761,383,3031,464,4088986,62629,65288700,330,2153,16,Europe
20,Iraq,144064,0,5236,0,103197,0,35631,566,3574,130,1110258,27544,40308496,280,7698,36,Asia
21,Philippines,126885,4131,2209,41,67117,265,57559,239,1156,20,1703805,15528,109726704,865,49673,64,Asia
22,Indonesia,123503,2277,5658,65,79306,1749,38539,0,451,21,1693880,6186,273816256,2217,48395,162,Asia
23,Canada,118985,0,8970,0,103435,0,6580,2276,3150,237,4367208,115608,37775924,317,4211,9,North America
24,Qatar,112383,0,180,0,109142,0,3061,82,40025,64,513930,183036,2807805,25,15599,5,Asia
25,Kazakhstan,97829,907,1058,0,71609,929,25162,221,5204,56,2183308,116138,18799280,192,17769,9,Asia
26,Egypt,95147,0,4971,0,50553,0,39623,41,928,48,135000,1317,102521808,1078,20624,759,Africa
27,Ecuador,91969,0,5897,0,71463,0,14609,365,5205,334,261829,14818,17669556,192,2996,67,South America
28,Bolivia,87891,1468,3524,59,28139,766,56228,71,7519,301,187103,16007,11688894,133,3317,62,South America
29,China,84596,31,4634,0,79123,35,839,42,59,3,90410000,62814,1439323776,17014,310601,16,Asia
30,Sweden,82323,0,5763,0,0,0,0,34,8146,570,863315,85428,10105768,123,1754,12,Europe
31,Oman,81357,290,509,7,73481,1218,7367,173,15894,99,309212,60407,5118802,63,10057,17,Asia
32,Israel,80991,0,581,0,55313,0,25097,369,8806,63,1872453,203581,9197590,114,15831,5,Asia
33,Ukraine,79750,1489,1879,27,43655,600,34216,143,1825,43,1154378,26413,43705144,548,23260,38,Europe
34,Dominican Republic,77709,0,1259,0,41393,0,35057,317,7156,116,281926,25963,10858945,140,8625,39,North America
35,Belgium,72784,768,9866,5,17728,28,45190,69,6277,851,1791554,154513,11594876,159,1175,6,Europe
36,Panama,72560,0,1591,0,46675,0,24294,161,16791,368,244280,56527,4321467,60,2716,18,North America
37,Kuwait,70727,0,471,0,62330,0,7926,124,16537,110,526286,123055,4276831,60,9080,8,Asia
38,Belarus,68738,124,585,2,64744,544,3409,0,7275,62,1363011,144249,9448992,137,16152,7,Europe
39,UAE,62300,239,356,0,56245,230,5699,0,6291,36,5439157,549276,9902405,159,27816,2,Asia
40,Romania,60623,1350,2659,43,29872,583,28092,448,3154,138,1364759,70994,19223676,317,7230,14,Europe
41,Netherlands,57501,0,6154,0,0,0,0,38,3355,359,1079860,63007,17138860,298,2785,16,Europe
42,Guatemala,55270,0,2168,0,43135,0,9967,5,3079,121,176400,9828,17947806,325,8279,102,North America
43,Singapore,54929,132,27,0,48312,0,6590,0,9381,5,1474372,251812,5855057,107,216854,4,Asia
44,Portugal,52351,0,1746,0,38087,0,12518,36,5136,171,1705474,167310,10193512,195,5838,6,Europe
45,Poland,51167,843,1800,13,36403,362,12964,72,1352,48,2199085,58112,37842188,740,21023,17,Europe
46,Honduras,46365,610,1465,19,6355,130,38545,45,4674,148,112370,11327,9920134,214,6771,88,North America
47,Nigeria,45687,0,936,0,32637,0,12114,7,221,5,310729,1504,206620304,4523,220748,665,Africa
48,Japan,43815,0,1033,0,30153,0,12629,131,347,8,961915,7608,126434808,2886,122396,131,Asia
49,Bahrain,43307,0,159,0,40276,0,2872,40,25373,93,886095,519146,1706831,39,10735,2,Asia
50,Ghana,40533,436,206,0,37702,1064,2625,7,1302,7,409373,13148,31135260,768,151142,76,Africa
51,Armenia,40185,200,785,8,32395,387,7005,0,13558,265,174438,58856,2963826,74,3776,17,Asia
52,Kyrgyzstan,39571,409,1459,8,31062,298,7050,24,6055,223,267718,40968,6534773,165,4479,24,Asia
53,Afghanistan,37054,39,1312,5,25960,57,9782,31,950,34,92710,2376,39011848,1053,29735,421,Asia
54,Switzerland,36451,182,1986,0,31900,300,2565,21,4209,229,835724,96491,8661125,238,4361,10,Europe
55,Algeria,34155,0,1282,0,23667,0,9206,57,778,29,0,0,43928244,1286,34265,0,Africa
56,Azerbaijan,33481,105,488,5,30056,360,2937,0,3299,48,779508,76810,10148493,303,20796,13,Asia
57,Morocco,30662,0,461,0,21548,0,8653,31,830,12,1405159,38024,36954552,1205,80162,26,Africa
58,Uzbekistan,29459,402,185,4,20380,321,8894,228,879,6,1377915,41110,33517352,1138,181175,24,Asia
59,Serbia,27608,0,626,0,14047,0,12935,118,3161,72,733059,83936,8733569,316,13951,12,Europe
60,Moldova,26990,0,835,0,18918,0,7237,362,6692,207,128076,31757,4032957,149,4830,31,Europe
61,Ireland,26470,0,1772,0,23364,0,1334,5,5355,358,657897,133087,4943351,187,2790,8,Europe
62,Kenya,25138,0,413,0,11118,0,13607,44,467,8,342132,6349,53884404,2144,130471,157,Africa
63,Venezuela,24166,0,208,0,12470,0,11488,66,850,7,1573859,55364,28427280,1176,136670,18,South America
64,Nepal,22592,378,73,3,16313,499,6206,0,774,3,747691,25616,29187920,1292,399835,39,Asia
65,Costa Rica,22081,0,218,0,7266,0,14597,89,4331,43,100050,19622,5098857,231,23389,51,North America
66,Austria,21919,82,721,1,19812,122,1386,24,2432,80,955239,106000,9011717,411,12499,9,Europe
67,Ethiopia,21452,0,380,0,9415,0,11657,185,186,3,478017,4148,115231536,5372,303241,241,Africa
68,Australia,20698,426,278,12,11320,0,9100,53,811,11,4736463,185528,25529672,1233,91833,5,Australia/Oceania
69,El Salvador,19544,0,536,16,9392,13,9616,514,3012,83,256176,39475,6489603,332,12107,25,North America
70,Czechia,18060,0,389,0,12749,0,4922,17,1686,36,735501,68667,10711073,593,27535,15,Europe
