,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6257571,41979,188900,1164,3496913,40650,2571758,15079,18886,570,83350120,251558,331335744,53,1754,4,North America
2,Brazil,3952790,41889,122681,1166,3159096,61362,671013,8318,18574,576,14352484,67440,212817856,54,1735,15,South America
3,India,3766108,78169,66460,1025,2899521,62144,800127,8944,2725,48,43324832,31342,1382308096,367,20799,32,Asia
4,Russia,1000048,4729,17299,123,815705,6318,167044,2300,6852,119,36900000,252834,145945360,146,8437,4,Europe
5,Peru,657129,5092,29068,124,471599,9270,156462,1493,19884,880,3233034,97826,33048956,50,1137,10,South America
6,South Africa,628259,1218,14263,114,549993,9070,64003,539,10571,240,3705408,62344,59434680,95,4167,16,Africa
7,Colombia,624069,8901,20052,389,469557,10082,134460,1493,12243,393,2777107,54480,50974768,82,2542,18,South America
8,Mexico,599560,3719,64414,256,416738,4158,118408,3086,4642,499,1345483,10417,129162328,215,2005,96,North America
9,Spain,470973,8115,29152,58,0,0,0,823,10073,623,9210337,196979,46757928,99,1604,5,Europe
10,Argentina,428239,10504,8919,259,308376,7181,110944,2314,9460,197,1277751,28227,45266316,106,5075,35,South America
11,Chile,413145,1419,11321,32,385790,1911,16034,962,21581,591,2458762,128434,19144156,46,1691,8,South America
12,Iran,376894,1682,21672,101,325124,1891,30098,3709,4478,257,3256122,38683,84173992,223,3884,26,Asia
13,UK,337168,1295,41504,3,0,0,0,60,4962,611,16273209,239497,67947312,202,1637,4,Europe
14,Saudi Arabia,316670,898,3929,32,291514,718,21227,1519,9072,113,5026127,143997,34904460,110,8884,7,Asia
15,Bangladesh,314946,1950,4316,35,208177,3290,102453,0,1909,26,1562412,9471,164967872,524,38222,106,Asia
16,Pakistan,296149,300,6298,4,280970,288,8881,589,1336,28,2642028,11922,221601040,748,35186,84,Asia
17,France,286007,4982,30661,26,86712,243,168634,424,4380,470,7500000,114857,65298536,228,2130,9,Europe
18,Turkey,271705,1572,6417,47,245929,1003,19359,991,3216,76,7247935,85782,84492768,311,13167,12,Asia
19,Italy,270189,978,35491,8,207944,291,26754,107,4470,587,8725909,144358,60446276,224,1703,7,Europe
20,Germany,246001,1209,9381,10,221800,1900,14820,245,2935,112,11208091,133700,83830240,341,8936,7,Europe
21,Iraq,238338,3404,7123,81,180473,3871,50742,521,5904,176,1624331,40236,40370300,169,5668,25,Asia
22,Philippines,224264,3483,3597,39,158012,464,62655,837,2042,33,2633709,23981,109826336,490,30533,42,Asia
23,Indonesia,177571,2775,7505,88,128057,2098,42009,0,648,27,2270627,8287,274013696,1543,36511,121,Asia
24,Canada,129425,477,9132,6,114607,380,5686,52,3424,242,5545549,146713,37798504,292,4139,7,North America
25,Ukraine,123303,2088,2605,48,57802,688,62896,177,2822,60,1556655,35632,43687292,354,16771,28,Europe
26,Qatar,118994,216,198,1,115895,228,2901,65,42380,71,634745,226064,2807805,24,14181,4,Asia
27,Israel,118538,1942,957,18,96214,1205,21367,414,12888,104,2323830,252656,9197590,78,9611,4,Asia
