,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6549352,35243,195238,1208,3846095,49335,2508019,14578,19764,589,89283072,269425,331383392,51,1697,4,North America
2,India,4462965,95529,75091,1168,3469084,73057,918790,8944,3228,54,51804676,37468,1382641408,310,18413,27,Asia
3,Brazil,4199332,34208,128653,1136,3453336,56102,617343,8318,19729,604,14408116,67690,212854960,51,1654,15,South America
4,Russia,1041007,5218,18135,142,856458,6409,166414,2300,7133,124,39289176,269202,145946880,140,8048,4,Europe
5,Peru,702776,6586,30236,113,536959,7208,135581,1476,21257,915,3428910,103717,33060252,47,1093,10,South America
6,Colombia,686856,7343,22053,236,552885,11423,111918,863,13471,433,3028754,59401,50988096,74,2312,17,South America
7,Mexico,642860,5351,68484,703,451159,4444,123217,3030,4976,530,1450397,11226,129195616,201,1887,89,North America
8,South Africa,642431,1990,15168,82,569935,2206,57328,539,10806,255,3842898,64638,59453068,93,3920,15,Africa
9,Spain,543379,8866,29628,34,0,0,0,1051,11621,634,9987326,213594,46758376,86,1578,5,Europe
10,Argentina,512293,12259,10658,253,382490,15900,119145,2719,11315,235,1458619,32216,45276504,88,4248,31,South America
11,Chile,427027,1486,11702,20,399555,1825,15770,942,22301,611,2691374,140555,19148188,45,1636,7,South America
12,Iran,393425,2313,22669,127,339111,1697,31645,3735,4672,269,3431646,40756,84200424,214,3714,25,Asia
13,UK,355219,2659,41594,8,0,0,0,80,5227,612,17619896,259284,67956064,191,1634,4,Europe
14,France,344101,8577,30794,30,88524,298,224783,599,5269,472,8500000,130164,65302080,190,2121,8,Europe
15,Bangladesh,331078,1827,4593,41,230804,2995,95681,0,2006,28,1674452,10148,165008192,498,35926,99,Asia
