,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6431152,42095,192818,707,3707000,30431,2531334,14942,19409,582,86759200,261830,331356928,52,1718,4,North America
2,Brazil,4123000,31199,126230,646,3296702,18459,700068,8318,19372,593,14408116,67696,212834352,52,1686,15,South America
3,India,4110839,90600,70679,1044,3177673,73161,862487,8944,2974,51,47738492,34532,1382456192,336,19560,29,Asia
4,Russia,1020310,5205,17759,110,838126,5379,164425,2300,6991,122,38100000,261055,145946032,143,8218,4,Europe
5,Peru,683702,6854,29687,133,506422,7899,147593,1492,20684,898,3353435,101453,33053976,48,1113,10,South America
6,Colombia,658456,8394,21156,268,507770,9549,129530,1493,12916,415,2906270,57007,50980688,77,2410,18,South America
7,South Africa,636884,1806,14779,101,561204,3386,60901,539,10714,249,3783823,63655,59442856,93,4022,16,Africa
8,Mexico,623090,6196,66851,522,434667,4380,121572,3135,4824,518,1409384,10910,129177128,207,1932,92,North America
9,Spain,517133,0,29418,0,0,0,0,976,11060,629,9210337,196978,46758128,90,1589,5,Europe
10,Argentina,471806,9924,9739,116,340381,8760,121686,2456,10422,215,1374524,30362,45270844,96,4648,33,South America
11,Chile,420434,1969,11551,57,392967,1719,15916,908,21959,603,2575313,134510,19145948,46,1658,7,South America
12,Iran,384666,1894,22154,110,332131,1823,30381,3708,4569,263,3355152,39854,84185744,219,3800,25,Asia
13,UK,344164,1813,41549,12,0,0,0,69,5065,611,17619896,259302,67951200,197,1635,4,Europe
14,Bangladesh,323565,1950,4447,35,217852,1661,101266,0,1961,27,1617958,9807,164985792,510,37100,102,Asia
15,Saudi Arabia,319932,791,4049,34,295842,779,20041,1470,9164,116,5364471,153664,34910388,109,8622,7,Asia
16,France,317706,8550,30724,0,87447,241,199535,473,4865,471,8500000,130168,65300112,206,2125,8,Europe
17,Pakistan,298025,513,6340,5,282553,285,9132,535,1345,29,2732325,12327,221648000,744,34960,81,Asia
18,Turkey,278228,1673,6620,56,250092,984,21516,1091,3293,78,7682697,90917,84502680,304,12765,11,Asia
19,Italy,276338,1695,35534,16,209610,583,31194,121,4572,588,9142401,151251,60445308,219,1701,7,Europe
20,Iraq,256719,4644,7422,63,195259,3891,54038,523,6358,184,1718157,42550,40380188,157,5441,24,Asia
21,Germany,251056,775,9401,0,226208,1608,15447,223,2995,112,12383035,147710,83833160,334,8917,7,Europe
22,Philippines,234570,2529,3790,53,161668,1136,69112,922,2136,35,2772075,25237,109842280,468,28982,40,Asia
23,Indonesia,190665,3128,7940,108,136401,2220,46324,0,696,29,2405773,8779,274045312,1437,34515,114,Asia
24,Ukraine,133787,2836,2811,50,61649,1036,69327,177,3063,64,1673316,38305,43684436,327,15541,26,Europe
25,Canada,131495,371,9143,2,116136,210,6216,54,3479,242,5735811,151733,37802116,287,4135,7,North America
26,Israel,128936,2517,1007,14,101481,1124,26448,439,14018,109,2388574,259696,9197590,71,9134,4,Asia
27,Qatar,119864,227,202,1,116780,242,2882,51,42690,72,654973,233269,2807805,23,13900,4,Asia
28,Bolivia,119580,799,5343,55,67844,1960,46393,71,10219,457,250550,21412,11701513,98,2190,47,South America
29,Ecuador,118045,870,6724,50,102304,104,9017,415,6673,380,349060,19731,17690796,150,2631,51,South America
30,Kazakhstan,106225,104,1588,0,99018,433,5619,221,5645,84,2434444,129374,18817072,177,11850,8,Asia
31,Egypt,99712,130,5511,16,77208,903,16993,41,971,54,135000,1315,102674968,1030,18631,761,Africa
32,Dominican Republic,98776,864,1840,19,71901,357,25035,210,9089,169,391190,35996,10867558,110,5906,28,North America
