,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6636247,0,197421,0,3917962,0,2520864,14347,20026,596,90845704,274136,331388704,50,1679,4,North America
2,India,4657379,0,77506,0,3621438,0,958435,8944,3368,56,54097976,39125,1382678400,297,17840,26,Asia
3,Brazil,4283978,0,130474,0,3530655,0,622849,8318,20126,613,14505652,68147,212859088,50,1631,15,South America
4,Russia,1051874,0,18365,0,868107,0,165402,2300,7207,126,39912528,273473,145947056,139,7947,4,Europe
5,Peru,716670,0,30470,0,552214,0,133986,1469,21677,922,3482894,105346,33061508,46,1085,9,South America
6,Colombia,702088,0,22518,0,582694,0,96876,863,13769,442,3100659,60810,50989576,73,2264,16,South America
7,Mexico,658299,5935,70183,534,463764,4914,124352,2892,5095,543,1496322,11582,129199320,196,1841,86,North America
8,South Africa,646398,0,15378,0,574587,0,56433,539,10872,259,3884166,65329,59455112,92,3866,15,Africa
9,Spain,576697,0,29747,0,0,0,0,1136,12334,636,9987326,213594,46758424,81,1572,5,Europe
10,Argentina,535705,0,11148,0,400121,0,124436,3093,11832,246,1513847,33435,45277636,85,4062,30,South America
11,Chile,430535,0,11850,0,403064,0,15621,918,22484,619,2753769,143810,19148636,44,1616,7,South America
12,Iran,397801,0,22913,0,342539,0,32349,3753,4724,272,3507938,41660,84203360,212,3675,24,Asia
13,France,363350,0,30893,0,89059,0,243398,635,5564,473,10000000,153134,65302472,180,2114,7,Europe
14,UK,361677,0,41614,0,0,0,0,78,5322,612,19293328,283905,67957032,188,1633,4,Europe
15,Bangladesh,334762,0,4668,0,236024,0,94070,0,2029,28,1704758,10331,165012672,493,35350,97,Asia
16,Saudi Arabia,324407,0,4213,0,300933,0,19261,1368,9290,121,5645077,161661,34919284,108,8288,6,Asia
17,Pakistan,300955,584,6373,3,288536,330,6046,534,1357,29,2908379,13117,221718432,737,34790,76,Asia
18,Turkey,288126,0,6951,0,256524,0,24651,1223,3409,82,8325137,98502,84517544,293,12159,10,Asia
19,Italy,284796,0,35597,0,212432,0,36767,175,4712,589,9653269,159706,60443856,212,1698,6,Europe
20,Iraq,282672,0,7881,0,217396,0,57395,566,6998,195,1718157,42534,40395020,143,5126,24,Asia
21,Germany,259725,0,9423,0,234850,1550,15452,233,3098,112,13436301,160266,83837544,323,8897,6,Europe
22,Philippines,252964,0,4108,0,186606,0,62250,990,2302,37,3003007,27333,109866192,434,26744,37,Asia
23,Indonesia,210940,0,8544,0,150217,0,52179,0,770,31,2581392,9418,274092672,1299,32080,106,Asia
24,Ukraine,148756,0,3076,0,67005,0,78675,177,3406,70,1778483,40716,43680152,294,14200,25,Europe
25,Israel,148564,0,1090,0,111728,0,35746,486,16152,119,2620012,284859,9197590,62,8438,4,Asia
26,Canada,135626,0,9163,0,119674,0,6789,53,3587,242,6046330,159924,37807536,279,4126,6,North America
27,Bolivia,125172,967,7250,57,81240,1757,36682,71,10695,619,269472,23024,11704123,94,1614,43,South America
28,Qatar,121287,0,205,0,118199,0,2883,50,43196,73,680633,242408,2807805,23,13697,4,Asia
29,Ecuador,114732,0,10836,0,91242,0,12654,367,6484,612,348099,19672,17695192,154,1633,51,South America
30,Kazakhstan,106729,68,1634,0,100409,0,4686,221,5671,87,2571562,136634,18820752,176,11518,7,Asia
31,Dominican Republic,102232,0,1941,0,75747,0,24544,210,9406,179,408014,37538,10869340,106,5600,27,North America
32,Romania,101075,0,4100,0,41010,0,55965,478,5261,213,2041921,106287,19211470,190,4686,9,Europe
33,Egypt,100708,0,5607,0,82473,0,12628,41,981,55,135000,1314,102706656,1020,18318,761,Africa
34,Panama,100330,0,2140,0,72858,0,25332,135,23182,494,389532,90003,4327967,43,2022,11,North America
35,Kuwait,93475,0,557,0,83660,0,9258,97,21825,130,668005,155971,4282874,46,7689,6,Asia
36,Belgium,91537,969,9919,2,18689,30,62929,67,7891,855,2566088,221220,11599689,127,1169,5,Europe
37,Oman,88337,0,762,0,83325,0,4250,161,17215,149,309212,60260,5131262,58,6734,17,Asia
