,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5360302,54345,169131,1386,2812603,57255,2378568,17320,16183,511,67551160,203940,331229888,62,1958,5,North America
2,Brazil,3170474,58081,104263,1164,2309477,66353,756734,8318,14903,490,13231548,62197,212735424,67,2040,16,South America
3,India,2395471,67066,47138,950,1695860,57759,652473,8944,1734,34,26015296,18830,1381567232,577,29309,53,Asia
4,Russia,902701,5102,15260,129,710298,7123,177143,2300,6185,105,31307764,214522,145941952,162,9564,5,Europe
5,South Africa,568919,2810,11010,259,432029,5904,125880,539,9579,185,3295434,55484,59393824,104,5395,18,Africa
6,Peru,498555,8875,21713,212,341938,6182,134904,1501,15097,657,2643464,80047,33023850,66,1521,12,South America
7,Mexico,492522,6686,53929,926,332800,4807,105793,3832,3815,418,1112114,8615,129088352,262,2394,116,North America
8,Colombia,422519,12066,13837,362,239785,9358,168897,1493,8294,272,2023256,39714,50945148,121,3682,25,South America
9,Chile,378168,1552,10205,27,351419,1878,16544,1268,19763,533,1908964,99762,19135200,51,1875,10,South America
10,Spain,376864,3172,28579,0,0,0,0,617,8060,611,7472031,159806,46756944,124,1636,6,Europe
11,Iran,333699,2510,18988,188,290244,1624,24467,3940,3967,226,2763225,32850,84115248,252,4430,30,Asia
12,UK,313798,1009,41329,20,0,0,0,70,4620,608,18868566,277774,67927864,216,1644,4,Europe
13,Saudi Arabia,293037,1569,3269,36,257269,2151,32499,1826,8403,94,3933427,112787,34874812,119,10668,9,Asia
14,Pakistan,285921,730,6129,17,263193,1947,16599,785,1292,28,2186442,9877,221366288,774,36118,101,Asia
15,Argentina,268574,7663,5213,209,187283,5894,76078,1585,5936,115,891817,19711,45243676,168,8679,51,South America
16,Bangladesh,266498,2995,3513,42,153089,1117,109896,0,1616,21,1302739,7901,164878272,619,46934,127,Asia
17,Italy,251713,476,35225,10,202697,236,13791,53,4164,583,7369576,121910,60451116,240,1716,8,Europe
