,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,6389057,52853,192111,1033,3635854,39865,2561092,15062,19282,580,85895720,259228,331351648,52,1725,4,North America
2,Brazil,4091801,45651,125584,855,3278243,30633,687974,8318,19226,590,14408116,67698,212830224,52,1695,15,South America
3,India,4020239,87115,69635,1066,3104512,69625,846092,8944,2908,50,46679144,33766,1382419200,344,19852,30,Asia
4,Russia,1015105,5110,17649,121,832747,5812,164709,2300,6955,121,37800000,259000,145945872,144,8269,4,Europe
5,Peru,676848,6703,29554,149,498523,8637,148771,1496,20478,894,3320012,100446,33052720,49,1118,10,South America
6,Colombia,650062,8488,20888,270,498221,9070,130953,1493,12752,410,2880158,56497,50979208,78,2441,18,South America
7,South Africa,635078,2063,14678,115,557818,2931,62582,539,10684,247,3765700,63352,59440812,94,4050,16,Africa
8,Mexico,616894,5937,66329,513,430287,5297,120278,3061,4776,513,1393033,10784,129173424,209,1947,93,North America
9,Spain,517133,4503,29418,184,0,0,0,976,11060,629,9210337,196979,46758080,90,1589,5,Europe
10,Argentina,461882,10684,9623,262,331621,9160,120638,2425,10203,213,1350038,29822,45269712,98,4704,34,South America
11,Chile,418469,1968,11494,72,391248,1839,15727,932,21857,600,2540718,132706,19145500,46,1666,8,South America
12,Iran,382772,2026,22044,118,330308,1713,30420,3695,4547,262,3331073,39570,84182800,220,3819,25,Asia
13,UK,342351,1940,41537,10,0,0,0,76,5038,611,17619896,259306,67950224,198,1636,4,Europe
14,Bangladesh,321615,1929,4412,29,216191,2211,101012,0,1949,27,1605111,9729,164981312,513,37394,103,Asia
15,Saudi Arabia,319141,822,4015,33,295063,1099,20063,1484,9142,115,5261814,150730,34908908,109,8695,7,Asia
16,France,309156,8975,30724,18,87206,0,191226,464,4734,471,8500000,130169,65299716,211,2125,8,Europe
17,Pakistan,297512,498,6335,7,282268,343,8909,595,1342,29,2707470,12216,221636256,745,34986,82,Asia
18,Turkey,276555,1612,6564,53,249108,1021,20883,1076,3273,78,7583200,89742,84500200,306,12873,11,Asia
19,Italy,274644,1733,35518,11,209027,537,30099,121,4544,588,9034743,149469,60445552,220,1702,7,Europe
20,Iraq,252075,5036,7359,84,191368,3611,53348,495,6243,182,1694285,41961,40377716,160,5487,24,Asia
21,Germany,250281,1467,9401,2,224600,0,16280,223,2985,112,12383035,147712,83832432,335,8917,7,Europe
22,Philippines,232072,3714,3737,49,160549,1088,67786,922,2113,34,2739096,24938,109838296,473,29392,40,Asia
23,Indonesia,187537,3269,7832,82,134181,2126,45524,0,684,29,2375133,8667,274037408,1461,34989,115,Asia
24,Canada,131124,631,9141,0,115926,482,6057,54,3469,242,5697380,150720,37801212,288,4135,7,North America
25,Ukraine,130951,2723,2761,51,59676,0,68514,177,2998,63,1621697,37122,43685148,334,15822,27,Europe
26,Israel,126419,1964,993,8,100357,1712,25069,426,13745,108,2388574,259696,9197590,73,9262,4,Asia
27,Qatar,119637,217,201,0,116538,225,2898,54,42609,72,650248,231586,2807805,23,13969,4,Asia
28,Bolivia,118781,853,5288,85,65884,1810,47609,71,10151,452,248500,21237,11701077,99,2213,47,South America
29,Ecuador,117175,815,6674,26,102200,149,8301,377,6624,377,344126,19453,17690064,151,2651,51,South America
30,Kazakhstan,106121,89,1588,0,98585,618,5948,221,5640,84,2434444,129378,18816458,177,11849,8,Asia
31,Egypt,99582,157,5495,16,76305,890,17782,41,970,54,135000,1315,102669688,1031,18684,761,Africa
32,Dominican Republic,96629,0,1801,0,70871,0,23957,199,8892,166,379929,34961,10867261,112,6034,29,North America
33,Panama,95596,682,2063,17,68742,544,24791,164,22095,477,350669,81048,4326667,45,2097,12,North America
34,Romania,92595,1339,3812,47,39626,351,49157,485,4819,198,1901240,98951,19213912,208,5040,10,Europe
35,Kuwait,88243,865,537,1,79417,626,8289,94,20610,125,636220,148592,4281665,49,7973,7,Asia
36,Belgium,86544,633,9899,1,18513,23,58132,58,7462,853,2364713,203877,11598726,134,1172,5,Europe
37,Oman,86380,0,705,0,81828,0,3847,144,16842,137,309212,60290,5128770,59,7275,17,Asia
38,China,85102,25,4634,0,80263,12,205,4,59,3,160000000,111163,1439323776,16913,310601,9,Asia
39,Sweden,84985,0,5835,5,0,0,0,16,8406,577,1124269,111197,10110577,119,1733,9,Europe
40,Guatemala,77040,682,2825,21,65029,630,9186,5,4286,157,256054,14246,17973196,233,6362,70,North America
41,Netherlands,73208,744,6237,2,0,0,0,46,4271,364,1455274,84896,17141752,234,2748,12,Europe
42,UAE,72766,612,387,0,63158,490,9221,0,7342,39,7405809,747190,9911545,136,25611,1,Asia
43,Belarus,72485,183,701,5,71510,305,274,0,7671,74,1564458,165573,9448756,130,13479,6,Europe
44,Japan,70268,669,1330,11,60417,893,8521,214,556,11,1560505,12345,126405312,1799,95042,81,Asia
45,Poland,69820,691,2100,8,49820,1227,17900,75,1845,55,2777601,73406,37839032,542,18019,14,Europe
46,Morocco,68605,1750,1292,39,52483,1260,14830,193,1855,35,2023926,54718,36988016,539,28628,18,Africa
47,Honduras,63158,632,1954,30,11618,471,49586,34,6359,197,150142,15117,9932195,157,5083,66,North America
48,Portugal,59457,406,1833,4,42576,149,15048,40,5834,180,2092057,205280,10191248,171,5560,5,Europe
49,Singapore,56948,40,27,0,56174,146,747,0,9720,5,2068284,353035,5858573,103,216984,3,Asia
50,Ethiopia,56516,1303,880,24,20612,329,35024,315,490,8,994303,8612,115450048,2043,131193,116,Africa
51,Nigeria,54743,156,1051,3,42816,189,10876,7,264,5,417398,2016,207012352,3782,196967,496,Africa
52,Bahrain,54095,662,195,5,50323,310,3577,33,31609,114,1152274,673300,1711382,32,8776,1,Asia
53,Venezuela,50973,1096,412,10,41249,675,9312,102,1793,14,1789371,62959,28421144,558,68983,16,South America
54,Algeria,45773,304,1539,10,32259,253,11975,44,1041,35,0,0,43988904,961,28583,0,Africa
55,Costa Rica,45680,1222,469,9,18053,198,27158,212,8953,92,156466,30665,5102412,112,10879,33,North America
56,Ghana,44777,64,283,3,43693,116,801,5,1436,9,446867,14330,31184980,696,110194,70,Africa
57,Armenia,44461,190,891,4,39257,402,4313,0,14999,301,213644,72074,2964249,67,3327,14,Asia
58,Nepal,44236,1359,271,14,25561,1354,18404,0,1513,9,745490,25506,29228064,661,107853,39,Asia
59,Kyrgyzstan,44199,64,1060,1,39389,215,3750,24,6755,162,267718,40917,6543015,148,6173,24,Asia
60,Switzerland,43532,405,2013,0,36500,0,5019,14,5023,232,1070910,123577,8665960,199,4305,8,Europe
61,Uzbekistan,42998,310,338,7,40392,311,2268,181,1281,10,1377915,41065,33554476,780,99274,24,Asia
62,Moldova,38906,534,1047,11,27017,0,10842,575,9649,260,207925,51566,4032243,104,3851,19,Europe
63,Afghanistan,38304,16,1409,0,29713,323,7182,63,980,36,103924,2659,39079080,1020,27735,376,Asia
64,Azerbaijan,37031,132,543,2,34419,155,2069,0,3646,53,949313,93478,10155477,274,18703,11,Asia
65,Kenya,34884,179,589,4,21059,415,13236,44,646,11,467677,8665,53975224,1547,91639,115,Africa
66,Serbia,31772,96,721,3,30387,93,664,39,3639,83,966563,110706,8730889,275,12109,9,Europe
67,Ireland,29303,97,1777,0,23364,0,4162,7,5923,359,878572,177577,4947569,169,2784,6,Europe
68,Austria,28729,357,735,0,24513,342,3481,28,3187,82,1236489,137149,9015641,314,12266,7,Europe
69,Czechia,27249,797,429,3,19027,364,7793,44,2544,40,945964,88304,10712589,393,24971,11,Europe
70,Australia,26136,87,737,59,22169,257,3230,27,1023,29,6522481,255260,25552300,978,34671,4,Australia/Oceania
71,El Salvador,26099,99,744,5,15347,228,10008,248,4020,115,325239,50098,6492101,249,8726,20,North America
72,Palestine,25142,671,170,3,16437,342,8535,0,4909,33,297329,58052,5121761,204,30128,17,Asia
73,Bosnia and Herzegovina,21142,338,639,3,14476,356,6027,0,6452,195,192556,58759,3277041,155,5128,17,Europe
74,S. Korea,20842,198,331,2,15783,254,4728,157,406,6,2018906,39372,51277216,2460,154916,25,Asia
75,Paraguay,20654,695,398,25,10523,272,9733,87,2889,56,204220,28570,7148031,346,17960,35,South America
76,Cameroon,19604,0,415,0,18448,0,741,30,735,16,149000,5589,26658704,1360,64238,179,Africa
77,Lebanon,19490,527,183,4,5592,254,13715,105,2858,27,563030,82558,6819810,350,37267,12,Asia
78,Ivory Coast,18269,61,119,0,17162,117,988,0,690,4,131150,4951,26489862,1450,222604,202,Africa
79,Denmark,17547,173,627,1,15586,87,1334,3,3027,108,2605387,449523,5795891,330,9244,2,Europe
80,Bulgaria,16954,179,665,7,12046,111,4243,56,2443,96,436395,62893,6938733,409,10434,16,Europe
81,Libya,16445,672,262,8,1910,54,14273,0,2388,38,127851,18562,6887758,419,26289,54,Africa
82,Madagascar,15187,81,198,1,14075,44,914,46,546,7,59956,2156,27812298,1831,140466,464,Africa
83,North Macedonia,14871,109,609,3,12054,89,2208,2,7138,292,154948,74374,2083358,140,3421,13,Europe
84,Senegal,13881,55,289,2,9723,170,3869,31,825,17,150727,8962,16818958,1212,58197,112,Africa
85,Sudan,13189,0,823,0,6612,0,5754,0,300,19,401,9,44024872,3338,53493,109788,Africa
86,Zambia,12639,116,292,0,11572,10,775,0,684,16,120967,6549,18471080,1461,63257,153,Africa
87,Croatia,11428,334,195,1,8530,264,2703,15,2787,48,183912,44850,4100581,359,21029,22,Europe
88,Norway,11231,111,264,0,9348,0,1619,1,2069,49,747479,137687,5428825,483,20564,7,Europe
89,Greece,11200,202,279,1,3804,0,7117,39,1076,27,992566,95314,10413659,930,37325,10,Europe
90,DRC,10149,24,259,0,9367,0,523,0,113,3,0,0,90018896,8870,347563,0,Africa
91,Albania,9967,123,306,5,5882,150,3779,22,3464,106,60941,21180,2877222,289,9403,47,Europe
92,Guinea,9649,70,61,0,8832,106,756,24,731,5,24530,1859,13193233,1367,216283,538,Africa
93,Malaysia,9385,11,128,0,9092,9,165,4,289,4,1280878,39485,32439228,3456,253431,25,Asia
94,French Guiana,9276,25,62,1,8792,20,422,7,30920,207,55405,184683,300000,32,4839,5,South America
95,Tajikistan,8724,34,69,0,7515,33,1140,0,911,7,0,0,9574483,1097,138761,0,Asia
96,Gabon,8601,63,53,0,7424,89,1124,2,3849,24,122308,54730,2234736,260,42165,18,Africa
97,Maldives,8361,80,29,0,5642,159,2690,12,15420,53,118384,218338,542204,65,18697,5,Asia
98,Haiti,8326,25,212,2,5870,0,2244,0,729,19,24035,2103,11427115,1372,53901,475,North America
99,Namibia,8323,241,87,1,3611,128,4625,21,3265,34,67287,26398,2548915,306,29298,38,Africa
100,Finland,8225,25,336,0,7350,0,539,1,1484,61,715665,129128,5542284,674,16495,8,Europe
101,Hungary,7382,459,621,1,3944,14,2817,8,765,64,452138,46825,9655849,1308,15549,21,Europe
102,Mauritania,7126,20,160,0,6623,35,343,3,1526,34,69937,14974,4670445,655,29190,67,Africa
103,Luxembourg,6854,43,124,0,0,0,0,0,10918,198,671599,1069834,627760,92,5063,1,Europe
104,Zimbabwe,6837,159,206,0,5345,82,1286,0,459,14,151597,10174,14900954,2179,72335,98,Africa
105,Malawi,5608,15,175,0,3533,17,1900,4,292,9,46411,2415,19214136,3426,109795,414,Africa
106,Djibouti,5387,0,60,0,5327,0,0,0,5439,61,68856,69515,990525,184,16509,14,Africa
107,Montenegro,5275,110,106,2,4203,39,966,0,8399,169,51314,81700,628080,119,5925,12,Europe
108,Equatorial Guinea,4972,7,83,0,4413,23,476,0,3525,59,54174,38403,1410672,284,16996,26,Africa
109,Hong Kong,4851,12,94,0,4456,25,301,26,646,13,780415,103946,7507854,1548,79871,10,Asia
110,Eswatini,4780,60,94,0,3844,55,842,11,4113,81,30327,26092,1162299,243,12365,38,Africa
111,CAR,4729,0,62,0,1818,11,2849,2,976,13,31239,6448,4844414,1024,78136,155,Africa
112,Nicaragua,4668,0,141,0,2913,0,1614,0,703,21,0,0,6638506,1422,47082,0,North America
113,Congo,4628,0,102,0,1742,0,2784,0,835,18,0,0,5541300,1197,54326,0,Africa
114,Tunisia,4542,148,87,3,1699,18,2756,15,384,7,153392,12955,11840593,2607,136099,77,Africa
115,Rwanda,4304,49,18,0,2191,28,2095,0,331,1,431992,33212,13007063,3022,722615,30,Africa
116,Slovakia,4300,137,37,0,2693,76,1570,15,788,7,348414,63811,5460124,1270,147571,16,Europe
117,Cuba,4266,52,100,0,3487,13,679,4,377,9,420273,37109,11325353,2655,113254,27,North America
118,Mozambique,4265,58,26,0,2511,141,1728,0,136,0,101888,3244,31403614,7363,1207831,308,Africa
119,Suriname,4252,37,75,2,3366,48,811,17,7237,128,9812,16699,587570,138,7834,60,South America
120,Cabo Verde,4200,75,41,0,3562,60,597,0,7540,74,76576,137465,557059,133,13587,7,Africa
121,Thailand,3431,4,58,0,3277,0,96,1,49,0,749213,10729,69831736,20353,1203995,93,Asia
122,Mayotte,3374,0,40,0,2964,0,370,2,12316,146,13000,47455,273942,81,6849,21,Africa
123,Uganda,3353,65,35,2,1564,32,1754,0,73,0,395875,8609,45982864,13714,1313796,116,Africa
124,Somalia,3332,22,97,0,2696,215,539,0,209,6,0,0,15968281,4792,164621,0,Africa
125,Gambia,3120,19,99,0,1295,220,1726,0,1285,41,13453,5540,2428154,778,24527,180,Africa
126,Sri Lanka,3115,4,12,0,2907,24,196,0,145,0,235221,10977,21429460,6879,1785788,91,Asia
127,Slovenia,3079,47,134,0,2440,38,505,4,1481,64,165233,79478,2078990,675,15515,13,Europe
128,Syria,3041,68,127,3,698,17,2216,0,173,7,0,0,17573384,5779,138373,0,Asia
129,Lithuania,3004,26,86,0,1920,19,998,0,1106,32,658662,242589,2715134,904,31571,4,Europe
130,Jamaica,2896,74,29,2,921,21,1946,7,977,10,61690,20817,2963500,1023,102190,48,North America
131,Angola,2876,71,115,2,1167,23,1594,24,87,3,64747,1960,33037688,11487,287284,510,Africa
132,Mali,2814,7,126,0,2220,17,468,0,138,6,40482,1989,20349306,7231,161502,503,Africa
133,South Sudan,2536,3,47,0,1290,0,1199,0,226,4,12044,1074,11216967,4423,238659,931,Africa
134,Estonia,2456,15,64,0,2157,7,235,0,1851,48,156276,117793,1326697,540,20730,8,Europe
135,Bahamas,2386,0,50,0,893,0,1443,83,6057,127,12117,30761,393913,165,7878,33,North America
136,Aruba,2358,66,13,0,1119,88,1226,7,22069,122,22665,212124,106848,45,8219,5,North America
137,Jordan,2301,68,16,1,1676,28,609,3,225,2,873205,85431,10221157,4442,638822,12,Asia
138,Guinea-Bissau,2245,40,38,4,1127,0,1080,5,1136,19,1500,759,1975973,880,51999,1317,Africa
139,Benin,2194,0,40,0,1738,0,416,0,180,3,118206,9707,12177222,5550,304431,103,Africa
140,Iceland,2135,7,10,0,2029,6,96,0,6249,29,222361,650862,341641,160,34164,2,Europe
141,Sierra Leone,2041,6,71,0,1602,2,368,0,255,9,0,0,8005047,3922,112747,0,Africa
142,Trinidad and Tobago,2040,56,31,2,707,7,1302,6,1457,22,24692,17633,1400308,686,45171,57,North America
143,Réunion,2002,90,10,0,880,0,1112,2,2233,11,35419,39510,896457,448,89646,25,Africa
144,Botswana,2002,278,8,2,493,0,1501,1,848,3,128016,54248,2359845,1179,294981,18,Africa
145,Malta,1984,19,13,0,1565,37,406,0,4491,29,198883,450210,441756,223,33981,2,Europe
146,Yemen,1983,4,572,1,1194,14,217,0,66,19,120,4,29939066,15098,52341,249492,Asia
147,New Zealand,1764,5,23,1,1630,8,111,6,353,5,797990,159531,5002100,2836,217483,6,Australia/Oceania
148,Uruguay,1653,17,45,1,1446,9,162,2,476,13,180739,51998,3475908,2103,77242,19,South America
149,Georgia,1596,28,19,0,1294,15,283,0,400,5,388485,97419,3987764,2499,209882,10,Asia
150,Cyprus,1502,4,21,0,1139,0,342,5,1242,17,286736,237181,1208934,805,57568,4,Asia
151,Togo,1457,14,31,0,1079,8,347,0,175,4,68580,8251,8311997,5705,268129,121,Africa
152,Latvia,1416,6,35,1,1187,0,194,0,752,19,260698,138500,1882295,1329,53780,7,Europe
153,Burkina Faso,1408,33,55,0,1098,23,255,0,67,3,0,0,21000436,14915,381826,0,Africa
154,Guyana,1401,0,44,0,805,0,552,14,1780,56,9040,11483,787236,562,17892,87,South America
155,Guadeloupe,1363,0,18,0,336,0,1009,7,3406,45,31762,79378,400136,294,22230,13,North America
156,Liberia,1306,0,82,0,1163,0,61,0,257,16,0,0,5078062,3888,61928,0,Africa
157,Andorra,1215,16,53,0,928,19,234,3,15721,686,137457,1778527,77287,64,1458,1,Europe
158,Niger,1177,0,69,0,1091,0,17,0,48,3,9052,372,24351286,20689,352917,2690,Africa
159,Myanmar,1171,60,7,1,359,0,805,0,21,0,166433,3055,54475244,46520,7782178,327,Asia
160,Belize,1152,34,15,2,271,16,866,3,2888,38,9073,22746,398884,346,26592,44,North America
161,Lesotho,1148,63,31,0,528,0,589,0,535,14,15632,7287,2145286,1869,69203,137,Africa
162,Vietnam,1049,3,35,0,772,17,242,0,11,0,1009145,10351,97494792,92941,2785566,97,Asia
163,Chad,1023,5,77,0,914,6,32,0,62,5,0,0,16505463,16134,214357,0,Africa
164,Sao Tome and Principe,897,0,15,0,859,2,23,0,4080,68,4042,18384,219867,245,14658,54,Africa
165,Martinique,758,4,18,0,98,0,642,5,2020,48,13395,35700,375212,495,20845,28,North America
166,San Marino,735,0,42,0,660,0,33,0,21653,1237,6865,202245,33944,46,808,5,Europe
167,Diamond Princess,712,0,13,0,651,0,48,4,0,0,0,0,0,0,0,0,N/A
