,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
1,USA,5915630,41484,181114,510,3217981,50918,2516535,16483,17856,547,76883480,232071,331293408,56,1829,4,North America
2,Brazil,3627217,21434,115451,679,2778709,69071,733057,8318,17046,543,14144344,66473,212784896,59,1843,15,South America
3,India,3164881,59696,58546,854,2403101,66305,703234,8944,2290,42,35902136,25978,1382011776,437,23606,38,Asia
4,Russia,961493,4744,16448,65,773095,2456,171950,2300,6588,113,34600000,237077,145943984,152,8873,4,Europe
5,South Africa,611450,1677,13159,100,516494,10024,81797,539,10291,221,3564065,59983,59418340,97,4515,17,Africa
6,Peru,600438,6112,27813,150,407301,7944,165324,1525,18174,842,3006993,91014,33038912,55,1188,11,South America
7,Mexico,560164,3948,60480,226,383872,3380,115812,3264,4338,468,1259141,9751,129132736,231,2135,103,North America
8,Colombia,551696,10549,17612,296,384171,10141,149913,1493,10825,346,2508972,49231,50962920,92,2894,20,South America
9,Spain,420809,2080,28872,12,0,0,0,658,9000,617,8517446,182162,46757536,111,1619,5,Europe
10,Chile,399568,1903,10916,64,372464,1285,16188,1014,20875,570,2231463,116583,19140576,48,1753,9,South America
11,Iran,361150,2245,20776,133,311365,1901,29009,3848,4292,247,3062422,36392,84150496,233,4050,27,Asia
12,Argentina,350867,8713,7366,381,256789,5389,86712,1960,7753,163,1105878,24435,45257260,129,6144,41,South America
13,UK,326614,853,41433,4,0,0,0,72,4807,610,15177265,223394,67939528,208,1640,4,Europe
14,Saudi Arabia,308654,1175,3691,42,282888,2745,22075,1635,8846,106,4733485,135659,34892600,113,9453,7,Asia
15,Bangladesh,297083,2485,3983,42,182875,3784,110225,0,1801,24,1456038,8828,164932032,555,41409,113,Asia
16,Pakistan,293261,496,6244,9,276829,993,10188,686,1324,28,2463513,11122,221507136,755,35475,90,Asia
17,Italy,260298,953,35441,4,205662,192,19195,65,4306,586,8053551,133231,60448212,232,1706,8,Europe
18,Turkey,259692,1443,6139,18,237908,743,15645,796,3074,73,6423409,76041,84472936,325,13760,13,Asia
19,France,244854,1955,30528,15,85199,226,129127,399,3750,468,6000000,91890,65295388,267,2139,11,Europe
20,Germany,236117,1628,9336,4,209600,0,17181,245,2817,111,10197366,121652,83824400,355,8979,8,Europe
21,Iraq,207985,3644,6519,91,150389,3980,51077,661,5154,162,1457665,36125,40350520,194,6190,28,Asia
22,Philippines,194252,4686,3010,13,132042,729,59200,717,1769,27,2338607,21300,109794456,565,36477,47,Asia
23,Indonesia,155412,1877,6759,79,111060,3560,37593,0,567,25,2056166,7506,273950528,1763,40531,133,Asia
24,Canada,125647,751,9083,10,111694,582,4870,62,3325,240,5169166,136782,37791280,301,4161,7,North America
25,Qatar,117266,258,194,1,114099,291,2973,67,41764,69,594215,211630,2807805,24,14473,5,Asia
26,Bolivia,109149,722,4509,67,45396,1509,59244,71,9332,386,231259,19772,11696291,107,2594,51,South America
27,Ecuador,108289,520,6322,12,94878,62,7089,370,6124,358,307742,17404,17682008,163,2797,57,South America
28,Ukraine,106754,1799,2293,22,54524,2289,49937,177,2443,52,1425351,32622,43693004,409,19055,31,Europe
29,Kazakhstan,104718,175,1415,0,92598,1509,10705,221,5567,75,2291327,121816,18809710,180,13293,8,Asia
30,Israel,104472,1809,847,13,81642,2128,21983,416,11359,92,2180096,237029,9197590,88,10859,4,Asia
31,Egypt,97478,138,5280,18,66817,890,25381,41,950,51,135000,1316,102611592,1053,19434,760,Africa
32,Dominican Republic,91608,447,1573,6,61558,888,28477,242,8432,145,350033,32220,10863994,119,6907,31,North America
33,Panama,87485,585,1906,14,62185,765,23394,154,20229,441,308435,71321,4324625,49,2269,14,North America
34,Sweden,86721,0,5813,6,0,0,0,22,8579,575,1030010,101894,10108688,117,1739,10,Europe
